map,energy,cut_edges,boundary_nodes,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
000_519,2387995.5630,0.1035,0.2862,0.0190,0.4943,0.0685,7,0.5000,6.0412,0.4315,6,0.0628,0.0570,0.0491,0.0485,0.0131,0.0481,0.0156,6.6298,0.0126,0.0109,0.0017,0.0086,4.4406,0.3172,3.3846,4.4406,0.3172,11.9766,0.5957,0.5847,0.0000,5,7.4540,5,0.3610,0.1895,1.3755,2.4171,69,42,50,33,0
001_520,2147748.5458,0.1067,0.2929,0.0166,0.4943,0.0086,7,0.5000,6.8797,0.4914,7,0.0029,-0.0028,-0.0101,-0.0093,-0.0030,-0.0094,-0.0026,-1.0848,-0.0054,-0.0049,-0.0005,-0.0078,3.9326,0.2809,3.2706,3.9326,0.2809,1.5029,0.5774,0.5879,0.0000,5,7.5398,5,0.3819,0.1781,1.3819,2.4119,99,37,50,36,0
002_521,2604635.4473,0.1024,0.2791,0.0166,0.4943,0.0066,7,0.5000,6.9081,0.4934,7,0.0008,-0.0049,-0.0169,-0.0156,-0.0040,-0.0154,-0.0032,-1.8755,-0.0044,-0.0048,0.0004,-0.0105,5.1637,0.3688,4.1088,5.1637,0.3688,1.1477,0.5658,0.5781,0.0000,5,7.7283,5,0.3319,0.1589,1.3429,2.4324,100,49,50,24,3
003_522,2159507.9704,0.1122,0.3050,0.0136,0.4943,0.0748,7,0.5000,5.9532,0.4252,6,0.0691,0.0633,0.0503,0.0495,0.0107,0.0491,0.0161,6.4035,0.0142,0.0139,0.0003,0.0088,5.6389,0.4028,4.2840,5.6389,0.4028,13.0762,0.5809,0.5712,0.8503,5,7.2409,5,0.3613,0.1641,1.3630,2.4421,65,54,58,30,0
004_523,2729581.8359,0.1092,0.2982,0.0179,0.4943,0.0306,7,0.5000,6.5713,0.4694,6,0.0249,0.0192,0.0172,0.0160,0.0057,0.0153,0.0051,2.1970,0.0217,0.0224,-0.0007,0.0003,2.8276,0.2020,2.3533,2.8276,0.2020,5.3555,0.5988,0.5829,0.0000,5,8.6267,5,0.3729,0.1794,1.3924,2.4369,88,27,50,34,0
005_524,2595535.6786,0.0995,0.2708,0.0197,0.4943,0.0946,7,0.5000,5.6758,0.4054,5,0.0889,0.0831,0.0769,0.0745,0.0178,0.0735,0.0198,11.7272,0.0345,0.0355,-0.0011,0.0234,4.0846,0.2918,3.0884,4.0846,0.2918,16.5408,0.6180,0.5728,0.0000,5,5.8983,5,0.3950,0.1838,1.3851,2.3819,56,39,50,40,0
006_525,2795693.0269,0.1106,0.3008,0.0199,0.4943,0.1305,7,0.5000,5.1734,0.3695,4,0.1247,0.1190,0.1135,0.1107,0.0254,0.1097,0.0327,18.0458,0.0334,0.0331,0.0003,0.0376,3.9176,0.2798,2.9755,3.9176,0.2798,22.8156,0.6571,0.5713,0.6919,5,7.4675,5,0.3565,0.1661,1.3820,2.4300,38,37,57,30,0
007_526,1946458.2621,0.1134,0.3031,0.0186,0.4943,0.0231,7,0.5000,6.6771,0.4769,6,0.0173,0.0116,-0.0050,-0.0043,-0.0009,-0.0044,-0.0007,-0.3955,-0.0011,-0.0015,0.0004,-0.0070,6.2294,0.4450,4.9023,6.2294,0.4450,4.0334,0.5667,0.5608,0.0000,5,7.6183,5,0.3631,0.1425,1.3901,2.4740,91,59,50,28,0
008_527,2235755.5604,0.1015,0.2727,0.0199,0.4943,0.0437,7,0.5000,6.3887,0.4563,7,0.0379,0.0322,0.0255,0.0258,0.0079,0.0254,0.0081,3.0446,0.0131,0.0125,0.0006,0.0009,3.8093,0.2721,3.1742,3.8093,0.2721,7.6362,0.5774,0.5900,0.0000,5,7.6513,5,0.3866,0.1731,1.3824,2.3153,81,36,50,36,0
009_528,2112720.0950,0.1057,0.2884,0.0186,0.4943,0.0266,7,0.5000,6.6277,0.4734,8,0.0209,0.0152,0.0058,0.0064,0.0018,0.0063,0.0030,0.8723,-0.0107,-0.0115,0.0008,-0.0045,4.6292,0.3307,3.6301,4.6292,0.3307,4.6506,0.5695,0.6080,0.7549,5,7.5821,5,0.3896,0.1705,1.3948,2.3918,90,44,58,37,0
010_530,2402119.8992,0.1112,0.3068,0.0181,0.4943,0.0653,7,0.5000,6.0853,0.4347,5,0.0596,0.0539,0.0469,0.0455,0.0118,0.0448,0.0114,5.7621,0.0164,0.0160,0.0003,0.0075,4.1520,0.2966,3.2302,4.1520,0.2966,11.4250,0.6035,0.5669,0.0000,5,8.5328,5,0.3793,0.1510,1.3487,2.3868,70,40,50,32,2
011_531,2671713.3070,0.1167,0.3140,0.0116,0.4943,0.0628,7,0.5000,6.1214,0.4372,6,0.0570,0.0513,0.0465,0.0461,0.0146,0.0457,0.0167,5.7763,0.0231,0.0208,0.0023,0.0060,3.5256,0.2518,2.8384,3.5256,0.2518,10.9741,0.5985,0.5878,0.0000,5,8.2948,5,0.3456,0.1524,1.4048,2.5344,71,34,50,26,0
