GEOID,DISTRICT
01025000012,1
01025000021,1
01025000011,1
01025000014,1
01025000022,1
01025000020,1
01025000016,1
01025000019,1
01091000505,1
01091000504,1
01091000511,1
01091000501,1
01023000003,1
01119000105,1
01119006012,1
01119000213,1
01023000007,1
01023000001,1
01023000004,1
01023000006,1
01023000010,1
01023000024,1
01023000023,1
01091000507,1
01025000018,1
01025000015,1
01023000046,1
01023000034,1
01023000045,1
01023000044,1
01023000013,1
01023000047,1
01023000012,1
01023000048,1
01023000025,1
01023000027,1
01023000035,1
01023000031,1
01023000020,1
01023000029,1
01023000033,1
01023000042,1
01023000043,1
01023000039,1
01023000049,1
01023000041,1
01129000005,1
01129000004,1
01129000003,1
01025000013,1
01129000001,1
01129000013,1
01129000010,1
01129000011,1
01129000018,1
01129000019,1
01025000002,1
01129000015,1
01003000002,1
01003000011,1
01003000014,1
01003000015,1
01003000019,1
01003000022,1
01003000026,1
01003000031,1
01003000032,1
01003000028,1
01003000029,1
01003000034,1
01003000041,1
01003000039,1
01003000040,1
01003000033,1
01003000036,1
01003000044,1
01003000049,1
01003000030,1
01003000043,1
01003000024,1
01003000009,1
01003000018,1
01003000023,1
01003000042,1
01003000020,1
01003000008,1
01003000046,1
01003000035,1
01003000007,1
01097000088,1
01003000037,1
01003000048,1
01003000038,1
01003000047,1
01097000078,1
01097000069,1
01097000067,1
01097000076,1
01097000059,1
01097000052,1
01097000051,1
01097000046,1
01097000022,1
01097000023,1
01097000013,1
01097000018,1
01097000014,1
01097000005,1
01097000011,1
01097000006,1
01097000003,1
01097000002,1
01129000012,1
01129000014,1
01129000016,1
01097000009,1
01097000019,1
0109700VP25,1
01097000016,1
01097000026,1
01097000030,1
01097000032,1
01097000033,1
01097000034,1
01097000042,1
01097000035,1
01097000045,1
01097000044,1
01097000055,1
01097000063,1
01097000062,1
01097000068,1
01097000041,1
01097000043,1
01097000029,1
01097000028,1
01097000037,1
01097000038,1
01097000001,1
01097000007,1
01097000008,1
01097000010,1
01097000024,1
01097000021,1
01097000060,1
01097000050,1
01097000040,1
01097000039,1
01097000053,1
01097000049,1
01097000054,1
01097000061,1
01097000075,1
01097000066,1
01097000074,1
01097000081,1
01097000083,1
01097000087,1
01097000079,1
01097000082,1
01097000080,1
01097000085,1
01097000086,1
01097000073,1
01097000065,1
01097000058,1
01097000077,1
01097000084,1
01003000010,1
01097000072,1
01097000071,1
01097000057,1
01097000070,1
01097000064,1
01097000056,1
01097000047,1
01097000027,1
01097000036,1
01097000031,1
01097000020,1
01003000025,1
01003000027,1
01003000021,1
01003000003,1
01003000016,1
01003000017,1
01003000005,1
01003000004,1
01003000006,1
01003000045,1
01097000017,1
01097000015,1
01097000012,1
01097000048,1
01003000013,1
01097000004,1
01003000012,1
01129000020,1
01129000022,1
01003000001,1
01023000036,1
01023000037,1
01129000006,1
01129000008,1
01129000007,1
01129000025,1
01091000508,1
01091000502,1
01091000301,1
01091000306,1
01091000201,1
01091000101,1
01065000008,1
01091000102,1
01091000401,1
01091000302,1
01091000305,1
01091000408,1
01131006005,1
01131005005,1
01131006004,1
01131005002,1
01131006002,1
01131005001,1
01131006001,1
01091000405,1
01091000407,1
01025000010,1
01025000007,1
01025000003,1
01025000008,1
01025000009,1
01087000205,2
01087000211,2
01087000204,2
01113000705,2
01113000704,2
01113000707,2
01113000002,2
01113000706,2
01081000022,2
01081000020,2
01081000016,2
01081000019,2
01081000023,2
01113000301,2
01113000405,2
01113000001,2
01113000601,2
01113000501,2
01113000402,2
01081000001,2
01017000014,2
01081000021,2
01113000603,2
01081000015,2
01081000017,2
01081000014,2
01081000006,2
01017000010,2
01017000009,2
01017000004,2
010170005-B,2
010170005-A,2
01017000005,2
01017000006,2
01017000008,2
01017000012,2
01017000007,2
01017000013,2
010170007-A,2
01081000003,2
01081000002,2
01081000004,2
01081000005,2
01081000012,2
01081000010,2
01081000013,2
01081000018,2
01087000203,2
01113000702,2
01113000703,2
01113000701,2
01113000502,2
01005000007,2
01005000011,2
010110002-2,2
010110001-2,2
010110001-1,2
01011000005,2
01005000008,2
010110006-1,2
010110006-2,2
0100500008A,2
01109000009,2
01109000010,2
01109000031,2
01005000003,2
01005000009,2
01005000010,2
0100500010A,2
01005000002,2
01045000005,2
01045000015,2
01045000012,2
010450007-1,2
01045000014,2
01045000001,2
01045000003,2
01045000016,2
01045000002,2
01045000004,2
01045000006,2
01069000111,2
01069000410,2
01031000024,2
01031000015,2
01031000000,2
01031000028,2
01031000027,2
01031000029,2
01031000022,2
01045000011,2
01045000010,2
01067000009,2
01045000013,2
01067000010,2
01067000008,2
01067000011,2
01067000006,2
01067000005,2
01067000004,2
01067000003,2
01067000002,2
01067000001,2
01069000233,2
01069000221,2
01069000241,2
01069000152,2
01069000501,2
01069000311,2
01069000211,2
01069000181,2
01069000171,2
01069000131,2
01069000291,2
01069000271,2
01069000101,2
01069000331,2
01069000371,2
01069000281,2
01061000003,2
01061000005,2
01069000361,2
01061000007,2
01061000009,2
01031000023,2
01031000018,2
01031000017,2
01031000019,2
01031000020,2
01061000013,2
01061000011,2
01061000012,2
01061000010,2
01061000017,2
01061000014,2
01031000021,2
01031000002,2
01031000016,2
01039000003,2
01031000026,2
01031000011,2
01031000010,2
01031000009,2
01031000007,2
01031000006,2
01031000005,2
01109000033,2
01109000023,2
01109000018,2
01109000017,2
01109000024,2
01041000007,2
01041000016,2
01041000010,2
01041000009,2
01039000017,2
01041000011,2
01039000014,2
01039000008,2
01039000013,2
01039000023,2
01061000015,2
01031000001,2
01061000016,2
01039000009,2
01039000007,2
01039000010,2
01039000020,2
01039000022,2
01039000001,2
01039000016,2
01039000015,2
01039000004,2
01039000018,2
01039000011,2
01039000012,2
01013000017,2
01013000015,2
010130014.1,2
010130014.5,2
01013000001,2
01013000011,2
01131001006,2
01131001004,2
01099001201,2
01099001202,2
01099000401,2
01035000032,2
01099000005,2
01099000010,2
01099000009,2
01099000007,2
01099000601,2
01099000304,2
01099000002,2
01025000001,2
01099000001,2
01053000300,2
01053000190,2
01053000180,2
01053000210,2
