GEOID,DISTRICT
01043000031,1
01043000050,1
01043000062,1
01043000310,1
01043000270,1
01043000240,1
01043000250,1
01043000360,1
01043000021,1
01043000290,1
01043000130,1
01043000112,1
01043000340,1
01043000330,1
01043000010,1
01043000300,1
01043000181,1
01043000230,1
01043000350,1
01043000032,1
01031000005,2
01109000023,2
01109000018,2
01109000017,2
01031000012,2
01031000010,2
01031000014,2
01031000011,2
01045000007,2
01045000015,2
01045000001,2
01045000012,2
01031000013,2
01109000016,2
01005000002,2
01109000015,2
01109000033,2
01109000021,2
01109000001,2
01109000006,2
01109000013,2
01109000020,2
01109000030,2
01109000014,2
01109000012,2
01109000009,2
010110006-1,2
0100500008A,2
01005000008,2
01109000011,2
01109000019,2
01043000111,3
01043000120,3
01133000009,3
01043000150,3
01043000172,3
01103002201,3
01043000182,3
01103002501,3
01103002701,3
01043000201,3
01043000202,3
01043000211,3
01043000220,3
01043000320,3
01043000281,3
01043000190,3
01043000212,3
01095000026,3
01095000021,3
01043000160,3
01043000141,3
01043000142,3
01043000171,3
01021000240,4
01021000070,4
01021000090,4
01051000131,4
01051000121,4
01051000101,4
01051000081,4
01051000029,4
01051000071,4
01051000061,4
01051000041,4
01051000011,4
01051000031,4
01051000311,4
01123001203,4
01051000021,4
01037000710,4
01051000111,4
01051000141,4
01001000006,4
01037001513,4
01037000603,4
01021000250,4
01021000270,4
01073002180,5
01073001360,5
01073001330,5
01073002440,5
01073001070,5
01073002420,5
01073002430,5
01073002130,5
01073005110,5
01073002230,5
01073005260,5
01073005020,5
01073005130,5
01073005150,5
01125000035,6
01125000036,6
01125000038,6
01125000037,6
01125000034,6
01125000053,6
01125000054,6
01063000103,6
01063000101,6
01063000202,6
01063000104,6
01065000016,6
01065000012,6
01063000201,6
01063000302,6
01107002200,6
01107004500,6
01107004200,6
01107005400,6
01107004300,6
01107001400,6
01107001800,6
01107004100,6
01107005300,6
01107005105,6
01107001500,6
01107001200,6
01107001100,6
01107001300,6
01107003100,6
01075001501,6
01107004400,6
01107004600,6
01081000022,7
01081000020,7
01113000002,7
01113000706,7
01113000601,7
01113000501,7
01113000402,7
01073001020,8
01073004030,8
01073004110,8
01073004120,8
01073004050,8
01073004150,8
01009000019,8
01009000021,8
01009000020,8
01073004100,8
01073003280,9
01073004010,9
01073003070,9
01073003180,9
01073004130,9
01073004250,9
01073004170,9
01009000004,9
01009000002,9
01009000003,9
01043000061,9
01043000040,9
01073004015,9
01073003060,10
01073002360,10
01073002340,10
01073002120,10
01073003250,10
01073002210,10
01073002240,10
01073003140,10
01073003090,10
01073003050,10
01073003030,10
01123000102,11
01123000401,11
01123001801,11
01123000203,11
01123000202,11
01123000101,11
01037000302,11
01037001707,11
01123000201,11
01123000801,11
01123000701,11
01123000901,11
01123001401,11
01123001501,11
01123001601,11
01123000601,11
01017000009,11
01017000008,11
010170007-A,11
01017000013,11
01017000005,11
01017000012,11
01017000010,11
010170010-A,11
010170005-A,11
01051000051,11
01051000052,11
01037000108,11
01037000015,11
01123000501,11
01123000301,11
01069000271,12
01069000131,12
01069000211,12
01069000181,12
01069000301,12
01061000003,12
01061000005,12
01069000361,12
01061000006,12
01069000111,12
01061000004,12
01069000311,12
01069000281,12
01069000291,12
01069000171,12
01069000141,12
01069000101,12
01023000010,13
01023000012,13
01023000004,13
01023000006,13
01023000001,13
01091000508,13
01091000507,13
01091000505,13
01091000504,13
01091000405,13
01091000407,13
01091000502,13
01091000301,13
01091000501,13
01119000105,13
01119000512,13
01119006012,13
01063000401,13
01065000008,13
01091000102,13
01091000101,13
01065000007,13
01065000005,13
01065000004,13
01065000010,13
01065000011,13
01105000006,13
01105000007,13
01105000001,13
01065000006,13
01063000301,13
01063000105,13
01063000503,13
01063000502,13
01063000102,13
01119001101,13
01063000501,13
01119001011,13
01119000911,13
01119000802,13
01119000413,13
01119000007,13
01063000402,13
01119001201,13
01119001301,13
01107002100,13
01119000213,13
01119000003,13
01023000003,13
01091000511,13
01091000201,13
01091000306,13
01025000019,13
01091000408,13
01023000007,13
01027000901,14
01027000801,14
01027002401,14
01027000802,14
01123000303,14
01027001801,14
01027001001,14
01037000420,14
01037001205,14
01037001117,14
01121000013,14
01037001318,14
01121000008,14
01117000040,14
01117000041,14
01021000140,14
01021000210,14
01021000260,14
01021000120,14
01021000110,14
01021000160,14
01121000009,14
01037000401,14
01071000013,15
01071000014,15
01071000010,15
01071000021,15
01071000012,15
01071000015,15
01071000036,15
01095000023,15
01071000024,15
01071000030,15
01049000002,15
01055001601,15
01101000412,16
01101000409,16
01101000301,16
01101000404,16
01101000101,16
01101000408,16
01101000407,16
01101000411,16
01101000304,16
01101000410,16
01101000406,16
01101000405,16
01035000043,17
01035000042,17
01035000152,17
01099001403,17
01099000401,17
01035000032,17
01035000041,17
01035000131,17
01035000511,17
01053000190,17
01053000320,17
01053000280,17
01053000180,17
01053000210,17
01053000040,17
01035000062,17
01053000120,17
01053000030,17
01053000110,17
01035000071,17
01035000121,17
01035000053,17
01035000052,17
01053000160,17
01053000170,17
01053000220,17
01053000070,17
01053000050,17
01053000080,17
01053000010,17
01053000140,17
01053000230,17
01053000150,17
01053000270,17
01053000310,17
01053000250,17
01053000260,17
01053000240,17
01099000302,17
01099001404,17
01099000004,17
01099001402,17
01099001405,17
01099000013,17
01099000303,17
01099000307,17
01127000022,18
01127000004,18
01127000008,18
01127000012,18
01127000021,18
01127000019,18
01127000042,18
01127000013,18
01127000014,18
01127000001,18
01127000038,18
01127000016,18
01043000070,18
01043000100,18
01043000022,18
01043000260,18
01043000090,18
01127000027,18
01073003100,18
01127000037,18
01073003200,18
01009000001,18
01077000100,19
01077000107,19
01077000108,19
01077000115,19
010330017-3,19
010330016-3,19
010330016-1,19
010330002-3,19
010330016-6,19
010330002-4,19
010330016-7,19
010330002-1,19
010330002-2,19
010330002-5,19
010330017-5,19
010330016-4,19
010330016-2,19
010330017-4,19
01077000106,19
01077000113,19
01077000111,19
01077000104,19
01077000102,19
01089000017,20
01089000018,20
01089000014,20
01089000015,20
01089000019,20
01089000046,20
01089000049,20
01095000016,21
01095000002,21
01095000010,21
01095000020,21
01095000005,21
01095000004,21
01055001603,21
01055001701,21
01055001901,21
01073001120,22
01073004230,22
01073004040,22
01115000026,22
01073004080,22
01073004020,22
01115000031,22
01073001230,22
01073001280,22
01073004240,22
010330008-1,23
010330003-1,23
01077000015,23
01077000014,23
01077000013,23
01077000008,23
01077000012,23
01077000009,23
01077000109,23
01077000011,23
01077000110,23
01077000112,23
01077000103,23
01077000101,23
01077000114,23
010330004-1,23
010330006-1,23
010330007-1,23
010330015-1,23
01077000017,23
01077000016,23
01073001060,24
01073004160,24
01073001010,24
01073001030,24
01073001110,24
01073001130,24
01073001260,24
01073001180,24
01073001140,24
01073001220,24
01073005030,25
01073005050,25
01073005240,25
01073005210,25
01073005170,25
01073002020,25
