GEOID,DISTRICT
01043000212,1
01009000008,1
01009000024,1
01009000009,1
01009000016,1
01009000023,1
01043000220,1
01043000211,1
01009000010,1
01009000011,1
01095000022,1
01095000031,1
01055001901,1
01095000014,1
01095000007,1
01095000001,1
01095000008,1
01095000030,1
01095000015,1
01095000028,1
01095000003,1
01095000020,1
01095000010,1
01095000016,1
01095000024,1
01095000005,1
01095000027,1
01089000068,1
01095000019,1
01095000011,1
01095000009,1
01071000016,1
01071000026,1
01089000062,1
01071000023,1
01089000061,1
01089000020,1
01089000023,1
01089000075,1
01089000015,1
01089000019,1
01089000011,1
01071000017,1
01071000031,1
01071000036,1
01095000023,1
01071000015,1
01073004210,2
01073004010,2
01073004090,2
01073001290,2
01073001270,2
01073004200,2
01073001060,2
01073001190,2
01073001220,2
01073004070,2
01073001310,2
01073001130,2
01073001030,2
01073004160,2
01073004030,2
01073004060,2
01073004150,2
01073004050,2
01073004080,2
01073004120,2
01073004100,2
01009000018,2
01073004180,2
01073004015,2
01073004250,2
01073004110,2
01073001180,2
01073001140,2
01073001280,2
01073004170,2
01047001301,3
01047000401,3
01131004001,3
01131004006,3
01131004003,3
01131004002,3
01131006001,3
01047000901,3
01047009512,3
01047009521,3
01047009530,3
01047009352,3
01047000302,3
01047000101,3
01105000011,3
01047000201,3
01047001001,3
01105000009,3
01007000007,3
01021000180,3
01007000060,3
01117000031,3
01021000220,3
01021000270,3
01021000260,3
01021000110,3
01037001117,3
01121000013,3
01117000041,3
01117000040,3
01121000008,3
01121000009,3
01027000901,3
01037000401,3
01027000802,3
01121000011,3
01121000007,3
01121000012,3
01027001001,3
01037000420,3
01037001205,3
01037000603,3
01037001513,3
01037000710,3
01037001318,3
01021000120,3
01021000090,3
01051000131,3
01051000151,3
01021000070,3
01001000006,3
01051000141,3
01001000005,3
01021000250,3
01021000240,3
01021000200,3
01021000020,3
01105000013,3
01105000001,3
01105000006,3
01065000011,3
01105000002,3
01047001401,3
01105000003,3
01047001201,3
01047000402,3
01047001101,3
01105000004,3
01065000005,3
01065000009,3
01065000004,3
01065000006,3
01063000301,3
01063000501,3
01119001011,3
01063000402,3
01063000302,3
01065000010,3
01105000008,3
01105000007,3
01021000030,3
01021000050,3
01001000003,3
01001000001,3
01047009342,3
01047009343,3
01047009544,3
01047009131,3
01047009372,3
01047009182,3
01047009363,3
01047000501,3
01047009183,3
01057001001,4
01057000801,4
01075000201,4
01075000101,4
01075000102,4
01075000901,4
01075001001,4
01075000902,4
01075000501,4
01075000801,4
01075000402,4
01093000015,4
01093000011,4
01093000001,4
01093000002,4
01093000017,4
01093000004,4
01093000005,4
01093000006,4
01059000006,4
01059000005,4
01093000019,4
01059000015,4
01059000008,4
01059000014,4
01059000004,4
010330007-1,4
010330006-1,4
010330015-1,4
01077000017,4
010330008-1,4
01059000003,4
01059000007,4
01059000002,4
01059000010,4
01059000016,4
01059000017,4
010330004-1,4
01077000015,4
01077000014,4
01077000016,4
01077000013,4
01077000107,4
01077000012,4
01077000115,4
01077000112,4
01077000108,4
010330017-3,4
010330016-2,4
010330016-3,4
010330002-3,4
010330016-6,4
010330016-1,4
010330016-4,4
01077000100,4
01077000102,4
01077000103,4
010330003-1,4
01059000009,4
01059000018,4
01093000007,4
01093000020,4
01093000010,4
01093000009,4
01093000008,4
01059000019,4
01059000001,4
01093000003,4
01075000701,4
01075000601,4
01075000401,4
01093000016,4
01093000012,4
01093000018,4
01093000013,4
01075002201,4
01075000301,4
01057001201,4
01057000501,4
01057001601,4
01075001501,4
01075001601,4
01075002001,4
01075001401,4
01075001301,4
01107001100,4
01107001400,4
01107004300,4
01107004500,4
01107004400,4
01107004600,4
01107002200,4
01063000101,4
01063000503,4
01063000102,4
01119001301,4
01107002100,4
01119001101,4
01119001201,4
01063000502,4
01063000105,4
01063000201,4
01063000103,4
01107005400,4
01107005300,4
01125000033,4
01125000018,4
01063000104,4
01107001800,4
01107004100,4
01107001500,4
01107004200,4
01107001300,4
01075002101,4
01075002301,4
01075001101,4
01075001201,4
01075001701,4
01075001801,4
01089000092,5
01089000093,5
01089000065,5
01083000301,5
01083000201,5
01089000081,5
01089000085,5
01089000067,5
01089000083,5
01089000072,5
01089000056,5
01071000027,5
01089000006,5
01089000077,5
01089000010,5
01089000080,5
01089000055,5
01071000033,5
01071000034,5
01089000073,5
01089000066,5
01089000038,5
01089000076,5
01089000044,5
01089000001,5
01089000007,5
01089000003,5
01089000005,5
01089000070,5
01103000501,6
01103001401,6
01103000301,6
01103003011,6
01103000303,6
01103000307,6
01103000306,6
01103000403,6
01103000309,6
01103000401,6
01103003015,6
01103000308,6
01103003014,6
01103003010,6
01103001601,6
01103003012,6
01083001001,6
01083000101,6
01083000801,6
01083000501,6
01083000401,6
01083000601,6
01083001401,6
01083000901,6
01079000401,6
01079000201,6
01079000101,6
01079003401,6
01079003601,6
01079003301,6
01079002901,6
01077000002,6
01083000701,6
01103000101,6
01103001701,6
01103000201,6
01103000402,6
01103000304,6
01073005240,7
01073005280,7
01073005290,7
01073002130,7
01073005110,7
01073002440,7
01073002180,7
01073002230,7
01073005210,7
01073002020,7
01073002090,7
01073002220,7
01073002420,7
01073002010,7
01073002300,7
01073002260,7
01073002080,7
01073002430,7
01073002320,7
01073002250,7
01073002330,7
01073002190,7
01073002400,7
01073002270,7
01073002070,7
01073001050,7
01073000021,7
01073002150,7
01073002410,7
01073002390,7
01073002370,7
01073002050,7
01073002280,7
01073002170,7
01073002100,7
01073002380,7
01073002030,7
01073002200,7
01073002060,7
01073001380,7
01073001080,7
01073001240,7
01073002040,7
01073002290,7
01073001370,7
01073001100,7
01073001340,7
01073002310,7
01073001300,7
01073001040,7
01073001250,7
01073001170,7
01073001350,7
01101000301,8
01101000409,8
01101000406,8
01101000303,8
01101000305,8
01101000510,8
01101000511,8
01101000512,8
01101000501,8
01101000509,8
01101000304,8
01101000306,8
01101000103,8
01101000102,8
01101000104,8
01101000101,8
01101000106,8
01101000107,8
01101000105,8
01101000302,8
01085000071,9
01085000021,9
01085000011,9
01047000601,9
01085000031,9
01047000502,9
01047000801,9
01001000011,9
01001000016,9
01001000017,9
01001000013,9
01001000004,9
01051000222,9
01051000161,9
01001000007,9
01001000018,9
01001000012,9
01001000009,9
01001000015,9
01051000231,9
01001000002,9
01001000010,9
01101000411,9
01101000410,9
01101000203,9
01101000207,9
01101000208,9
01101000206,9
01101000204,9
01101000202,9
01101000201,9
01101000401,9
01101000211,9
01101000403,9
01101000404,9
01101000405,9
01101000407,9
01101000408,9
01101000402,9
01101000412,9
01101000413,9
01001000014,9
01001000008,9
01085000061,9
01085000041,9
01125000026,10
01125000040,10
01125000039,10
01125000038,10
01125000036,10
01125000030,10
01125000035,10
01125000047,10
01125000053,10
01125000034,10
01125000054,10
01125000029,10
01125000028,10
01125000027,10
01125000023,10
01125000021,10
01125000017,10
01125000005,10
01125000020,10
01125000031,10
01125000032,10
01125000019,10
01125000037,10
01125000046,10
01125000045,10
01125000024,10
01125000015,10
01003000035,11
01003000045,11
01097000048,11
01097000027,11
01097000036,11
01097000045,11
01097000042,11
01097000044,11
01097000055,11
01097000063,11
01097000056,11
01097000064,11
01097000057,11
01097000047,11
01003000006,11
01097000020,11
01097000019,11
01097000016,11
0109700VP25,11
01097000026,11
01097000031,11
01097000030,11
01097000032,11
01097000029,11
01097000043,11
01097000040,11
01097000014,11
01097000041,11
01097000034,11
01097000033,11
01097000035,11
01097000017,11
01097000015,11
01097000011,11
01005000005,12
01005000001,12
01067000013,12
01067000012,12
01067000008,12
01067000010,12
01067000009,12
01067000006,12
01067000005,12
01067000002,12
01067000004,12
01067000003,12
01067000007,12
01045000009,12
01045000013,12
01045000005,12
01045000015,12
010450007-1,12
01031000000,12
01045000001,12
01045000006,12
01069000410,12
01069000111,12
01069000501,12
01069000152,12
01067000001,12
010450008-2,12
01069000323,12
01069000233,12
01069000241,12
01069000221,12
01069000251,12
01069000341,12
01069000101,12
01069000171,12
01069000141,12
01069000181,12
01069000291,12
01069000191,12
01069000271,12
01069000121,12
