GEOID,DISTRICT
04013000710,1
04013000189,1
04013000016,1
04013000282,1
04013000465,1
04013000121,1
04013000188,1
04013000707,1
04013000670,1
04013000495,1
04013000134,1
04013000184,1
04013000719,1
04013000433,1
04013000401,1
04013000137,1
04013000695,1
04013000567,1
04013000644,1
04013000745,1
04013000458,1
04013000578,1
04013000077,1
04013000610,1
04013000526,1
04013000216,1
04013000156,1
04013000626,1
04013000638,1
04013000693,1
04013000181,1
04013000322,1
04013000520,1
04013000718,1
04013000259,1
04013000702,1
04013000560,1
04013000133,1
04013000544,1
04013000251,1
04013000513,1
04013000628,1
04013000479,1
04013000069,1
04013000398,1
04013000400,1
04013000421,1
04013000551,1
04013000340,1
04013000034,1
04013000445,1
04013000286,1
04013000212,1
04013000142,1
04013000044,1
04013000090,1
04013000497,1
04013000690,1
04013000466,1
04013000637,1
04013000474,1
04013000009,1
04013000146,1
04013000209,1
04013000014,1
04013000388,1
04013000731,1
04013000371,1
04013000574,1
04013000472,1
04013000350,1
04013000267,1
04013000228,1
04013000734,1
04013000538,1
04013000186,1
04013000490,1
04013000730,1
04013000176,1
04013000185,1
04013000369,1
04013000709,1
04013000062,1
04013000256,1
04021000054,1
04013000428,1
04013000065,1
04013000493,1
04013000524,1
04013000174,1
04013000715,1
04013000564,1
04013000029,1
04013000405,1
04013000288,1
04013000671,1
04012000057,1
04027000P18,1
04012000060,1
04012ZZZZZZ,1
04012000059,1
04027000P20,1
04027000P21,1
04027000P09,1
04027000P12,1
04027000P13,1
04027000P01,1
04027000P36,1
04027000P03,1
04027000P02,1
04027000P27,1
04027000P40,1
04027000P39,1
04027000P41,1
04027000P35,1
04027000P05,1
04027000P32,1
04027000P31,1
04027000P07,1
04027000P28,1
04027000P30,1
04027000P29,1
04027000P33,1
04027000P06,1
04027000P04,1
04027000P26,1
04027000P08,1
04027000P15,1
04027000P14,1
04027000P16,1
04027000P38,1
04027000P37,1
04027000P42,1
04027000P10,1
04027000P34,1
04027000P43,1
04027000P24,1
04027000P23,1
04027000P22,1
04027000P11,1
04027000P17,1
04027000P25,1
04013000007,1
04012000064,1
04012000058,1
04013000037,1
04013000158,1
04013000378,1
04019000075,2
04019000091,2
04019000093,2
04019000080,2
04019000096,2
04019000094,2
04019000103,2
04019000098,2
04019000072,2
04019000067,2
04019000170,2
04019000237,2
04019000056,2
04019000210,2
04019000055,2
04019000162,2
04019000148,2
04019000029,2
04019000187,2
04019000013,2
04019000027,2
04019000088,2
04019000061,2
04019000239,2
04019000163,2
04019000112,2
04019000171,2
04019000214,2
04019000106,2
04019000009,2
04019000118,2
04019000121,2
04019000126,2
04019000128,2
04019000131,2
04019000046,2
04009000013,2
04003000047,2
04009000021,2
04009000014,2
04009000005,2
04009000015,2
04009000017,2
04009000007,2
04009000004,2
04009000002,2
04009000003,2
04009000018,2
04009000022,2
04009000019,2
04009000020,2
04003000021,2
04003000024,2
04003000002,2
04003000001,2
04003000003,2
04003000044,2
04003000045,2
04003000025,2
04003000022,2
04003000008,2
04003000013,2
04003000010,2
04003000011,2
04003000009,2
04003000020,2
04003000012,2
04003000017,2
04003000004,2
04003000006,2
04003000005,2
04003000035,2
04003000019,2
04023000023,2
04023000006,2
04003000031,2
04003000026,2
04003000038,2
04003000036,2
04003000030,2
04003000041,2
04003000034,2
04003000033,2
04003000043,2
04003000039,2
04003000046,2
04003000032,2
04003000028,2
04003000040,2
04003000037,2
04003000027,2
04003000042,2
04003000029,2
04003000016,2
04003000014,2
04003000015,2
04003000018,2
04003000048,2
04003000049,2
04009000009,2
04019000181,2
04019000182,2
04019000197,2
04019000132,2
04019000177,2
04019000133,2
04019000039,2
04019000183,2
04019000156,2
04019000180,2
04019000192,2
04019000130,2
04019000129,2
04019000119,2
04019000069,2
04019000116,2
04019000174,2
04019000117,2
04019000111,2
04019000113,2
04019000105,2
04019000189,2
04019000120,2
04019000124,2
04019000122,2
04019000241,2
04019000125,2
04019000099,2
04019000107,2
04019000089,2
04019000238,2
04019000240,2
04019000220,2
04019000199,2
04019000065,2
04019000179,2
04019000243,2
04019000178,2
04021000093,2
04021000005,2
04021000007,2
04021000015,2
04019000188,2
04019000216,2
04019000212,2
04019000173,2
04019000012,2
04019000202,2
04019000200,2
04019000172,2
04019000169,2
04019000077,2
04019000024,2
04021000016,2
04021000104,2
04021000011,2
04021000012,2
04019000145,2
04019000201,2
04019000191,2
04019000081,2
04019000134,2
04019000146,2
04019000185,2
04019000015,2
04019000213,2
04019000142,2
04019000079,2
04019000184,2
04019000194,2
04021000008,2
04021000092,2
04019000149,2
04019000087,2
04019000230,2
04019000211,2
04019000158,2
04019000068,2
04019000058,2
04019000154,2
04019000057,2
04019000164,2
04019000038,2
04019000032,2
04019000085,2
04019000030,2
04019000226,2
04019000219,2
04019000150,2
04019000223,2
04019000242,2
04019000014,2
04019000161,2
04019000104,2
04019000222,2
04019000070,2
04019000101,2
04019000021,2
04019000144,2
04019000233,2
04019000215,2
04019000005,2
04019000035,2
04019000228,2
04019000092,2
04019000127,2
04019000006,2
04019000175,2
04019000115,2
04019000040,2
04019000167,2
04019000166,2
04019000036,2
04019000153,2
04019000016,2
04019000034,2
04019000031,2
04019000225,2
04019000186,2
04019000100,2
04019000108,2
04013000168,3
04013000049,3
04013000183,3
04013000714,3
04013000352,3
04013000435,3
04013000521,3
04013000384,3
04013000043,3
04013000030,3
04013000285,3
04013000430,3
04013000343,3
04013000004,3
04013000552,3
04013000052,3
04013000663,3
04013000588,3
04013000278,3
04013000514,3
04013000344,3
04013000396,3
04013000001,3
04013000106,3
04013000742,3
04013000393,3
04013000161,3
04013000656,3
04013000072,3
04013000107,3
04013000162,3
04013000591,3
04013000736,3
04013000081,3
04013000593,3
04013000432,3
04013000500,3
04013000643,3
04013000335,3
04013000164,3
04013000368,3
04013000655,3
04013000515,3
04013000683,3
04013000151,3
04013000334,3
04013000370,3
04013000597,3
04013000244,3
04013000023,3
04013000716,3
04013000748,3
04013000325,3
04013000487,3
04013000557,3
04013000149,3
04013000150,3
04013000130,3
04013000658,3
04013000713,3
04013000621,3
04013000270,3
04013000351,3
04013000636,3
04013000013,3
04013000483,3
04013000386,3
04013000342,3
04013000533,3
04013000579,3
04013000659,3
04013000737,3
04013000284,3
04013000420,3
04013000704,3
04013000685,3
04013000464,3
04013000143,3
04013000646,3
04013000723,3
04013000664,3
04013000205,3
04013000727,3
04013000687,3
04013000291,3
04013000316,3
04013000676,3
04013000269,3
04013000182,3
04013000206,3
04013000603,3
04013000051,3
04013000277,3
04013000054,3
04013000629,3
04013000701,3
04013000439,3
04025000002,3
04013000404,3
04013000347,3
04013000006,3
04013000057,3
04013000303,3
04013000153,3
04013000423,3
04013000330,3
04013000590,3
04013000353,3
04013000555,3
04013000219,3
04013000177,3
04013000033,3
04013000661,3
04013000536,3
04013000706,3
04013000020,3
04013000059,3
04013000273,3
04013000089,3
04013000015,3
04013000145,3
04013000002,3
04013000510,3
04013000141,3
04013000125,3
04013000703,3
04013000604,3
04013000645,3
04013000333,3
04013000677,3
04013000250,3
04013000444,3
04013000292,3
04013000395,3
04013000741,3
04013000207,4
04013000681,4
04013000498,4
04013000476,4
04013000686,4
04013000310,4
04013000039,4
04013000553,4
04013000461,4
04013000197,4
04013000743,4
04013000708,4
04013000194,4
04013000154,4
04013000091,4
04013000135,4
04013000187,4
04013000105,4
04013000530,4
04013000581,4
04013000128,4
04013000042,4
04013000235,4
04013000508,4
04013000535,4
04013000289,4
04013000457,4
04013000642,4
04013000532,4
04013000287,4
04013000201,4
04013000031,4
04013000512,4
04013000078,4
04013000494,4
04013000381,4
04013000296,4
04013000417,4
04013000409,4
04013000418,4
04013000471,4
04013000098,4
04013000450,4
04013000503,4
04013000668,4
04013000111,4
04013000275,4
04013000094,4
04013000112,4
04013000222,4
04013000147,4
04013000383,4
04013000026,4
04013000252,4
04013000024,4
04013000672,4
04013000198,4
04013000634,4
04013000038,4
04013000243,4
04013000688,4
04013000223,4
04013000569,4
04013000255,4
04013000692,4
04013000331,4
04013000165,4
04013000357,4
04013000129,4
04013000088,4
04013000565,4
04013000254,4
04013000380,4
04013000441,4
04013000220,4
04013000691,4
04013000193,4
04013000241,4
04013000245,4
04013000144,4
04013000641,4
04013000446,4
04013000356,4
04013000025,4
04013000101,4
04013000364,4
04013000117,4
04013000415,4
04021000061,4
04013000061,4
04021000062,4
04021000078,4
04013000349,4
04021000073,4
04021000079,4
04021000074,4
04013000640,4
04013000253,4
04013000202,4
04013000236,4
04013000376,4
04013000619,4
04013000618,4
04013000605,4
04013000076,4
04013000192,4
04013000237,4
04013000739,4
04013000454,4
04013000127,4
04013000622,4
04013000126,4
04013000426,4
04013000451,4
04013000066,4
04013000705,4
04013000011,4
04013000172,4
04013000632,4
04013000246,4
04013000414,4
04013000336,4
04013000139,4
04013000079,4
04013000085,4
04013000711,4
04013000010,4
04013000227,4
04013000543,4
04013000063,4
04013000324,4
04013000224,4
04013000694,4
04013000589,4
04013000231,4
04013000332,4
04013000071,4
04017000049,5
04017000009,5
04017000061,5
04017000003,5
04017000060,5
04001000020,5
04001000160,5
04001000180,5
04001000050,5
04001000045,5
04001000205,5
04017000039,5
04017000038,5
04017000028,5
04017000035,5
04001000070,5
04001000100,5
04017000013,5
04017000012,5
04017000021,5
04017000053,5
04017000052,5
04017000036,5
04017000016,5
04009000016,5
04001000005,5
04011000002,5
04011000007,5
04011000003,5
04011000005,5
04011000004,5
04009000001,5
04003000007,5
04003000023,5
04011000008,5
04011000006,5
04011000001,5
04001000120,5
04009000010,5
04009000012,5
04021000006,5
04021000004,5
04021000001,5
04021000025,5
04021000017,5
04021000024,5
04021000027,5
04021000020,5
04021000013,5
04021000105,5
04021000091,5
04021000014,5
04021000009,5
04021000053,5
04021000067,5
04021000031,5
04021000030,5
04021000077,5
04021000101,5
04021000100,5
04021000102,5
04021000090,5
04021000080,5
04013000583,5
04019000002,5
04019000137,5
04019000136,5
04019000135,5
04019000004,5
04019000003,5
04019000076,5
04019000007,5
04019000008,5
04023000017,5
04023000005,5
04023000022,5
04023000021,5
04019000138,5
04019000060,5
04019000236,5
04019000168,5
04019000083,5
04019000231,5
04019000084,5
04019000140,5
04019000227,5
04019000155,5
04019000147,5
04019000019,5
04019000232,5
04019000196,5
04019000217,5
04019000110,5
04019000203,5
04019000235,5
04019000041,5
04019000157,5
04019000190,5
04019000023,5
04019000028,5
04019000052,5
04019000248,5
04019000026,5
04019000059,5
04019000025,5
04019000047,5
04019000247,5
04019000246,5
04019000018,5
04019000045,5
04019000017,5
04019000033,5
04019000151,5
04019000020,5
04019000245,5
04019000097,5
04019000037,5
04019000043,5
04019000143,5
04019000042,5
04019000073,5
04019000078,5
04019000063,5
04019000082,5
04019000044,5
04019000062,5
04019000064,5
04019000066,5
04019000048,5
04019000159,5
04019000086,5
04019000114,5
04019000049,5
04019000224,5
04019000198,5
04019000195,5
04019000218,5
04019000221,5
04019000011,5
04019000249,5
04019000229,5
04019000206,5
04023000011,5
04023000007,5
04023000019,5
04023000008,5
04023000010,5
04023000004,5
04023000003,5
04023000002,5
04023000012,5
04023000009,5
04023000018,5
04023000020,5
04023000016,5
04023000001,5
04023000024,5
04023000013,5
04023000014,5
04023000015,5
04019000193,5
04019000074,5
04019000141,5
04019000209,5
04019000207,5
04019000010,5
04019000205,5
04019000139,5
04019000204,5
04019000165,5
04019000109,5
04019000095,5
04019000176,5
04019000090,5
04019000123,5
04019000054,5
04019000244,5
04019000050,5
04019000160,5
04019000051,5
04019000053,5
04019000022,5
04019000234,5
04019000152,5
04019000102,5
04019000208,5
04019000071,5
04019000001,5
04027000P19,5
04013000299,5
04021000010,5
04021000022,5
04021000019,5
04021000021,5
04021000083,5
04021000039,5
04021000029,5
04021000055,5
04021000099,5
04021000037,5
04021000082,5
04021000034,5
04021000036,5
04021000038,5
04021000041,5
04021000032,5
04021000033,5
04021000035,5
04021000081,5
04021000050,5
04021000103,5
04009000011,5
04009000006,5
04009000008,5
04017000056,5
04007000011,5
04001000030,5
04001000165,5
04001000130,5
04017000044,5
04017000022,5
04001000095,5
04001000125,5
04001000170,5
04001000080,5
04001000175,5
04001000210,5
04001000010,5
04001000115,5
04001000060,5
04001000185,5
04017000010,5
04017000023,5
04017000046,5
04017000007,5
04017000057,5
04017000017,5
04017000050,5
04001000065,5
04017000024,5
04017000059,5
04017000032,5
04017000045,5
04017000047,5
04017000033,5
04001000015,5
04001000035,5
04001000150,5
04001000105,5
04001000195,5
04001000055,5
04001000075,5
04001000215,5
04001000085,5
04017000019,5
04001000025,5
04017000014,5
04017000015,5
04005000021,6
04005000084,6
04005000056,6
04005000098,6
04005000097,6
04005000058,6
04005000043,6
04005000048,6
04017000030,6
04017000020,6
04017000008,6
04017000011,6
04017000004,6
04001000040,6
04001000110,6
04001000135,6
04001000200,6
04001000190,6
04001000155,6
04001000090,6
04001000140,6
04001000145,6
04017000002,6
04017000048,6
04017000034,6
04017000051,6
04005000088,6
04005000069,6
04017000001,6
04017000029,6
04017000043,6
04017000025,6
04005000053,6
04007000040,6
04017000005,6
04017000040,6
04017000037,6
04017000031,6
04017000042,6
04007000010,6
04007000012,6
04007000006,6
04007000054,6
04007000008,6
04007000014,6
04021000052,6
04021000051,6
04021000072,6
04021000059,6
04021000048,6
04021000066,6
04021000084,6
04021000023,6
04021000070,6
04021000026,6
04021000075,6
04021000069,6
04021000089,6
04021000076,6
04021000086,6
04013000523,6
04013000358,6
04013000611,6
04013000586,6
04013000679,6
04013000518,6
04013000654,6
04013000511,6
04013000416,6
04013000302,6
04013000624,6
04013000558,6
04013000157,6
04013000301,6
04013000258,6
04013000735,6
04013000327,6
04013000724,6
04013000669,6
04013000122,6
04013000443,6
04013000595,6
04013000257,6
04013000477,6
04013000159,6
04013000612,6
04013000576,6
04013000005,6
04013000541,6
04021000088,6
04013000467,6
04013000178,6
04021000040,6
04021000047,6
04021000046,6
04021000064,6
04021000044,6
04021000043,6
04013000488,6
04013000210,6
04013000455,6
04013000517,6
04013000265,6
04013000211,6
04013000650,6
04013000563,6
04013000566,6
04013000674,6
04013000568,6
04013000366,6
04013000083,6
04013000035,6
04013000372,6
04021000071,6
04021000098,6
04021000028,6
04021000049,6
04021000087,6
04021000097,6
04021000094,6
04021000095,6
04021000085,6
04021000068,6
04021000096,6
04021000060,6
04021000018,6
04007000015,6
04007000017,6
04007000013,6
04013000673,6
04007000023,6
04013000298,6
04013000529,6
04021000045,6
04021000063,6
04021000042,6
04013000053,6
04013000226,6
04013000729,6
04013000074,6
04013000294,6
04013000232,6
04013000233,6
04013000155,6
04013000163,6
04013000022,6
04021000058,6
04021000057,6
04021000056,6
