GEOID,DISTRICT
04013000223,1
04013000111,1
04013000252,1
04013000688,1
04013000198,1
04013000634,1
04013000243,1
04013000074,1
04013000729,1
04013000265,1
04013000650,1
04013000038,1
04013000366,1
04013000222,1
04013000226,1
04013000455,1
04013000083,1
04013000517,1
04013000372,1
04013000035,1
04013000163,1
04013000022,1
04021000042,1
04021000043,1
04021000044,1
04021000056,1
04021000045,1
04013000053,1
04013000568,1
04013000294,1
04013000672,1
04013000024,1
04013000155,1
04013000468,1
04013000359,1
04013000298,1
04013000233,1
04013000673,1
04013000232,1
04013000112,1
04013000480,2
04013000329,2
04013000021,2
04013000696,2
04013000522,2
04013000276,2
04013000652,2
04013000305,2
04013000323,2
04013000304,2
04013000032,2
04013000328,2
04013000114,2
04013000665,2
04013000318,2
04013000337,2
04013000230,2
04013000462,2
04013000195,2
04013000452,2
04013000132,2
04013000440,2
04013000019,2
04013000587,2
04013000115,2
04013000478,2
04013000382,2
04013000338,2
04013000317,2
04013000339,2
04013000501,2
04013000261,2
04013000453,2
04013000123,2
04013000048,2
04013000283,2
04013000525,2
04013000608,2
04013000684,2
04013000744,2
04013000099,2
04013000345,2
04013000580,2
04013000726,2
04013000263,2
04013000460,2
04013000746,2
04013000449,2
04013000293,2
04013000073,2
04013000017,2
04013000242,2
04013000592,2
04013000484,2
04013000131,2
04019000218,3
04019000114,3
04019000095,3
04019000177,3
04019000197,3
04019000133,3
04019000132,3
04019000182,3
04019000123,3
04019000039,3
04019000046,3
04019000179,3
04019000243,3
04019000126,3
04019000128,3
04019000178,3
04021000005,3
04019000065,3
04019000240,3
04019000181,3
04019000180,3
04019000131,3
04019000192,3
04019000116,3
04019000069,3
04019000119,3
04019000117,3
04019000111,3
04019000113,3
04019000120,3
04019000124,3
04019000156,3
04019000122,3
04019000105,3
04019000096,3
04019000094,3
04019000080,3
04019000093,3
04019000100,3
04019000103,3
04019000108,3
04019000174,3
04019000107,3
04019000078,3
04019000063,3
04019000062,3
04019000086,3
04019000098,3
04019000189,3
04019000130,3
04019000129,3
04019000183,3
04019000049,3
04019000176,3
04013000152,4
04013000374,4
04013000556,4
04013000408,4
04013000027,4
04013000667,4
04013000502,4
04013000499,4
04013000311,4
04013000040,4
04013000248,4
04013000481,4
04013000413,4
04013000698,4
04013000469,4
04013000041,4
04013000140,4
04013000320,4
04013000657,4
04013000689,4
04013000549,4
04013000639,4
04013000321,4
04013000332,4
04013000427,4
04013000039,4
04013000589,4
04013000224,4
04013000227,4
04013000539,4
04013000627,4
04013000725,4
04013000412,4
04013000213,4
04013000075,4
04013000448,4
04013000391,4
04013000485,4
04003000039,5
04003000042,5
04003000019,5
04003000005,5
04023000023,5
04023000013,5
04023000018,5
04023000003,5
04023000012,5
04023000016,5
04023000020,5
04023000004,5
04023000009,5
04023000024,5
04023000019,5
04023000022,5
04023000010,5
04023000008,5
04023000005,5
04019000008,5
04019000076,5
04019000007,5
04019000208,5
04019000071,5
04023000017,5
04023000021,5
04023000007,5
04023000011,5
04019000139,5
04019000206,5
04019000084,5
04019000231,5
04019000140,5
04019000011,5
04019000249,5
04019000221,5
04019000224,5
04019000109,5
04019000195,5
04019000198,5
04019000229,5
04019000217,5
04019000090,5
04019000168,5
04019000083,5
04019000204,5
04019000205,5
04019000209,5
04019000141,5
04019000207,5
04019000193,5
04019000074,5
04019000010,5
04019000227,5
04019000147,5
04023000014,5
04023000002,5
04023000001,5
04023000006,5
04023000015,5
04003000035,5
04003000014,5
04003000004,5
04003000006,5
04003000018,5
04003000020,5
04003000012,5
04003000013,5
04003000022,5
04003000025,5
04003000047,5
04003000049,5
04003000048,5
04003000045,5
04003000044,5
04003000008,5
04003000010,5
04003000011,5
04003000009,5
04003000017,5
04003000027,5
04013000014,6
04013000371,6
04013000731,6
04013000388,6
04013000730,6
04013000143,6
04013000185,6
04013000186,6
04013000009,6
04013000209,6
04013000146,6
04013000644,6
04013000626,6
04013000567,6
04013000137,6
04013000695,6
04013000401,6
04013000181,6
04013000520,6
04013000322,6
04013000693,6
04013000550,6
04013000710,6
04013000378,6
04013000189,6
04013000016,6
04013000282,6
04013000474,6
04013000158,6
04013000574,6
04013000350,6
04013000472,6
04013000037,6
04013000704,6
04017000059,7
04001000035,7
04001000185,7
04001000060,7
04001000115,7
04001000015,7
04001000175,7
04001000010,7
04001000105,7
04001000150,7
04017000004,7
04017000011,7
04017000008,7
04017000002,7
04001000195,7
04017000051,7
04017000034,7
04017000020,7
04017000048,7
04017000047,7
04017000030,7
04005000061,7
04005000065,7
04005000093,7
04005000095,7
04005000043,7
04005000056,7
04005000005,7
04005000004,7
04005000003,7
04005000012,7
04005000013,7
04005000020,7
04005000009,7
04005000014,7
04005000011,7
04005000010,7
04005000023,7
04005000024,7
04005000019,7
04005000025,7
04005000015,7
04005000002,7
04005000008,7
04005000001,7
04005000022,7
04005000021,7
04005000084,7
04005000062,7
04005000082,7
04025000090,7
04025000037,7
04025000105,7
