GEOID,DISTRICT
060710020464,1
060710020463,1
060710020374,1
060710020381,1
060710020382,1
060710020372,1
060710020373,1
060710020471,1
060710020473,1
060710020481,1
060710020472,1
060710020501,1
060710021122,1
060710021121,1
060710021113,1
060710020281,1
060710021073,1
060710021112,1
060710021072,1
060710021071,1
060710021111,1
060710021052,1
060710021091,1
060710021093,1
060710127001,1
060710021092,1
060710022071,1
060710022041,1
060710022072,1
060710022042,1
060710022044,1
060710022043,1
060710024041,1
060710024042,1
060710025011,1
060710024032,1
060710026092,1
060710026021,1
060710026091,1
060710026083,1
060710026063,1
060710025013,1
060710025042,1
060710025014,1
060710024031,1
060650405032,1
060650405023,1
060710026042,1
060710026043,1
060710026023,1
060710026024,1
060710026041,1
060710019063,1
060710127002,1
060650406183,1
060710019081,1
060650406171,1
060650406212,1
060650406181,1
060650406182,1
060710122011,1
060710019012,1
060710019062,1
060710019061,1
060710019064,1
060710022061,1
060710022062,1
060710022064,1
060710022063,1
060710013123,1
060710013122,1
060710013081,1
060710013051,1
060710013071,1
060710013052,1
060710013053,1
060710013104,1
060710012001,1
060710012002,1
060710013103,1
060710013102,1
060710014001,1
060710015012,1
060710011033,1
060710011043,1
060710014002,1
060710016003,1
060710011013,1
060710011012,1
060710011011,1
060710010021,1
060710012004,1
060710013091,1
060710013082,1
060710013093,1
060710013092,1
060710013101,1
060710013072,1
060710013121,1
060710016002,1
060710015032,1
060710015011,1
060710016001,1
060710016004,1
060710016005,1
060710018133,1
060710018131,1
060710018122,1
060710018103,1
060710015042,1
060710015041,1
060710015031,1
060710015043,1
060710018032,1
060710018093,1
060710018091,1
060710018081,1
060710018082,1
060710018083,1
060710019101,1
060710018092,1
060710018061,1
060710018063,1
060710018062,1
060710018031,1
060710018102,1
060710018101,1
060710018041,1
060710017043,1
060710018121,1
060710017071,1
060710017061,1
060710018132,1
060710018043,1
060710017034,1
060710018042,1
060710017033,1
060710017032,1
060710019011,1
060710019013,1
060710019113,1
060710019111,1
060710006041,1
060710006061,1
060710005042,1
060710122012,1
060710006042,1
060710006052,1
060710006062,1
060710006043,1
060710006032,1
060710005013,1
060710004032,1
060710004033,1
060710003042,1
060710003082,1
060710003071,1
060710003072,1
060710003061,1
060710003052,1
060710002081,1
060710002051,1
060710010022,1
060710010023,1
060710010024,1
060710003062,1
060710002072,1
060710002073,1
060710003053,1
060710003054,1
060710002071,1
060710002033,1
060374027062,1
060374027061,1
060374027063,1
060374027052,1
060374026011,1
060374021013,1
060374021011,1
060374021012,1
060374017074,1
060374019024,1
060374019023,1
060374019022,1
060374020011,1
060374020022,1
060374020021,1
060374027031,1
060710002011,1
060374020023,1
060710002013,1
060710002012,1
060710008252,1
060710008253,1
060710008262,1
060710008261,1
060710008263,1
060710009031,1
060710009042,1
060710009033,1
060710021011,1
060710009032,1
060710009041,1
060710008231,1
060710008233,1
060710008234,1
060710008211,1
060710008241,1
060710008244,1
060710008243,1
060710008242,1
060710008182,1
060710008082,1
060710008232,1
060710010011,1
060710010013,1
060710002052,1
060710010012,1
060710011042,1
060710011041,1
060710011031,1
060710012003,1
060710011032,1
060710002053,1
060710002082,1
060710008251,1
060710002031,1
060710002032,1
060374019021,1
060374019012,1
060374018012,1
060374019011,1
060710008212,1
060374017073,1
060374017072,1
060374017071,1
060374018022,1
060374018021,1
060374021021,1
060374021022,1
060374022001,1
060374022002,1
060374023011,1
060374024062,1
060374022003,1
060374024052,1
060374024041,1
060374035001,1
060374024063,1
060374023033,1
060374023031,1
060374023032,1
060374088001,1
060374023042,1
060374025011,1
060374023041,1
060374090001,1
060374090002,1
060374024051,1
060374024061,1
060374090004,1
060374034031,1
060374024032,1
060374024031,1
060374034032,1
060374034041,1
060374034042,1
060374034033,1
060374034092,1
060374034072,1
060374034071,1
060374080051,1
060374080053,1
060374063003,1
060374034091,1
060374025012,1
060374025032,1
060374023012,1
060374026023,1
060374026012,1
060374027051,1
060374027024,1
060374027021,1
060374028011,1
060374026021,1
060374026013,1
060374027023,1
060374027022,1
060374028012,1
060374088003,1
060374088002,1
060374026022,1
060374027032,1
060374020012,1
060710003051,1
060710003041,1
060710003081,1
060710004041,1
060710004031,1
060710004011,1
060374029031,1
060374028041,1
060374028043,1
060374028042,1
060710005014,1
060710005011,1
060710005031,1
060710005043,1
060710005033,1
060710005032,1
060710001071,1
060710001092,1
060710001091,1
060710001052,1
060710001182,1
060710001181,1
060374033202,1
060374033211,1
060710001171,1
060710001173,1
060710001174,1
060710001041,1
060710001032,1
060710001031,1
060710001033,1
060710004013,1
060710001043,1
060710004014,1
060374033182,1
060374033183,1
060374033184,1
060374033181,1
060374030001,1
060374029023,1
060374029042,1
060710004012,1
060710005012,1
060374029021,1
060374028031,1
060374028013,1
060374028032,1
060374029022,1
060374029041,1
060374029032,1
060710001042,1
060710001051,1
060710001172,1
060710017031,1
060710017023,1
060710004042,1
060710006033,1
060710006031,1
060710017022,1
060710017073,1
060710017072,1
060710017062,1
060710017063,1
060710017064,1
060710017021,1
060710003043,1
060710017041,1
060710017042,1
060710019112,1
060710013111,1
060710013112,1
060710021051,1
060710021032,1
060710021033,1
060710020162,1
060710008123,1
060710020161,1
060710020151,1
060710020232,1
060710020234,1
060710020152,1
060710020131,1
060710020142,1
060710020111,1
060710020112,1
060710020141,1
060710008121,1
060710009011,1
060710009012,1
060710008083,1
060710009013,1
060710008191,1
060710008192,1
060710008122,1
060710008193,1
060710008203,1
060710008081,1
060710008184,1
060710008181,1
060710008171,1
060710008172,1
060710008183,1
060710021012,1
060710008084,1
060710021031,1
060710021053,1
060710020271,1
060710020273,1
060710020272,1
060710020282,1
060710020251,1
060710020252,1
060710020293,1
060710020192,1
060710020294,1
060710020352,1
060710020353,1
060710020313,1
060710020492,1
060710020503,1
060710020491,1
060710020511,1
060710020233,1
060710020502,1
060710020512,1
060710020442,1
060590320643,2
060590320621,2
060590320622,2
060650464011,2
060730190011,2
060650497023,2
060650497022,2
060650497011,2
060650432721,2
060650506001,2
060650506003,2
060650506005,2
060650506004,2
060650497021,2
060650497012,2
060650498002,2
060650512001,2
060650496002,2
060650496001,2
060650496003,2
060650498001,2
060730190012,2
060650512003,2
060650432723,2
060650432722,2
060650432712,2
060650430083,2
060650430082,2
060650430013,2
060650430051,2
060650430102,2
060650430103,2
060650430101,2
060650430031,2
060650430081,2
060650430033,2
060650430032,2
060650430092,2
060650430052,2
060650430091,2
060650464034,2
060650464032,2
060650464031,2
060650464052,2
060650432742,2
060650464043,2
060650427481,2
060650427483,2
060650464042,2
060650427141,2
060650427142,2
060650427163,2
060650432791,2
060650464051,2
060650432792,2
060650432702,2
060650432762,2
060650432701,2
060650506002,2
060650432274,2
060650432273,2
060650432272,2
060650432293,2
060650432063,2
060650504021,2
060650504014,2
060650504013,2
060650432065,2
060650432061,2
060650432062,2
060650432281,2
060650432282,2
060650432064,2
060650505032,2
060650505021,2
060650505022,2
060650505031,2
060650505033,2
060650496004,2
060650504022,2
060650504023,2
060650432271,2
060650432291,2
060650432761,2
060650432793,2
060650432784,2
060650507011,2
060650507012,2
060650432351,2
060650432043,2
060650432042,2
