GEOID,DISTRICT
060371021071,1
060371211022,1
060371211023,1
060371211021,1
060371047031,1
060371047042,1
060379800211,1
060371032021,1
060371041242,1
060371041241,1
060371041082,1
060371041083,1
060371041031,1
060371041032,1
060371042042,1
060371041243,1
060379800261,1
060371212101,1
060371212102,1
060371190012,1
060371190011,1
060371198022,1
060371190042,1
060371190032,1
060371190041,1
060371198011,1
060371197003,1
060371197002,1
060371197001,1
060371204002,1
060371203002,1
060371204001,1
060371271031,1
060371271041,1
060371279201,1
060371235101,1
060371234101,1
060371234201,1
060371234202,1
060371234102,1
060371233032,1
060371233031,1
060371220002,1
060371220001,1
060371235201,1
060371236021,1
060371236022,1
060371236023,1
060371245002,1
060371282201,1
060371281011,1
060371282202,1
060371282102,1
060371282101,1
060371281021,1
060371281023,1
060371279101,1
060371281012,1
060371281022,1
060371278053,1
060371278061,1
060371278062,1
060371278063,1
060371278051,1
060371277111,1
060371276061,1
060371276062,1
060371277112,1
060371278043,1
060371277122,1
060371276032,1
060371277121,1
060371278042,1
060371272103,1
060371273001,1
060371273002,1
060371272102,1
060371272201,1
060371272202,1
060371276042,1
060371276041,1
060371286011,1
060371285002,1
060371286022,1
060371286023,1
060371245001,1
060371236013,1
060371246001,1
060371285001,1
060371287032,1
060371285003,1
060371285004,1
060371288023,1
060371284001,1
060371284002,1
060371288021,1
060371289102,1
060371287031,1
060371289101,1
060371289103,1
060371413032,1
060371413052,1
060371413031,1
060371413061,1
060371413041,1
060371413042,1
060371412013,1
060371413051,1
060371414001,1
060371283032,1
060371286012,1
060371286013,1
060371286021,1
060371234203,1
060371237004,1
060371244001,1
060371236012,1
060371244003,1
060371244002,1
060371237003,1
060371238002,1
060371249022,1
060371249021,1
060371238003,1
060371237002,1
060371238001,1
060371239012,1
060371232042,1
060371232041,1
060371233012,1
060371232033,1
060371232032,1
060371241052,1
060371241041,1
060371239011,1
060371241051,1
060371241042,1
060371241031,1
060371242012,1
060371242011,1
060371231043,1
060371243001,1
060371243002,1
060373112001,1
060371231042,1
060373111002,1
060373111001,1
060373110003,1
060373110002,1
060371231041,1
060371231031,1
060371232061,1
060371230101,1
060371224203,1
060371224102,1
060371224101,1
060371233011,1
060371232031,1
060371232052,1
060371232051,1
060379800011,1
060373105012,1
060371221202,1
060371230201,1
060371230202,1
060371230102,1
060371224201,1
060371224202,1
060371222001,1
060371222002,1
060371221222,1
060371221212,1
060371221201,1
060371219001,1
060371221221,1
060371221211,1
060371219002,1
060371218022,1
060371210102,1
060371210103,1
060371210101,1
060371210202,1
060371216001,1
060371216002,1
060371233041,1
060371218012,1
060371218011,1
060371210201,1
060371218021,1
060371212223,1
060371212221,1
060371212222,1
060371212212,1
060371212211,1
060371231032,1
060373111003,1
060371242013,1
060371242031,1
060371243003,1
060371242032,1
060371242042,1
060371253104,1
060371253105,1
060371242041,1
060371241021,1
060371241023,1
060371239021,1
060371251011,1
060371239022,1
060371251012,1
060371251021,1
060371251013,1
060371433012,1
060371434022,1
060371240002,1
060371240003,1
060371247003,1
060371434021,1
060371433021,1
060371436023,1
060371434011,1
060371434013,1
060371240004,1
060371240001,1
060371247001,1
060371247002,1
060371246002,1
060371246003,1
060371247004,1
060371249032,1
060371249031,1
060371241022,1
060371252001,1
060371252002,1
060371254023,1
060371253222,1
060371253221,1
060371254032,1
060371254041,1
060371255011,1
060371255022,1
060371253212,1
060371255012,1
060371253211,1
060371253102,1
060371253103,1
060371254031,1
060371237001,1
060371233042,1
060371233043,1
060371236011,1
060371235102,1
060371279202,1
060371271042,1
060371271023,1
060371271022,1
060371279102,1
060371278031,1
060371278032,1
060371278041,1
060371278052,1
060371272203,1
060371203003,1
060371200202,1
060371201061,1
060371201041,1
060371199003,1
060371201051,1
060371199002,1
060371199001,1
060371198012,1
060371194003,1
060371193411,1
060371194001,1
060371194002,1
060371201052,1
060371193402,1
060371193401,1
060371201081,1
060371193203,1
060371201031,1
060371201032,1
060371201082,1
060371200301,1
060371204003,1
060371198021,1
060371203001,1
060371203004,1
060371220003,1
060371210104,1
060371048231,1
060371048242,1
060371047032,1
060371033001,1
060371034011,1
060371014002,1
060371034022,1
060371014001,1
060371012211,1
060371033002,1
060371032012,1
060371031011,1
060371032011,1
060371031025,1
060371034024,1
060371034023,1
060371031023,1
060371031022,1
060371034021,1
060371031021,1
060371031024,1
060371031012,1
060371011221,1
060371011222,1
060371011103,1
060371011101,1
060590753011,2
060590753012,2
060590891071,2
060590891072,2
060590761023,2
060590761024,2
060590761033,2
060590761032,2
060590884032,2
060590761034,2
060590884022,2
060590884012,2
060590883022,2
060590883023,2
060590884011,2
060590883021,2
060590883012,2
060590882031,2
060590887011,2
060590882022,2
060590882021,2
060590883013,2
060590877043,2
060590876027,2
060590876025,2
060590877042,2
060590877044,2
060590877041,2
060590877013,2
060590877014,2
060590877034,2
060590878063,2
060590870023,2
060590877012,2
060590877015,2
060590878054,2
060590878064,2
060590878051,2
060590870024,2
060590870021,2
060590870015,2
060590870022,2
060590871011,2
060590871012,2
060590871023,2
060590871021,2
060590871022,2
060590871024,2
060590868024,2
060590868022,2
060590868023,2
060590868031,2
060590868034,2
060590870012,2
060590868036,2
060590868033,2
060590868012,2
060590871013,2
060590877035,2
060590877045,2
060590877033,2
060590878061,2
060590877031,2
060590871032,2
060590871036,2
060590871033,2
060590871063,2
060590871053,2
060590871062,2
060590877011,2
060590871037,2
060590876012,2
060590876011,2
060590871031,2
060590876021,2
060590876014,2
060590876024,2
060590883011,2
060590876022,2
060590875035,2
060590887013,2
060590887012,2
060590887021,2
060590888013,2
060590888011,2
060590889011,2
060590888021,2
060590998032,2
060590998031,2
060590998022,2
060590996012,2
060590997022,2
060590999032,2
060590999031,2
060590997013,2
060590997023,2
060590997012,2
060590998033,2
060590996022,2
060590996021,2
060590999023,2
060590999022,2
060590999052,2
060590999061,2
060590996031,2
060590999062,2
060590999051,2
060590999021,2
060591100043,2
060591100044,2
060591100042,2
060591100041,2
060590881011,2
060590878013,2
060590878012,2
060591100102,2
060590879012,2
060590879023,2
060590879011,2
060590879022,2
060590881042,2
060590879021,2
060590881041,2
060590881062,2
060590881072,2
060590881051,2
060590880012,2
060590880021,2
060590880022,2
060590882011,2
060590882012,2
060590882013,2
060590877032,2
060590880013,2
060590880011,2
060590878052,2
060590878031,2
060590878062,2
060590880023,2
060590888014,2
060590888015,2
060590888024,2
060590888023,2
060590998012,2
060590998013,2
060590999042,2
060590999043,2
060590881061,2
060590998011,2
060590999041,2
060590999044,2
060590888022,2
060590999033,2
060590996011,2
060590996013,2
060590999045,2
060590998021,2
060590881071,2
060590888012,2
060590887014,2
060590882032,2
060590881052,2
060590884013,2
060590885011,2
060590885022,2
060590885023,2
060590884021,2
060590875032,2
060590875034,2
060599800001,2
060590875041,2
060590875043,2
060590875042,2
060590875031,2
060590875033,2
060590884031,2
060590875044,2
060590761031,2
060590761021,2
060590863035,2
060590874051,2
060590863032,2
060590874033,2
060590863033,2
060590863062,2
060590863037,2
060590863061,2
060590863051,2
060590863043,2
060590863044,2
060590863014,2
060590864053,2
060590864054,2
060590864055,2
060590864022,2
060590864024,2
060590117201,2
060590864061,2
060590864062,2
060590864021,2
060590117203,2
060590873011,2
060590864052,2
060590864041,2
060590864051,2
060590864042,2
060590864023,2
060590864044,2
060590864043,2
060590873021,2
060590863011,2
060590863012,2
060590874041,2
060590874011,2
060590873023,2
060590873012,2
060590873013,2
060590874042,2
060590874013,2
060590874053,2
060590874054,2
060590871064,2
060590871051,2
060590871052,2
060590872006,2
060590872005,2
060590866021,2
060590866014,2
060590865013,2
060590116022,2
060590865011,2
060590865012,2
060590872001,2
060590114034,2
060590116021,2
060590117202,2
060590117221,2
060590117222,2
060590113001,2
060590116023,2
060590116024,2
060590865021,2
060590865024,2
060590865022,2
060590865023,2
060590866011,2
060590872002,2
060590872003,2
060590872007,2
060590873022,2
060590867024,2
060590867023,2
060590867025,2
060590871061,2
060590874031,2
060590874014,2
060590874012,2
060590872004,2
060590873026,2
060590873024,2
060590873025,2
060590863015,2
060590863013,2
060590863053,2
060590863034,2
060590761043,2
060590761042,2
060590863036,2
060590863031,2
060590875053,2
060590875052,2
060590876023,2
060590876026,2
060590875051,2
060590876013,2
060590874032,2
060590874052,2
060590891061,2
060590885012,2
060590886022,2
060590886013,2
060590886014,2
060590886011,2
060590887022,2
060590889021,2
060590889013,2
060590889051,2
060590889012,2
060590889031,2
060590889023,2
060590889032,2
060590889014,2
060590889053,2
060590889052,2
060590889041,2
060590889043,2
060590889022,2
060590890014,2
060590890011,2
060590890042,2
