GEOID,DISTRICT
060552010042,1
060552010041,1
060552010043,1
060552010033,1
060552010062,1
060552010071,1
060552010072,1
060952518032,1
060952518031,1
060952508014,1
060971501003,1
060419901000,1
060971543052,1
060411330003,1
060971535024,1
060971543051,1
060971543053,1
060971543044,1
060971543042,1
060971537071,1
060971537084,1
060971543041,1
060971543071,1
060979901000,1
060971543043,1
060450111023,1
060450111022,1
060459901000,1
060450111021,1
060450110011,1
060450112002,1
060450112003,1
060450112001,1
060450113003,1
060450118001,1
060450118002,1
060971542021,1
060971542024,1
060971542023,1
060971542014,1
060971542022,1
060971542012,1
060971541003,1
060971541001,1
060971542013,1
060971542011,1
060330011021,1
060330011022,1
060450110042,1
060450110043,1
060450110032,1
060450110033,1
060450103004,1
060450105003,1
060450105005,1
060450104001,1
060450103002,1
060450103001,1
060450103003,1
060450103005,1
060450102004,1
060450102003,1
060450110031,1
060450106021,1
060450106013,1
060450106012,1
060450107004,1
060450107003,1
060450107005,1
060450107006,1
060450107007,1
060450107001,1
060450106011,1
060450108011,1
060450108013,1
060450108022,1
060450108015,1
060450108012,1
060450108014,1
060450109002,1
060450106023,1
060450107002,1
060450106022,1
060450108021,1
060450104002,1
060450104003,1
060450105001,1
060450105004,1
060450105002,1
060450104004,1
060450110041,1
060450109001,1
060450109003,1
060450113001,1
060450117002,1
060450117001,1
060450109004,1
060450117003,1
060450117005,1
060450115023,1
060450116003,1
060450116002,1
060450115022,1
060450117004,1
060330003001,1
060330004022,1
060330004011,1
060330004012,1
060330004013,1
060330010003,1
060330010002,1
060330004021,1
060330009021,1
060330009023,1
060330009012,1
060330011011,1
060330005012,1
060330006021,1
060330010005,1
060330010006,1
060330010004,1
060330010001,1
060330011012,1
060330009022,1
060330006022,1
060330003002,1
060330003003,1
060330005022,1
060330005021,1
060450115021,1
060450115011,1
060450116001,1
060450113004,1
060450114002,1
060450114003,1
060450114004,1
060450113002,1
060450116004,1
060450114001,1
060450114005,1
060450115013,1
060450115012,1
060450110012,1
060971543081,1
060971535014,1
060971534031,1
060971535011,1
060971535013,1
060971512062,1
060971512043,1
060971512041,1
060971512063,1
060971513051,1
060971513052,1
060971513013,1
060971512034,1
060971513011,1
060971513053,1
060971513012,1
060971512031,1
060971512033,1
060971512032,1
060971513111,1
060971512051,1
060971513115,1
060971513113,1
060971513112,1
060971513114,1
060971513091,1
060971515052,1
060971513093,1
060971513092,1
060971514053,1
060971514032,1
060971514041,1
060971514061,1
060971519004,1
060971519001,1
060971519003,1
060971514042,1
060971514031,1
060971514062,1
060971514052,1
060971514051,1
060971532022,1
060971519002,1
060971532021,1
060971514054,1
060971513063,1
060971513062,1
060971513103,1
060971513104,1
060971513105,1
060971513101,1
