GEOID,DISTRICT
08069069221,1
08069069222,1
08069069220,1
08069069217,1
08069069218,1
08069069219,1
08069069224,1
08069069225,1
08069069241,1
08069069803,1
08123123143,1
08123123115,1
08123123139,1
08123123148,1
08123123140,1
08123123126,1
08123123131,1
08123123117,1
08123123133,1
08123123149,1
08123123123,1
08123123116,1
08123123130,1
08123123122,1
08123123153,1
08123123138,1
08123123129,1
08069069809,1
08123123120,1
08123123125,1
08123123124,1
08123123243,1
08123123225,1
08123123213,1
08123123105,1
08123123255,1
08123123231,1
08123123251,1
08069069810,1
08123123244,1
08123123227,1
08123123230,1
08123123232,1
08123123229,1
08123123200,1
08123123206,1
08013013708,1
08013013651,1
08013013652,1
08013013707,1
08013013653,1
08013013641,1
08013013636,1
08013013638,1
08013013639,1
08013013706,1
08013013619,1
08013013705,1
08013013704,1
08013013917,1
08013013913,1
08013013912,1
08013013911,1
08013013883,1
08013013807,1
08013013914,1
08013013703,1
08013013918,1
08013013620,1
08013013618,1
08013013617,1
08013013627,1
08013013626,1
08013013621,1
08013013625,1
08013013637,1
08013013635,1
08013013640,1
08013013654,1
08013013650,1
08013013649,1
08013013643,1
08013013644,1
08013013648,1
08013013647,1
08013013645,1
08013013632,1
08013013608,1
08013013609,1
08013013610,1
08013013407,1
08013013406,1
08013013316,1
08013013312,1
08013013313,1
08013013304,1
08013013213,1
08013013507,1
08013013504,1
08013013505,1
08013013801,1
08013013804,1
08013013802,1
08013013803,1
08013013700,1
08013013701,1
08013013508,1
08013013506,1
08013013615,1
08013013702,1
08013013616,1
08013013405,1
08013013404,1
08013013402,1
08013013842,1
08013013852,1
08013013853,1
08013013851,1
08013013843,1
08013013844,1
08013013850,1
08013013849,1
08013013848,1
08013013839,1
08013013845,1
08013013840,1
08013013403,1
08013013813,1
08013013814,1
08013013823,1
08013013841,1
08013013829,1
08013013831,1
08013013828,1
08013013827,1
08013013832,1
08013013881,1
08013013879,1
08013013878,1
08013013876,1
08013013880,1
08013013882,1
08013013910,1
08013013909,1
08013013884,1
08013013826,1
08013013824,1
08013013820,1
08013013825,1
08013013885,1
08013013817,1
08013013810,1
08013013809,1
08013013808,1
08013013805,1
08013013806,1
08013013816,1
08013013818,1
08013013887,1
