GEOID,DISTRICT
08013013603,1
08123123218,1
08013013602,1
08013013605,1
08013013601,1
08013013600,1
08013013647,1
08013013648,1
08013013708,1
08123123208,1
08123123237,1
08123123239,1
08123123207,1
08123123210,1
08123123206,1
08013013651,1
08013013642,1
08013013635,1
08013013627,1
08013013628,1
08013013629,1
08013013624,1
08013013625,1
08013013621,1
08013013637,1
08013013620,1
08013013622,1
08013013623,1
08013013609,1
08013013626,1
08013013652,1
08013013649,1
08013013643,1
08013013634,1
08013013633,1
08013013630,1
08013013644,1
08013013650,1
08013013641,1
08013013640,1
08013013706,1
08013013707,1
08013013654,1
08013013638,1
08013013639,1
08013013636,1
08013013705,1
08013013619,1
08013013703,1
08013013653,1
08013013645,1
08013013646,1
08013013632,1
08013013606,1
08013013806,2
08013013911,2
08013013887,2
08013013912,2
08013013914,2
08013013910,2
08013013885,2
08013013825,2
08013013886,2
08013013884,2
08013013883,2
08013013882,2
08013013826,2
08013013832,2
08013013833,2
08013013876,2
08013013875,2
08013013877,2
08013013878,2
08013013879,2
08013013880,2
08013013906,2
08013013859,2
08013013860,2
08013013858,2
08013013862,2
08013013861,2
08013013856,2
08013013857,2
08013013854,2
08013013865,2
08013013864,2
08013013867,2
08013013868,2
08013013863,2
08013013869,2
08013013873,2
08013013874,2
08013013872,2
08013013866,2
08013013870,2
08013013850,2
08013013849,2
08013013871,2
08013013844,2
08013013848,2
08013013843,2
08013013851,2
08013013853,2
08013013852,2
08013013840,2
08013013842,2
08013013841,2
08013013402,2
08013013214,2
08013013213,2
08013013314,2
08013013404,2
08013013401,2
08013013203,2
08013013210,2
08013013209,2
08013013211,2
08013013208,2
08013013212,2
08013013303,2
08013013839,2
08013013855,2
08013013831,2
08013013828,2
08013013881,2
08013013827,2
08013013807,2
08013013888,2
08013013809,2
08087087003,3
08087087007,3
08087087006,3
08087087008,3
08087087010,3
08087087002,3
08087087001,3
08123123312,3
08123123345,3
08001001244,3
08001001243,3
08001001242,3
08001001240,3
08031031732,3
08031031731,3
08031031741,3
08031031737,3
08031031730,3
08001001239,3
08001001241,3
08001001225,3
08001001228,3
08001001226,3
08087087011,3
08087087012,3
08075075010,3
08121121002,3
08075075008,3
08075075016,3
08075075015,3
08121121003,3
08125125013,3
08125125004,3
08121121004,3
08075075003,3
08075075005,3
08075075006,3
08075075009,3
08075075001,3
08075075004,3
08075075002,3
08075075007,3
08123123102,3
08123123101,3
08075075011,3
08075075013,3
08075075014,3
08115115004,3
08115115003,3
08095095005,3
08095095004,3
08095095003,3
08115115002,3
08115115005,3
08115115001,3
08095095002,3
08095095001,3
08125125007,3
08125125012,3
08125125002,3
08125125006,3
08125125003,3
08125125008,3
08125125001,3
08125125005,3
08095095007,3
08095095006,3
08125125014,3
08125125011,3
08095095008,3
08075075012,3
08087087013,3
08087087014,3
08087087015,3
08121121001,3
08013013612,4
08013013616,4
08013013617,4
08013013611,4
08013013615,4
08013013406,4
08013013316,4
08013013315,4
08013013313,4
08013013312,4
08013013304,4
08013013614,4
08013013405,4
08013013813,4
08013013814,4
08013013500,4
08013013802,4
08013013502,4
08013013801,4
08013013803,4
08013013804,4
08013013805,4
08013013811,4
08013013816,4
08013013808,4
08013013810,4
08013013817,4
08013013818,4
08013013820,4
08013013819,4
08013013824,4
08013013821,4
08013013823,4
08013013830,4
08013013829,4
08013013822,4
08013013815,4
08013013812,4
08013013836,4
08013013838,4
08013013837,4
08013013835,4
08013013834,4
08013013846,4
08013013845,4
08013013847,4
08013013403,4
08013013700,4
08013013704,4
08013013701,4
08013013505,4
08013013508,4
08013013503,4
08013013800,4
08013013504,4
08013013506,4
08013013507,4
08013013702,4
08013013618,4
08013013501,4
08041041136,5
08041041147,5
08041041121,5
08041041123,5
08041041122,5
08041041106,5
08041041170,5
08041041117,5
08041041103,5
08041041105,5
08041041108,5
08041041133,5
08041041107,5
08041041112,5
08041041119,5
08041041113,5
08041041111,5
08041041110,5
08041041168,5
08041041116,5
08041041104,5
08041041205,5
08041041207,5
08041041206,5
08041041208,5
08041041203,5
08041041101,5
08041041204,5
08041041201,5
08041041138,5
08041041120,5
08041041242,5
08041041244,5
08041041243,5
08041041241,5
08041041240,5
08041041140,5
08123123114,6
08123123220,6
08123123247,6
08123123248,6
08123123317,6
08123123319,6
08123123318,6
08123123321,6
08123123338,6
08123123330,6
08123123329,6
08123123324,6
08123123236,6
08123123325,6
08123123331,6
08123123255,6
08123123224,6
08123123246,6
08123123232,6
08123123251,6
08123123230,6
08123123228,6
08123123309,6
08123123202,6
08123123341,6
08123123252,6
08123123253,6
08123123249,6
08123123343,6
08123123323,6
08123123250,6
08123123141,6
08123123137,6
08123123333,6
08123123146,6
08123123113,6
08123123112,6
08123123322,6
08059059084,7
08059059088,7
08059059158,7
08059059173,7
08059059184,7
08059059162,7
08059059161,7
08059059091,7
08059059185,7
08059059201,7
08059059165,7
08059059193,7
08059059190,7
08059059198,7
08059059164,7
08059059086,7
08059059042,7
08059059038,7
08059059087,7
08059059054,7
08059059039,7
08019019007,7
08019019006,7
08059059047,7
08059059048,7
08059059050,7
08059059063,7
08059059059,7
08059059067,7
08059059065,7
08059059057,7
08093093013,7
08093093012,7
08093093011,7
08059059061,7
08059059049,7
08059059052,7
08059059051,7
08059059040,7
08059059056,7
08059059187,7
08059059179,7
08059059186,7
08059059167,7
08059059037,7
08059059085,7
08035035218,8
08035035204,8
08005005191,8
08005005215,8
08005005192,8
08005005213,8
08005005212,8
08005005216,8
08005005217,8
08005005218,8
08005005193,8
08005005194,8
08005005196,8
08005005211,8
08005005195,8
08005005185,8
08005005184,8
08035035205,8
08035035206,8
08005005241,8
08005005220,8
08005005219,8
08035035215,8
08005005190,8
08005005189,8
08005005186,8
08005005188,8
08035035203,8
08035035214,8
08035035212,8
08035035211,8
08005005175,8
08005005173,8
08005005177,8
08005005183,8
08005005169,8
08005005178,8
08005005167,8
08005005172,8
08005005168,8
08005005156,8
08005005165,8
08005005160,8
08005005126,8
08005005162,8
08005005125,8
08005005129,8
08005005131,8
08005005133,8
08005005136,8
08005005135,8
08005005134,8
08005005201,8
08005005202,8
08005005164,8
08005005180,8
08005005179,8
08005005166,8
08005005163,8
08005005181,8
08005005205,8
08005005203,8
08005005182,8
08005005127,8
08005005128,8
08005005155,8
08005005174,8
08005005171,8
08005005176,8
08005005187,8
08039039014,9
08039039013,9
08039039015,9
08041041560,9
08073073009,9
08073073001,9
08073073003,9
08041041502,9
08041041500,9
08041041523,9
08041041501,9
08041041522,9
08041041452,9
08041041451,9
08041041453,9
08041041520,9
08041041521,9
08041041554,9
08041041651,9
08041041650,9
08041041642,9
08041041635,9
08041041194,9
08041041196,9
08041041192,9
08041041653,9
