GEOID,DISTRICT
08001001088,1
08001001146,1
08001001136,1
08001001094,1
08001001097,1
08001001093,1
08001001134,1
08001001137,1
08001001089,1
08001001087,1
08001001052,1
08001001090,1
08001001099,1
08001001105,1
08001001250,1
08001001112,1
08001001108,1
08001001113,1
08001001111,1
08001001114,1
08001001110,1
08001001109,1
08001001106,1
08001001117,1
08001001029,1
08001001038,1
08001001041,1
08001001051,1
08001001042,1
08001001043,1
08001001044,1
08001001035,1
08001001036,1
08001001030,1
08001001037,1
08001001034,1
08001001018,1
08001001017,1
08001001016,1
08001001031,1
08001001032,1
08001001026,1
08001001040,1
08001001039,1
08001001098,1
08001001102,1
08001001095,1
08001001096,1
08001001100,1
08001001101,1
08001001104,1
08001001103,1
08001001107,1
08001001133,1
08001001092,1
08001001091,1
08001001061,1
08001001064,1
08001001066,1
08001001147,1
08001001151,1
08001001149,1
08001001150,1
08001001077,1
08001001078,1
08001001086,1
08001001159,1
08001001157,1
08001001158,1
08031031249,2
08031031245,2
08031031238,2
08031031237,2
08005005113,2
08005005110,2
08005005109,2
08005005108,2
08031031243,2
08031031248,2
08031031244,2
08005005112,2
08031031242,2
08031031241,2
08031031235,2
08031031227,2
08031031234,2
08031031233,2
08031031240,2
08031031109,2
08005005104,2
08031031119,2
08005005102,2
08005005103,2
08005005115,2
08005005105,2
08005005111,2
08005005107,2
08005005116,2
08005005120,2
08005005121,2
08005005122,2
08005005151,2
08005005152,2
08005005153,2
08005005161,2
08031031131,2
08031031130,2
08031031123,2
08059059001,2
08031031127,2
08031031126,2
08031031122,2
08031031121,2
08031031120,2
08031031113,2
08031031115,2
08059059234,2
08031031110,2
08031031111,2
08031031117,2
08031031107,2
08059059243,2
08059059245,2
08031031105,2
08031031106,2
08031031104,2
08031031102,2
08031031538,2
08031031537,2
08031031535,2
08031031539,2
08031031232,2
08031031536,2
08059059233,2
08031031108,2
08031031116,2
08031031112,2
08031031114,2
08031031118,2
08005005101,2
08005005123,2
08005005130,2
08005005129,2
08005005201,2
08005005127,2
08005005126,2
08005005128,2
08005005125,2
08005005118,2
08005005117,2
08005005106,2
08005005114,2
08005005132,2
08005005134,2
08041041182,3
08041041183,3
08041041199,3
08041041187,3
08041041137,3
08041041626,3
08041041619,3
08041041194,3
08041041196,3
08041041192,3
08041041191,3
08041041418,3
08041041195,3
08041041139,3
08041041650,3
08041041643,3
08041041640,3
08041041636,3
08041041638,3
08041041632,3
08041041631,3
08041041630,3
08041041803,3
08041041644,3
08041041637,3
08041041624,3
08041041621,3
08041041616,3
08041041614,3
08041041625,3
08041041622,3
08041041641,3
08041041634,3
08041041635,3
08041041633,3
08041041642,3
08041041623,3
08041041627,3
08041041620,3
08041041415,3
08041041162,3
08041041190,3
08041041198,3
08041041180,3
08041041175,3
08041041174,3
08041041130,3
08041041171,3
08041041126,3
08041041172,3
08041041170,3
