GEOID,DISTRICT
12057000457A,1
12057000455,1
12057000240,1
12057000239,1
12057000454,1
12057000241,1
12057000463,1
12057000459,1
12057000461,1
12057000244,1
12057000250,1
12057000554,1
12057000249,1
12057000245,1
12057000557,1
12057000565,1
12057000573,1
12057000569,1
12057000563,1
12057000344,1
12057000338,1
12057000339,1
12057000341,1
12057000617,1
12057000613,1
12057000605,1
12057000650,1
12057000345,1
12057000347,1
12057000566,1
12057000560,1
12057000559,1
12057000567,1
12057000247,1
12057000353,1
12057000643,1
12057000356,1
12057000562,1
12057000561,1
12057000343,1
12057000346,1
12057000662,1
12057000657,1
12057000641,1
12057000658,1
12057000355,1
12057000635,1
12057000012,1
12057000584,1
12057000581,1
12057000583,1
12057000078,1
12057000372,1
12057000096,1
12101000204,1
12101000206,1
12101000190,1
12101001060,1
12101000106,1
12101000170,1
12057000585,1
12057000587,1
12057000595,1
12057000591,1
12101000067,1
12101101103,1
12101101031,1
12101000066,1
12057000093,1
12057000537,1
12057000055,1
12057000541,1
12057000538,1
12057000533,1
12057000036,1
12057000531,1
12057000532,1
12057000528,1
12057000526,1
12057000501,1
12057000525,1
12057000518,1
12057000577,1
12057000534,1
12057000589,1
12057000579,1
12057000571,1
12057000578,1
12057000517,1
12057000047A,1
12057000373,1
12057000361,1
12057000673,1
12057000105B,1
12057000671,1
12057000366,1
12057000100,1
12101000172,1
12101000207,1
12057000057,1
12057000359,1
12057000633,1
12057000079,1
12057000368,1
12101000198,1
12057000106,1
12057000363,1
12057000040,1
12057000639,1
12057000631,1
12057000629,1
12057000622,1
12057000652,1
12057000625,1
12057000659,1
12057000653,1
12057000661,1
12057000651,1
12057000637,1
12057000626,1
12057000655,1
12057000636,1
12057000883,1
12057000623,1
12057000601,1
12057000889,1
12057000885,1
12057000871,1
12057000887,1
12057000891,1
12057000877,1
12057000876,1
12057000856,1
12057000855,1
12057000825,1
12057000811,1
12057000833,1
12057000869,1
12057000867,1
12057000089,1
12057000868,1
12057000821,1
12057000131B,1
12057000858,1
12057000879,1
12057000851,1
12057000875,1
12057000860,1
12057000892,1
12057000765,1
12101000020,1
12057000769,1
12105000106,1
12105000109,1
12105000114,1
12105000115,1
12105000119,1
12105000101,1
12101000006,1
12101000007,1
12101106069,1
12101109069,1
12101000143,1
12101000034,1
12101000144,1
12101102016,1
12101105022,1
12101101104,1
12101101022,1
12101105069,1
12101102022,1
12101108069,1
12101000035,1
12101101086,1
12101000032,1
12101104069,1
12101104022,1
12101101016,1
12101111069,1
12101000142,1
12101103069,1
12101000141,1
12101103022,1
12101110069,1
12101000111,1
12101102069,1
12101103006,1
12101104006,1
12101113069,1
12101112069,1
12101107069,1
12101107006,1
12101101006,1
12101000107,1
12101000005,1
12101000031,1
12101000175,1
12101000068,1
12101000137,1
12101000215,1
12101000010,1
12101000173,1
12101000174,1
12101101025,1
12101000208,1
12101000196,1
12057000069,1
12057000070,1
12101000070,1
12101000023,1
12101108006,1
12101106006,1
12101105006,1
12057000761,1
12057000721,1
12057000104,1
12057000759,1
12057000757,1
12057000764,1
12057000122,1
12101000182,1
12101000140,1
12101000212,1
12057000053,1
12057000357,1
12057000654,1
12057000342,1
12057000551,1
12057000552,1
12057000574,1
12057000575,1
12057000555,1
12057000550,1
12057000243,1
12057000462,1
12031000062,2
12031000073,2
12031000065,2
12031000072,2
12031000084,2
12031000085,2
12031000080,2
12031000185,2
12031000082,2
12031000083,2
12031000087,2
12031000283,2
12031000276,2
12031000280,2
12031000282,2
12031000270,2
12031000240,2
12031000244,2
12031000204,2
12031000199,2
12031000234,2
12031000279,2
12031000183,2
12031000274,2
12031000179,2
12031000278,2
12031000269,2
12031000287,2
12031000281,2
12019020800,2
12019040000,2
12019041200,2
12019041001,2
12019041000,2
12019041400,2
12019041002,2
12019041401,2
12019031000,2
1201960000a,2
12019030800,2
12019060200,2
12109000009,2
12109000067,2
12109000057,2
12109000008,2
12109000079,2
12109000089,2
12109000007,2
12109000005,2
12109000078,2
12109000010,2
12109000011,2
12109000015,2
12109000075,2
12109000077,2
12109000084,2
12031000111,2
12109000001,2
12031000109,2
12031000104,2
12109000003,2
12109000090,2
12109000050,2
12031000103,2
12031000290,2
12031000294,2
12109000076,2
12109000052,2
12109000016,2
12109000091,2
12109000049,2
12109000006,2
12109000058,2
12109000087,2
12109000071,2
12109000053,2
12109000054,2
12109000081,2
12109000068,2
12109000017,2
12109000019,2
12109000018,2
12109000059,2
12109000022,2
12109000027,2
12109000021,2
12109000024,2
12019061000,2
1201960600a,2
12019060601,2
1201960100a,2
12019060400,2
12019041003,2
12019050601,2
1201971000a,2
12019060401,2
12019071000,2
12019071001,2
12019070000,2
12007000012,2
12007000016,2
12007000017,2
12007000015,2
12001000071,2
12001000004,2
12001000006,2
12001000032,2
12007000014,2
12007000013,2
12107000018,2
12107000019,2
12007000018,2
12019050800,2
12019010200,2
12007000002,2
12007000010,2
12007000004,2
12019010000,2
12007000001,2
