GEOID,DISTRICT
12099000737,1
12099000705,1
12099000707,1
12099000238,1
12099000219,1
12099000221,1
12099000220,1
12099000223,1
12099000222,1
12099000862,1
12099000706,1
12099000708,1
12099000240,1
12099000239,1
12099000224,1
12099000241,1
12099000242,1
12099000255,1
12099000256,1
12099000250,1
12099000262,1
12099000261,1
12099000260,1
12099000738,1
12099000272,1
12099000264,1
12099000266,1
12099000265,1
12099000314,1
12099000315,1
12099000864,1
12099000326,1
12099000327,1
12099000313,1
12099000251,1
12099000319,1
12099000308,1
12099000312,1
12099000311,1
12099000282,1
12099000310,1
12099000309,1
12099000325,1
12099000278,1
12099000279,1
12099000275,1
12099000329,1
12099000865,1
12099000317,1
12099000324,1
12099000316,1
12099000268,1
12099000271,1
12099000274,1
12099000270,1
12099000259,1
12099000273,1
12099000286,1
12099000245,1
12099000233,1
12099000218,1
12099000207,1
12099000206,1
12099000236,1
12099000237,1
12099000704,1
12099000731,1
12099000885,1
12099000732,1
12099000728,1
12099000748,1
12099000734,1
12099000873,1
12099000702,1
12099000234,1
12099000668,1
12099000231,1
12099000235,1
12099000216,1
12099000230,1
12099000695,1
12099000701,1
12099000727,1
12099000729,1
12099000726,1
12099000679,1
1209900NP25,1
12099000872,1
12099000733,1
12099000871,1
12099000232,1
12099000703,1
12099000252,1
1201100R027,2
1201100R033,2
1201100R057,2
1201100R021,2
1201100P004,2
1201100P001,2
1201100P002,2
1201100D005,2
1201100D015,2
1201100D001,2
1201100P003,2
1201100R016,2
1201100P005,2
1201100R015,2
12011000019,2
1201100R018,2
1201100R019,2
1201100R034,2
1201100R020,2
1201100R060,2
1201100R032,2
1201100R058,2
1201100R059,2
1201100R031,2
1201100R041,2
1201100R042,2
1201100R043,2
1201100R044,2
1201100R045,2
1201100R061,2
1201100R047,2
1201100S008,2
1201100T016,2
1201100Z003,2
1201100N006,2
1201100N020,2
1201100N027,2
1201100N012,2
1201100N018,2
1201100N008,2
1201100N005,2
1201100N003,2
1201100N002,2
1201100R050,2
1201100R064,2
1201100R029,2
1201100R030,2
1201100R023,2
1201100R051,2
1201100L018,2
1201100N001,2
1201100R063,2
1201100R049,2
1201100Z005,2
1201100R065,2
1201100R068,2
1201100R048,2
1201100R067,2
1201100R066,2
1201100T001,2
1201100S005,2
12011000010,2
1201100V059,2
1201100R054,2
1201100R017,2
1209500240A,3
12095000225,3
12095000224,3
12095000223,3
12069000034,3
12069000041,3
12069000029,3
1209500240B,3
12095000238,3
12095000236,3
12095000237,3
12069000008,3
12069000009,3
12069000119,3
12117000007,3
12117000008,3
12117000009,3
12117000002,3
12095000232,3
12095000231,3
12095000233,3
12095000234,3
12095000235,3
12095000229,3
12095000230,3
12117000021,3
12117000018,3
12117000023,3
12117000012,3
12117000022,3
12117000030,3
12117000029,3
12117000035,3
12117000036,3
12117000034,3
12095000547,3
12117000026,3
12095000209,3
12101000195,4
12101000213,4
12101000066,4
12101000067,4
12101101103,4
12101101031,4
12101000203,4
12057000591,4
12057000587,4
12057000595,4
12101000170,4
12057000537,4
12057000093,4
12101000205,4
12101000011,4
12101000012,4
12101000130,4
12101000004,4
12101000025,4
12101101001,4
12101102001,4
12101000005,4
12101000110,4
12053000009,4
12101000147,4
12101103001,4
12101000014,4
12101000193,4
12101000106,4
12101000190,4
12101000070,4
12101000125,4
12101101008,4
12101101070,4
12101000122,4
12101000132,4
12101000081,4
12101000201,4
12101000199,4
12101000099,4
12101000019,4
12101000024,4
12101000101,4
12101000100,4
12115000028,5
12115000096,5
12115000064,5
12115000078,5
12115000038,5
12115000037,5
12015000098,5
12015000006,5
12115000075,5
12015000090,5
12015000087,5
12015000038,5
12115000077,5
12115000108,5
12115000101,5
12115000029,5
12115000023,5
12115000050,5
12115000034,5
12115000086,5
12115000047,5
12115000026,5
12115000089,5
12115000084,5
12115000094,5
12115000045,5
12115000048,5
12115000027,5
12115000091,5
12115000073,5
12015000010,5
12015000024,5
12015000068,5
12015000131,5
12015000048,5
12015000072,5
12015000008,5
12015000104,5
12115000063,5
12001000070,6
12075000001,6
12075000013,6
12041000001,6
12041000002,6
12075000012,6
12041000004,6
12075000020,6
12029000004,6
12075000010,6
12001000011,6
12001000017,6
12001000035,6
12001000040,6
12001000042,6
12001000016,6
12001000015,6
12001000014,6
12001000012,6
12001000010,6
12001000033,6
12001000024,6
12001000022,6
12001000020,6
12001000019,6
12001000028,6
12001000058,6
12001000027,6
12001000025,6
12001000030,6
12001000029,6
12001000048,6
12001000031,6
12001000046,6
12001000047,6
12001000052,6
12001000036,6
12001000013,6
12001000023,6
12001000057,6
12001000021,6
12001000018,6
1209500130A,7
12095000134,7
12095000129,7
12095000136,7
12095000128,7
12095000113,7
12095000114,7
12095000112,7
12095000111,7
12095000104,7
12095000219,7
1209500220A,7
1209500220B,7
1209500105A,7
1209500105B,7
1209500108B,7
12095000132,7
1209500108A,7
12069000030,7
1209500109B,7
1209500109A,7
1209500109Z,7
1209500131Z,7
1209500131A,7
1209500131B,7
12095000107,7
12095000106,7
12069000099,7
12069000100,7
12069000111,7
12069000252,7
12069000098,7
12069000063,7
1209500110A,7
1209500110B,7
12095000103,7
1209500130B,7
12095000614,7
1209500101B,7
12095000102,7
12103000122,8
12103000123,8
12103000124,8
12103000168,8
12103000169,8
12103000126,8
12103000171,8
12103000170,8
12103000166,8
12103000235,8
12103000237,8
12103000238,8
12103000239,8
12103000183,8
12103000240,8
12103000198,8
12103000182,8
12103000175,8
12103000173,8
12103000172,8
12103000236,8
12103000231,8
12103000232,8
12103000108,8
12103000109,8
12103000099,8
12103000107,8
12103000233,8
12103000092,8
12103000230,8
12103000234,8
12103000090,8
12103000229,8
12103000228,8
12103000086,8
12103000089,8
12103000098,8
12103000088,8
12103000087,8
12103000102,8
12103000106,8
12103000113,8
12103000093,8
12103000103,8
12103000114,8
12103000115,8
12103000037,8
12103000104,8
12103000030,8
12103000101,8
12103000100,8
12103000084,8
12103000085,8
12103000083,8
12103000080,8
12103000079,8
12103000006,8
12103000001,8
12103000020,8
12103000226,8
12103000227,8
12103000096,8
12103000116,8
12103000112,8
12103000117,8
12103000119,8
12103000038,8
12103000120,8
12103000134,8
12103000209,9
12103000210,9
12103000242,9
12103000221,9
12103000261,9
12103000262,9
12103000277,9
12103000300,9
12103000266,9
12103000281,9
12103000275,9
12103000282,9
12103000274,9
12103000267,9
12103000260,9
12103000265,9
12103000259,9
12103000257,9
12103000268,9
12103000270,9
12103000269,9
12103000313,9
12103000312,9
12103000323,9
12103000314,9
12103000349,9
12103000258,9
12103000249,9
12103000271,9
12103000263,9
