GEOID,DISTRICT
12086000782,1
12086000735,1
12086000800,1
12086000774,1
12086000737,1
12086000775,1
12086000736,1
12086000764,1
12086000797,1
12086000784,1
12086000694,1
12086000793,1
12086000762,1
12086000759,1
12086000191,1
12086000794,1
12086000786,1
12086007870,1
12086000695,1
12086000848,1
12086000979,1
12086000970,1
12086000789,1
12086000790,1
12086000835,1
12086007961,1
12086000836,1
12086000945,1
12086000933,1
12086000924,1
12086000853,1
12086000935,1
12086000938,1
12086000618,1
12086000850,1
12086000808,1
12086000809,1
12086000844,1
12086008431,1
12086000847,1
12086000862,1
12086000832,1
12086008430,1
12086000932,1
12086008432,1
12086008390,1
12086008391,1
12086008490,1
12086008491,1
12086000482,1
12086000646,1
12086000630,1
12086000650,1
12086000628,1
12086000923,1
12086000948,1
12086000928,1
12086000896,1
12086000939,1
12087000034,1
12086000891,1
12086000905,1
12086009340,1
12086000894,1
12086000889,1
12086000167,1
12086000833,1
12086000168,1
12086000890,1
12086000903,1
12086000909,1
12086000940,1
12086000888,1
12086000893,1
12086000897,1
12086000906,1
12086000931,1
12086000953,1
12086000916,1
12086000936,1
12086000926,1
12086000901,1
12086000930,1
12086000963,1
12086000914,1
12086000915,1
12086000920,1
12086000922,1
12086000955,1
12086000918,1
12086000959,1
12086000910,1
12086000907,1
12086000892,1
12086000949,1
12086000951,1
12086000943,1
12086000919,1
12086000895,1
12086000950,1
12086000911,1
12086000944,1
12086000942,1
12086000947,1
12086000900,1
12086000913,1
12086000904,1
1208600969A,1
12086000198,1
1208600845A,1
12086000846,1
12086000841,1
12086000813,1
12086000815,1
12086000816,1
12086000838,1
12086000851,1
12086000826,1
12086008270,1
12086008271,1
12086008291,1
12086008290,1
12086000845,1
12086000969,1
12086000830,1
12086000831,1
12086000834,1
12086000967,1
12086000960,1
12086000852,1
12086000961,1
12086000966,1
12086000968,1
12086000776,1
12086000200,1
12086000941,1
12086007871,1
12086000858,1
12086000758,1
12086000700,1
12086000693,1
12086000739,1
12086000792,1
12086000761,1
12086000740,1
