GEOID,DISTRICT
13031000010,1
13031000008,1
13031000009,1
13031000011,1
13031000015,1
13043001736,1
13109000011,1
13267000004,1
13267000005,1
13267000008,1
13267000010,1
13279000039,1
1300100001B,1
1300100001C,1
13001000002,1
1300100005A,1
1300100003C,1
1330500002C,1
1330500005A,1
1330500004A,1
1330500004B,1
1330500005B,1
1330500003B,1
13127001713,1
13127001943,1
13127005943,1
13127001933,1
13039000002,1
13039000001,1
1304900005F,1
13039000004,1
13039000007,1
13039000003,1
13039000005,1
13039000010,1
13039000011,1
13039000014,1
13039000013,1
13039000009,1
13039000008,1
13039000012,1
13039000006,1
1304900005R,1
1304900005W,1
1304900004H,1
1304900004A,1
1304900003S,1
1304900003B,1
13049000002,1
13025000003,1
13025000002,1
13025000001,1
1322900003A,1
1330500002A,1
1300100004B,1
1322900004A,1
1322900003B,1
13127002953,1
13127002943,1
13127004913,1
13127003723,1
13127003713,1
13127004923,1
13127004933,1
13127005923,1
13127005933,1
13127005913,1
13127001923,1
1330500003A,1
1330500001A,1
1330500002D,1
1330500001C,1
130010003A1,1
13267000009,1
1330500001B,1
13279000513,1
13209000002,1
13209000001,1
13209000003,1
13279000514,1
13209000004,1
13209000006,1
1328300SOPE,1
13279000043,1
13029FTSTEW,1
1305106-11C,1
1305107-09C,1
1305107-10C,1
1305107-14C,1
1305107-13C,1
1305107-08C,1
1305107-07C,1
1305107-11C,1
1310300001D,1
1310300002A,1
1305107-12C,1
13029000004,1
13029000009,1
13029000006,1
1305106-10C,1
1305106-02C,1
1305106-01C,1
1305105-07C,1
1305105-08C,1
1305106-08C,1
1305106-06C,1
1305101-13C,1
1305101-14C,1
1305103-13C,1
1305101-12C,1
1305101-10C,1
1305104-13C,1
1305104-15C,1
1305104-14C,1
1305104-12C,1
1305101-17C,1
1305104-07C,1
1305104-10C,1
1305104-11C,1
1305104-04C,1
1305104-05C,1
130510XFTPU,1
1305104-06C,1
1305104-08C,1
1305104-02C,1
1305103-15C,1
1305101-16C,1
1305101-08C,1
1305103-11C,1
1305103-14C,1
1305103-09C,1
1305103-08C,1
1305103-10C,1
1305103-05C,1
1305103-03C,1
1305102-06C,1
1305102-02C,1
1305102-07C,1
1305102-09C,1
1305102-05C,1
1305102-04C,1
1305103-01C,1
1305108-01C,1
1305103-02C,1
1305102-03C,1
1305108-02C,1
1305108-05C,1
1305108-06C,1
1305105-03C,1
1305105-10C,1
1305101-05C,1
1305101-01C,1
1305105-02C,1
1305102-11C,1
1305105-05C,1
1305108-12C,1
1305108-11C,1
1305108-03C,1
1305108-10C,1
1305108-13C,1
1305108-07C,1
1305107-04C,1
1310300002B,1
1310300005C,1
1305107-15C,1
1305107-03C,1
1305108-09C,1
