GEOID,DISTRICT
1318900133A,1
13301000006,1
13163000081,1
13163000082,1
13163000083,1
13107001208,1
13107001748,1
13167001266,1
13107000052,1
13033000007,1
13107000057,1
13107001333,1
13107001560,1
13107001429,1
13165000003,1
13033000009,1
13033000008,1
13033000015,1
13033000016,1
13033000010,1
13033000001,1
13163001593,1
13245000801,1
13033000002,1
13033000014,1
13033000011,1
13033000012,1
13033000006,1
13163000077,1
13033000004,1
13033000013,1
13033000005,1
13245000802,1
13245000810,1
1324500804H,1
13301000005,1
1306700SM01,2
1306700MD01,2
1306700RW02,2
1306700CR01,2
1306700RW01,2
1306700HT01,2
1312100RW01,2
1306700SF01,2
1312100RW10,2
1312100RW02,2
1312100RW12,2
13057000005,3
13057000021,3
13057000007,3
13057000016,3
13057000011,3
13057000023,3
13057000015,3
13057000034,3
13057000024,3
130890000CC,4
130890000TC,4
130890000MD,4
130890000MP,4
130890000CQ,4
130890000SG,4
130890000WA,4
130890000CA,4
130890000PA,4
130890000CT,4
130890000KE,4
130890000AI,4
130890000GA,4
130890000NB,4
130890000SC,4
130890000AE,4
130890000CU,4
130890000CV,4
130890000MO,4
130890000KA,4
13275000106,5
13071000008,5
13071000001,5
13071000002,5
13071000014,5
13071000007,5
13027001712,5
13027001230,5
13275000117,5
13027000660,5
13185000001,5
130750000NL,5
13027001199,5
13027001402,5
13185000007,5
13027000659,5
13071000020,5
13071000018,5
1331500005A,6
132710000MI,6
132710000MC,6
132710000LU,6
13161000502,6
132710000SC,6
1331500004A,6
1331500002B,6
132350ANNEX,6
1331500002A,6
1315300HAFS,6
13153000VHS,6
1315300CGTC,6
1315300MCMS,6
1331500001A,6
130890000RL,7
132470000LA,7
132470000MI,7
13217000023,7
130890000LD,7
132470000BT,7
13297000422,7
13297000421,7
130890000PC,7
130890000RF,7
130890000RH,7
130890000RC,7
130890000ST,7
13087001805,8
13087000513,8
13087001342,8
13253000005,8
1300700000H,8
1300700000A,8
1300700000M,8
1300700000E,8
13037000001,8
13273000006,8
13095000025,8
13095000007,8
1309900000A,8
130990000CU,8
1309900000B,8
13201000001,8
13253000002,8
13253000003,8
13253000004,8
13253000001,8
13087001613,8
1309900000U,8
130990000CS,8
13037000004,8
13037000003,8
13037000005,8
13037000002,8
13243000998,8
1306700ME01,9
1306700LM03,9
1306700LM01,9
1306700MC01,9
1306700OR05,9
1306700DL01,9
1306700OR04,9
1306700FO02,9
1306700CH03,9
1306700KP02,9
1306700OR01,9
13013000007,10
13157001000,10
13139000011,10
13139000024,10
13139000010,10
1312100009M,11
1312100009K,11
1312100009C,11
1312100009E,11
1312100009A,11
1312100003M,11
1312100003L,11
1312100003B,11
1312100009I,11
1312100003A,11
1312100004C,11
1312100003D,11
1312100003E,11
1312100004J,11
1312100003G,11
1312100004B,11
1312100003T,11
131210003P2,11
1312100004V,11
1312100001F,11
1312100004I,11
1312100001D,11
1312100001H,11
1312100001I,11
1312100005C,11
1312100005D,11
1312100001G,11
1305108-13C,12
1305107-06C,12
1305107-08C,12
1305107-11C,12
1305107-09C,12
1305107-10C,12
1305107-12C,12
1305107-14C,12
1305107-13C,12
13217000009,13
13217000002,13
13217000004,13
13217000014,13
13217000018,13
13217000006,13
13217000001,13
13217000017,13
13297000502,13
13217000012,13
13217000003,13
13217000005,13
13211000001,14
13211000007,14
13219000006,14
13219000008,14
13219000010,14
13219000009,14
13297000454,14
13297000425,14
13297000503,14
13219000012,14
13219000013,14
13219000011,14
13219000007,14
13297000559,14
13297000418,14
13297001675,14
13063000MO2,15
1306300JB15,15
1306300JB09,15
1306300RD04,15
1306300RD05,15
1306300RD10,15
1306300OAK4,15
1306300OAK2,15
1306300OAK3,15
1306300RD06,15
1306300RD07,15
13063000FP6,15
13245000405,16
13245000601,16
13245000607,16
13245000804,16
13245000608,16
13245000808,16
13245000806,16
13245000604,16
13245000805,16
13245000114,16
13245000115,16
13245000104,16
13245000109,16
13245000112,16
13245000103,16
13245000102,16
13245000111,16
13245000105,16
13245000307,16
13245000106,16
13245000203,16
13245000406,16
13245000807,16
13245000809,16
13139000023,17
13139000020,17
13139000021,17
13139000012,17
13139000026,17
13139000022,17
13139000019,17
13139000025,17
13139000002,17
1306700LA01,18
1306700MB01,18
1306700GT01,18
1306700BF02,18
1306700BW01,18
1306700PR01,18
1306700MK01,18
1306700BF03,18
1306700PT01,18
1306700NS01,18
1306700RM01,18
1306700KL01,18
1306700AD01,18
1306700GM01,18
1306700PP01,18
13175000016,19
13309000002,19
13209000005,19
13209000007,19
13309000001,19
130910CLARK,19
130910JAYBI,19
130910JONES,19
130910PLAIN,19
13175000010,19
130910RAWLI,19
130910YONKE,19
130910MULLI,19
13175000008,19
132710000HE,19
130910CHAUN,19
130910MILAN,19
130910MCCRA,19
130910VILUL,19
130910PONDT,19
130910MITCH,19
13091000LEE,19
130910EDDIN,19
13209000002,19
13279000043,19
13279000513,19
13279000039,19
13209000001,19
13209000006,19
1328300SOPE,19
13175000019,19
1307900001A,20
132250000F1,20
13269000006,20
13193000001,20
13079000003,20
1307900001B,20
13079000005,20
132250000B1,20
132250000B2,20
13153000TMS,20
1315300FMMS,20
1315300ANNX,20
132250000C1,20
132250000P1,20
130890000SU,21
130890000SK,21
130890000SV,21
130890000FM,21
130890000PE,21
130890000RE,21
130890000SP,21
130890000AA,21
130890000RG,21
130890000DE,21
130890000IB,21
130890000GB,21
130890000GF,21
130890000AF,21
130890000RJ,21
131210010H2,22
1312100010B,22
1312100010R,22
1312100010C,22
1312100010G,22
1312100010K,22
1312100011H,22
1312100011M,22
1312100011N,22
1312100011P,22
131210011E2,22
131210SC30B,22
131210SC30A,22
131210SC14A,22
1312100011C,22
131210SC16A,22
1312100011B,22
1312100SC02,22
1312100010A,22
1312100011R,22
1312100011G,22
1312100010I,22
1312100011K,22
13311000111,23
13311000011,23
13137000003,23
13137000007,23
13311000061,23
13137000006,23
13137000005,23
13137000002,23
13137000004,23
13011000005,23
13311000041,23
13139000014,23
13139000015,23
13139000013,23
13245000204,24
13245000101,24
13245000304,24
13245000208,24
13245000503,24
13245000603,24
13245000605,24
13245000202,24
13245000506,24
13245000501,24
13245000509,24
13245000404,24
13245000401,24
13245000504,24
13245000201,24
13245000207,24
13245000303,24
13245000108,24
131450000CA,25
131450000MG,25
13215000106,25
13215000105,25
13215000104,25
13215000107,25
13215000124,25
131450000L9,25
13215000108,25
13215000109,25
13045001152,26
13045001122,26
13045001540,26
13045000501,26
130450714A3,26
130450714A6,26
13045000715,26
130450714A4,26
130450714A1,26
13045001542,26
13045001483,26
13045000713,26
13045000682,26
13073000016,27
13073000075,27
13073000074,27
13073000076,27
13245000310,27
13245000306,27
13245000705,27
13245000701,27
13245000708,27
13245000703,27
13245000107,27
13245000702,27
13245000301,27
13245000305,27
13245000308,27
13073000090,27
13073000070,27
13073000085,27
13073000120,27
1313100000W,28
1313100000R,28
