GEOID,DISTRICT
130890000AH,1
130890000AG,1
1312100SS14,1
131210SS13B,1
131210SS11D,1
131210SS11A,1
131210SS11C,1
1312100SS31,1
131210SS09B,1
1312100SS16,1
1306700SO02,1
1306700EA02,1
1306700SM03,1
131210SS09A,1
131210SS11B,1
131210SS07B,1
131210SS07A,1
131210SS07C,1
1312100SS12,1
131210SS13A,1
1312100007A,1
1312100007C,1
1312100007B,1
130890000SE,1
1312100007M,1
1312100007N,1
1312100007D,1
1312100007F,1
1312100007H,1
1312100008G,1
1312100008M,1
1312100008C,1
1312100008B,1
130890000CE,1
130890000DC,1
130890000DB,1
130890000OB,1
130890000PF,1
130890000WI,1
130890000HB,1
130890000AB,1
130890000MJ,1
130890000SF,1
130890000BE,1
130890000YA,2
130890000PI,2
130890000BM,2
130890000WB,2
130890000KC,2
130890000MR,2
130890000RA,2
130890000CB,2
130890000SG,2
130890000CM,2
130890000FL,2
130890000CR,2
130890000ML,2
130890000MB,2
130890000CL,2
130890000FC,2
130890000KA,2
130890000TC,2
130890000CC,2
130890000WA,2
130890000KE,2
130890000PA,2
130890000AI,2
130890000MO,2
130890000WF,2
130890000CQ,2
130890000MD,2
130890000FJ,2
130890000CD,2
130890000BL,2
13063000MO1,2
130890000OV,2
130890000HH,2
130890000FK,2
13151000046,2
13063000MO5,2
13151000056,2
13151000041,2
13151000045,2
13151000044,2
13063000EW1,2
13063000MO3,2
13063000LC1,2
13063000FP4,2
13063000FP6,2
130890000CS,2
130890000CG,2
130890000FE,2
130890000SS,2
13207000011,3
13021000HO1,3
13207000003,3
13021000HO2,3
13021000HO3,3
13021000HO6,3
13021000HO5,3
13021000HO7,3
13021000VV5,3
13021000HO4,3
13021000HA4,3
13021000VV4,3
13021000HA3,3
13021000HA2,3
13021000VV6,3
13021000VV1,3
13021000EM3,3
13021000EM1,3
13021000EM2,3
13169000003,3
13021000EM4,3
13169000010,3
13169000004,3
13009000322,3
13319000006,3
132890000DB,3
132890000GI,3
13021000EM5,3
13021000RU2,3
13021000RU1,3
13021000GF5,3
13021000HA1,3
13021000GF1,3
13021000GF2,3
13021000GF4,3
13021000GF3,3
13021000WA2,3
13169000001,3
13169000011,3
13169000002,3
13169000006,3
13159000293,3
13159000289,3
13169000005,3
13021000VV3,3
13021000VV2,3
13073000040,4
13073000051,4
13073000050,4
13073000061,4
13073000131,4
13073000063,4
13073000135,4
13073000064,4
13073000132,4
13073000107,4
