GEOID,DISTRICT
17031022003,1
17031022025,1
17031022024,1
17031022007,1
17031022011,1
17031022009,1
17031022015,1
17031012002,1
17031014027,1
17031014010,1
17031014013,1
17031014028,1
17031012011,1
17031012012,1
17031012017,1
17031012020,1
17031015010,1
17031012013,1
17031015011,1
17031014016,1
17031014020,1
17031025032,1
17031012005,1
17031012001,1
17031012023,1
17031012004,1
17031012009,1
17031025026,1
17031011001,1
17031011009,1
17031012015,1
17031024016,1
17031025005,1
17031025008,1
17031025009,1
17031025011,1
17031025019,1
17031025013,1
17031025030,1
17031025001,1
17031025015,1
17031025022,1
17031012018,1
17031012010,1
17031012022,1
17031012014,1
17031012006,1
17031012008,1
17031012003,1
17179001101,2
17179001001,2
17179001002,2
17179001702,2
17179001201,2
17113001101,2
17179001202,2
17113001102,2
17179001203,2
17179001701,2
17179000601,2
17179000602,2
17179000815,2
17179000808,2
17179000801,2
17179000806,2
17179000802,2
17179000702,2
17179000705,2
17179000706,2
17179000701,2
17179000709,2
17179000707,2
17179000703,2
1714300PE13,2
1714300PE33,2
1714300PE36,2
1714300PE40,2
1714300PE39,2
1714300PE42,2
1714300PE43,2
1714300PE14,2
1714300PE37,2
1714300PE38,2
1714300RI04,2
1714300RI05,2
1714300PE12,2
1714300PE15,2
1714300PE32,2
1714300PE31,2
1714300PE35,2
1714300PE30,2
1714300PE41,2
1714300PE48,2
1714300PE29,2
1714300PE34,2
1714300PE23,2
1714300PE24,2
1714300PE28,2
1714300PE27,2
1714300PE58,2
1714300PE59,2
1714300PE57,2
1714300PE60,2
1714300PE25,2
1714300PE22,2
1714300PE26,2
1714300PE11,2
17179000812,2
17179000817,2
17179000813,2
17179000805,2
17179000810,2
17179001921,2
17179000807,2
17179000804,2
17179000816,2
17179000809,2
17179001410,2
17179001405,2
17179001407,2
17179001411,2
17179001401,2
17179000803,2
17179000811,2
17179000708,2
17179001812,2
17179001805,2
17179001816,2
17179001813,2
17179000704,2
17179001808,2
17179000901,2
17107000901,2
17107001207,2
17107001601,2
1712500MC03,2
17107001302,2
17107001301,2
17107001701,2
1712500AG01,2
1712500MC01,2
1712500PN01,2
1712500MA01,2
1712500FC01,2
1712500MA02,2
17179001301,2
17179000401,2
17179000101,2
17179000402,2
1711100Nu25,3
1711100Al21,3
1711100Al67,3
1711100Al49,3
1711100Al65,3
1711100Al40,3
1711100Al35,3
1711100Al55,3
1711100Al48,3
1711100AL01,3
1711100Al30,3
1711100Al18,3
1711100Al39,3
1711100Al41,3
1711100Al63,3
1711100Al43,3
1711100Al62,3
1708900DU29,3
1711100Al61,3
1711100Al11,3
1711100Al15,3
1711100Al57,3
1711100Al59,3
1711100Al28,3
1711100Al16,3
1711100Al44,3
1711100Al64,3
1711100Al56,3
1711100Al14,3
1711100Al32,3
1711100Al06,3
170970Cub75,3
1711100Al45,3
170970Cub73,3
170970Cub74,3
17031700005,3
170970Cub76,3
1708900DU15,3
1708900DU07,3
1708900DU02,3
1708900DU11,3
1708900DU14,3
1708900DU24,3
1708900DU25,3
1708900DU13,3
1708900DU12,3
1708900DU17,3
1708900DU06,3
1708900DU09,3
1708900DU10,3
1708900DU35,3
1708900DU08,3
1708900DU19,3
1708900DU05,3
17031700007,3
17031700004,3
17031700008,3
1708900DU21,3
1711100Al33,3
1711100Al04,3
1711100Al09,3
1711100Al23,3
1711100Al03,3
1711100Al34,3
1711100Al46,3
1711100Al12,3
1711100Al17,3
1711100Al22,3
1711100Al08,3
1711100Al60,3
1711100Al31,3
1711100Al47,3
1711100Nu09,3
1711100Al29,3
1719500PR01,4
1719500TA01,4
1719500HA01,4
1719500HU01,4
1719500LY01,4
1719500MP04,4
