GEOID,DISTRICT
17031890098,1
17031910002,1
17031910005,1
17031910008,1
17031890066,1
17031890065,1
17031890067,1
17031890076,1
17031890072,1
17031890068,1
17031997004,1
17031997002,1
17031993001,1
17031920008,1
17031920009,1
17031920006,1
17031920010,1
17031997001,1
17031997003,1
17031890008,1
17031890034,1
17031890005,1
17031890086,1
17031890037,1
17031890004,1
17031890074,1
17031890073,1
17031890001,1
17031890056,1
17031890058,1
17031890036,1
17031890040,1
17031910004,1
17031910006,1
17031910007,1
17031890062,1
17031890061,1
17031850020,1
17031850022,1
17031850019,1
17031850037,1
17031850012,1
17031850006,1
17031850034,1
17031850024,1
17031850023,1
17031850018,1
17031850014,1
17031850007,1
17031850010,1
17031850011,1
17031850026,1
17031850030,1
17031029037,1
17031029005,1
17031850005,1
17031850032,1
17031850009,1
17031850003,1
17031850015,1
17031029018,1
17031029011,1
17031037001,1
17031029033,1
17031029026,1
17031037009,1
17031037011,1
17031037037,1
17031029035,1
17031029044,1
17031029020,1
17031850031,1
17031998003,1
17031850025,1
17031850033,1
17031995002,1
17031029022,1
17031850013,1
17031029034,1
17031850029,1
17031850017,1
17031850016,1
17031850036,1
17031850028,1
17031850027,1
17031850021,1
17031850035,1
17031910003,1
17031780026,1
17031780022,1
17031780014,1
17031780013,1
17031780034,1
17031029038,1
17031036027,1
17031029030,1
17031029009,1
17031029001,1
17031029010,1
17031850004,1
17031850002,1
17031029007,1
17031029023,1
17031036010,1
17031036028,1
17031036024,1
17031030016,1
17031030021,1
17031030002,1
17031030005,1
17031030010,1
17031030011,1
17031036023,1
17031030006,1
17031031015,1
17031031031,1
17031031003,1
17031030012,1
17031031025,1
17031030009,1
17031036020,1
17031031009,1
17031030013,1
17031030030,1
17031030029,1
17031036004,1
17031036002,1
17031036005,1
17031029036,1
17031029024,1
17031029025,1
17031029017,1
17031850001,1
17031850008,1
17031029012,1
17031029040,1
17031029013,1
17031029027,1
17031029041,1
17031029004,1
17031036021,1
17031029015,1
17031029043,1
17031029039,1
17031036001,1
17031036003,1
17031036029,1
17031036019,1
17031910001,1
17031870019,2
17031870028,2
17031870063,2
17031870017,2
17031870047,2
17031870025,2
17031870007,2
17031870045,2
17031870031,2
17031870059,2
17031870016,2
17031960071,2
17031960092,2
17031960053,2
