GEOID,DISTRICT
18043000230,1
18043000380,1
18043000390,1
18043000290,1
18043000350,1
18043000340,1
18043000280,1
18043000270,1
18043000250,1
18043000260,1
18043000300,1
18043000400,1
18019000360,1
18019000440,1
18019000470,1
18043000590,1
18019000490,1
18019000620,1
18019000570,1
18019000560,1
18019000590,1
18019000550,1
18043000480,1
18019000610,1
18019000580,1
18019000600,1
18043000450,1
18043000550,1
18043000440,1
18043000170,1
18043000150,1
18043000210,1
18043000160,1
18019000720,1
18043000190,1
18043000200,1
18043000430,1
18043000560,1
18043000330,1
18043000410,1
18043000600,1
18043000540,1
18043000420,1
18043000570,1
18043000460,1
18043000580,1
18043000500,1
18043000490,1
18043000510,1
18043000530,1
18043000520,1
18019000430,1
18019000410,1
18019000460,1
18019000480,1
18019000390,1
18019000350,1
18019000400,1
18019000420,1
18019000250,1
18019000150,1
18019000160,1
18019000170,1
18019000140,1
18019000120,1
18019000130,1
18019000380,1
18019000110,1
18019000370,1
18019000210,1
18019000200,1
18019000190,1
18019000230,1
18019000260,1
18019000270,1
18019000280,1
18019000180,1
18019000240,1
18019000340,1
18019000330,1
18019000310,1
18019000650,1
18019000290,1
18019000660,1
18019000320,1
18019000300,1
18019000220,1
18019000670,1
18019000680,1
18019000640,1
18019000450,1
18043000240,1
18097001120,2
18097001110,2
18097001050,2
18097001150,2
18063000310,2
18063000320,2
18109000360,2
18063000400,2
18063000340,2
18063000280,2
18063000360,2
18063000330,2
18063000270,2
18063000290,2
18063000240,2
18063000440,2
18063000300,2
18063000420,2
18063000430,2
18063000410,2
18063000810,2
18097005950,2
18063000390,2
18063000370,2
18063000920,2
18063001030,2
18063000870,2
18063000970,2
18063000930,2
18063000890,2
18063000800,2
18063000910,2
18063000950,2
18063001040,2
18063000590,2
18063000660,2
18063000650,2
18063000860,2
18063000850,2
18063001000,2
18063000940,2
18063000790,2
18097005620,2
18097005690,2
18097005700,2
18097005780,2
18097005830,2
18097005910,2
18097005920,2
18097005850,2
18097005930,2
18097005900,2
18097005860,2
18097005790,2
18097005720,2
18097005710,2
18097005800,2
18097005820,2
18097005740,2
18097005810,2
18097005840,2
18097005890,2
18097005730,2
18097005640,2
18063000990,2
18063000980,2
18063000820,2
18063001010,2
18063001020,2
18063000830,2
18063000900,2
18063000250,2
18063000260,2
18063000960,2
18097005960,2
18097001130,2
18143000060,3
18143000030,3
18143000050,3
18079000110,3
18079000230,3
18079000220,3
18079000040,3
18079000150,3
18079000250,3
18079000240,3
18079000020,3
18079000070,3
18079000190,3
18079000030,3
18079000200,3
18079000130,3
18079000140,3
18079000060,3
18079000080,3
18079000090,3
18079000210,3
18005000640,3
18005000630,3
18005000660,3
18005000620,3
18005000340,3
18005000400,3
18005000390,3
18005000350,3
18005000210,3
18005000180,3
18005000250,3
18005000220,3
18005000190,3
18005000100,3
18005000090,3
18005000110,3
18005000320,3
18005000150,3
18005000140,3
18005000120,3
18005000130,3
18005000200,3
18005000280,3
18005000080,3
18005000070,3
18005000490,3
18005000270,3
18005000360,3
18005000370,3
18005000290,3
18005000300,3
18005000310,3
18005000440,3
18005000060,3
18005000010,3
18005000050,3
18005000260,3
18005000240,3
18005000230,3
18005000430,3
18005000160,3
18005000170,3
18005000410,3
18005000420,3
18005000570,3
18005000560,3
18005000580,3
18005000590,3
18079000180,3
18079000160,3
18079000170,3
18079000100,3
18079000010,3
18143000020,3
18143000040,3
18143000160,3
18143000100,3
18143000090,3
18143000070,3
18143000080,3
18019000530,3
18019000090,3
18019000080,3
18019000630,3
18019000060,3
18019000050,3
18019000030,3
18019000040,3
18019000070,3
18019000540,3
18019000690,3
18077000240,3
18019000010,3
18077000230,3
18077000260,3
18077000010,3
18077000060,3
18079000120,3
18143000140,3
18143000150,3
18143000120,3
18143000110,3
18143000130,3
18003000380,4
18003000410,4
18003000160,4
18003000470,4
18003000700,4
18003000630,4
18003000550,4
18003000450,4
18003000650,4
18003000640,4
18003000720,4
18003000730,4
18003000690,4
18003000830,4
18003000740,4
18003000770,4
18003000710,4
18003000790,4
18003000800,4
18003000610,4
18003000600,4
18003000860,4
18003000840,4
18003000850,4
18003000810,4
18003000870,4
18003000960,4
18003000880,4
18003000930,4
18003002630,4
18003000350,4
18003002610,4
18003002700,4
18003002660,4
18003002130,4
18003002640,4
18003002790,4
18003002780,4
18003002140,4
18003002120,4
18003002110,4
18003002840,4
18003000280,4
18003000270,4
18003002820,4
18003002770,4
18003002800,4
18003000260,4
18003000500,4
18003002330,4
18003002320,4
18003002100,4
18033000100,4
18003002150,4
18033000030,4
18033000220,4
18003002750,4
18003002760,4
18003002190,4
18003002160,4
18003002590,4
18003002670,4
18003002690,4
18003002620,4
18003000580,4
18003002210,4
18003000590,4
18003002600,4
18003000570,4
18003000760,4
18003000420,4
18003000340,4
18003000430,4
18003000460,4
18003000170,4
18003000190,4
18003000560,4
18003000480,4
18003000530,4
18003000510,4
18003000520,4
18003000490,4
18003000540,4
18003000320,4
18003000440,4
18003000370,4
18003000680,4
18003000400,4
18003000390,4
18003000360,4
18003000620,4
18003000670,4
18003000660,4
