GEOID,DISTRICT
25025000509,1
25025000508,1
25025000402,1
25025000501,1
25025000503,1
25025000504,1
25025000305,1
25025000306,1
25025000101,1
25025000112,1
25025000111,1
25025000579,1
25025000576,1
25025000578,1
25025000582,1
25025000583,1
25025000581,1
25025000580,1
25025000108,1
25025000109,1
25025000202,1
25025000104,1
25025000105,1
25025000103,1
25025000102,1
25025000110,1
25025000106,1
25025000203,1
25025000204,1
25025000205,1
25025000206,1
25025000201,1
25025000207,1
25025000107,1
25025000577,1
25025000584,1
25025002072,1
25025002075,1
25025002073,1
25025002071,1
25025002076,1
25025002074,1
25025000114,1
25025000113,1
25025000304,1
25025000303,1
25025000302,1
25025000301,1
25025000308,1
25025000506,1
25021001570,2
25021000553,2
25021001811,2
25021001817,2
25021000551,2
25021001674,2
25021000555,2
25021000554,2
25021000652,2
25021000651,2
25021000653,2
25025002016,2
25025002015,2
25021000650,2
25025001819,2
25025002005,2
25025002014,2
25025002011,2
25025002007,2
25025002019,2
25025002018,2
25025002020,2
25025002006,2
25025002001,2
25025002012,2
25025002013,2
25025002017,2
25017001377,2
25021000501,2
25017001379,2
25025001820,2
25025001817,2
25021001260,2
25025001816,2
25025001818,2
25021001900,2
25021000556,2
25021001673,2
25021001672,2
25021000779,2
25021000778,2
25005001138,2
25005001137,2
25005000704,2
25021000552,2
25021001818,2
25021001816,2
25021001815,2
25021001813,2
25021001812,2
25005000701,2
25005000702,2
25021001814,2
25021001671,2
25021001670,2
25021001562,2
25021001566,2
25025001905,3
25025001908,3
25025001906,3
25025001106,3
25025001107,3
25025001207,3
25025001202,3
25025001206,3
25025001205,3
25025001204,3
25025001201,3
25025000807,3
25025000805,3
25025000806,3
25025000710,3
25025001306,3
25025001309,3
25025000709,3
25025000708,3
25025001302,3
25025001301,3
25025001304,3
25025001501,3
25025001504,3
25025001506,3
25025001305,3
25025001509,3
25025001508,3
25025001601,3
25025001604,3
25025001606,3
25025001608,3
25025001611,3
25025001503,3
25025001507,3
25025001502,3
25025001401,3
25025001403,3
25025001406,3
25025001402,3
25025001703,3
25025001702,3
25025001603,3
25025001706,3
25025001709,3
25025001701,3
25025001404,3
25025001505,3
25025000804,3
25025001208,3
25025001203,3
25025000905,3
25025001102,3
25025001105,3
25025001411,3
25025001412,3
25025001413,3
25025001405,3
25025001710,3
25025001704,3
25025001712,3
25025001713,3
25021001261,3
25025001711,3
25025001802,3
25025001408,3
25025001803,3
25025001807,3
25025001707,3
25025001708,3
25025001705,3
25025001414,3
25025001410,3
25025001409,3
25025001108,3
25025001907,3
25025001909,3
25025001109,3
25025001110,3
25025001209,3
25025001407,3
25027002123,4
25027002120,4
25027002116,4
25027002122,4
25027002114,4
25027002117,4
25027002124,4
25027002131,4
25027002100,4
25027002099,4
25027002098,4
25027002097,4
25027002107,4
25027002094,4
25027002137,4
25027002140,4
25027002093,4
25027002091,4
25027002102,4
25027002108,4
25027002095,4
25027001967,4
25027002101,4
25027002105,4
25027002103,4
25027002106,4
