GEOID,DISTRICT
2400305-016,1
2400305-009,1
2400305-034,1
2400305-014,1
2400305-005,1
2400305-023,1
2400306-029,1
2400306-022,1
2400306-019,1
2400306-020,1
2400306-028,1
2400307-024,1
2400304-004,1
2400304-015,1
2400306-027,1
2400306-021,1
2400304-021,1
2400304-018,1
2400304-020,1
2400304-022,1
2400307-018,1
2400307-020,1
2400307-013,1
2400307-017,1
2400307-016,1
2400304-016,1
2400304-005,1
2400304-008,1
2400306-012,1
2400306-010,1
2400307-005,1
2400306-009,1
2400306-006,1
2400306-005,1
2400306-015,1
2400306-017,1
2400306-023,1
2400307-006,1
2400306-014,1
2400306-004,1
2400306-013,1
2400306-002,1
2400306-003,1
2400306-026,1
2400307-023,1
2400307-012,1
2400306-031,1
2400306-032,1
2400305-006,1
2451027-008,2
2400514-006,2
2400514-014,2
2400514-001,2
2451027-010,2
2451027-011,2
2451027-013,2
2451027-014,2
2451027-015,2
2451027-019,2
2451027-020,2
2451027-031,2
2451027-030,2
2451027-009,2
2451027-005,2
2451027-016,2
2451027-017,2
2400514-008,2
2400514-011,2
2400514-010,2
2400514-009,2
2400514-013,2
2400514-003,2
2400511-025,2
2400511-024,2
2400515-025,2
2400515-006,2
2400511-013,2
2400511-014,2
2400511-012,2
2400511-010,2
2400511-006,2
2400511-019,2
2400511-011,2
2400515-005,2
2400511-027,2
2400514-004,2
2400514-005,2
2400514-002,2
2400511-016,2
2403321-005,3
2403105-014,3
2403113-015,3
2403113-013,3
2403113-023,3
2403113-022,3
2403113-068,3
2403317-005,3
2403317-003,3
2403317-012,3
2403317-013,3
2403113-067,3
2403317-011,3
2403113-021,3
2403113-006,3
2403113-008,3
2403113-004,3
2403113-047,3
2403113-065,3
2403113-007,3
2403113-005,3
2403113-050,3
2403113-010,3
2403113-018,3
2403321-099,3
2403321-015,3
2404513-004,4
2404513-002,4
2404508-005,4
2404508-001,4
2404508-002,4
2404516-002,4
2404516-001,4
2404516-005,4
2404704-001,4
2404704-003,4
2404704-002,4
2404506-001,4
2404702-001,4
2404702-005,4
2404703-001,4
2404702-004,4
24047ZZZZZZ,4
2404701-002,4
2404703-002,4
2404707-001,4
2404706-002,4
2404705-001,4
2404706-001,4
2404705-002,4
2404706-003,4
2404702-003,4
2404704-004,4
2404514-002,4
2404504-001,4
2404514-001,4
2404703-003,4
2403915-001,4
2403915-002,4
2403915-003,4
2403904-001,4
2403903-001,4
2403908-001,4
24039ZZZZZZ,4
2403909-001,4
2403911-001,4
2403914-001,4
2403910-002,4
2403905-001,4
2404517-001,4
2403902-001,4
2403908-002,4
2404701-001,4
2403906-001,4
2403913-003,4
2403913-001,4
2403913-002,4
2403901-002,4
2403901-003,4
2403901-001,4
2404507-001,4
2404509-006,4
2404509-091,4
2403910-001,4
2403907-001,4
2403912-001,4
2404702-002,4
2404508-004,4
2404505-004,4
2404505-007,4
2404505-008,4
2404505-009,4
2404505-003,4
2404505-001,4
2404509-004,4
2404513-001,4
2404505-006,4
2404505-002,4
2400512-002,5
2400512-003,5
2400512-009,5
2400512-008,5
2400512-011,5
2400512-010,5
2400512-001,5
2451026-003,5
2451026-006,5
2451026-005,5
2451026-004,5
2451026-001,5
2400515-001,5
2400515-002,5
2400515-004,5
2400515-011,5
2400515-003,5
2400515-024,5
2400515-010,5
2400515-009,5
2400515-012,5
2400515-018,5
2400515-023,5
2451026-007,5
2451026-011,5
2451026-009,5
2451026-008,5
2451026-002,5
2451026-010,5
2451006-005,5
2451006-004,5
2451001-001,5
2451001-002,5
2451002-001,5
2451002-003,5
2451002-002,5
2451001-003,5
2451001-004,5
2451001-005,5
2451006-001,5
2451006-002,5
2402101-001,6
2402107-001,6
2402101-003,6
2403102-008,6
2403102-010,6
2403102-001,6
2403102-006,6
2403109-025,6
2403109-034,6
2403109-030,6
2403101-002,6
2403112-004,6
2403112-002,6
2403112-005,6
2403112-001,6
2403112-003,6
2403102-009,6
2403101-006,6
2403102-007,6
2403102-011,6
2402107-007,6
2402102-016,6
2402102-001,6
2402102-006,6
2402102-014,6
2402101-002,6
2402107-004,6
2402107-006,6
2402109-003,6
2402109-009,6
2402109-008,6
2402109-006,6
2402102-003,6
2403104-018,7
2403107-020,7
2403107-019,7
2403107-010,7
2403107-031,7
2403104-032,7
2403104-012,7
2403110-012,7
2403110-006,7
2403104-023,7
2403110-013,7
2403110-001,7
2403110-004,7
2403110-009,7
2403110-002,7
2403110-010,7
2403110-005,7
2403110-003,7
2403110-011,7
2403110-007,7
2403107-003,7
2403107-015,7
2403107-023,7
2403107-011,7
2403107-002,7
2403107-026,7
2403107-007,7
2403107-013,7
2403107-024,7
2403107-027,7
2403107-018,7
2403107-022,7
2403107-021,7
2403107-006,7
2403107-004,7
2403107-012,7
2403107-028,7
2403105-005,8
2403113-011,8
2403113-019,8
2403113-014,8
2403113-058,8
2403113-003,8
2403107-016,8
2403113-039,8
2403113-016,8
2403107-032,8
2403107-001,8
2403107-005,8
2403113-031,8
2403113-059,8
2403113-032,8
2403113-053,8
2403113-024,8
2403113-027,8
2403113-025,8
2403104-027,8
2403104-037,8
2403104-043,8
2403104-040,8
2403113-036,8
2403113-037,8
2403113-034,8
2403113-038,8
2403104-026,8
2403113-040,8
2403104-015,8
2403107-009,8
2403107-025,8
2403107-008,8
2403104-004,8
2403104-031,8
2403113-042,8
2403113-057,8
2403302-010,9
2403302-008,9
2403302-001,9
2403302-007,9
2403302-009,9
2403318-005,9
2403318-012,9
2403313-002,9
2403318-013,9
2403318-014,9
2403302-002,9
2403317-001,9
2403317-002,9
2403316-002,9
2403316-003,9
2403316-005,9
2403316-098,9
2403316-001,9
2403302-099,9
2403316-099,9
2403302-096,9
2403319-003,9
2403321-002,9
2403319-001,9
2403302-097,9
2403319-005,9
2403319-099,9
2403321-096,9
2403321-094,9
2403319-098,9
2403321-012,9
2403321-017,9
2403317-009,9
2403317-010,9
2403317-014,9
2403321-019,9
2403321-095,9
2403317-004,9
2403317-006,9
2403317-007,9
2403317-008,9
2403316-004,9
2403317-015,9
2403302-098,9
2401701-001,10
2401706-002,10
2401706-016,10
2401706-006,10
2401706-007,10
2401706-004,10
2401706-015,10
2401706-011,10
2401706-020,10
2401706-005,10
2401706-013,10
2401706-022,10
2403311-004,10
2403309-007,10
2403309-008,10
2403309-004,10
2403305-004,10
2403309-010,10
2403305-009,10
2401706-003,10
2401706-014,10
2401706-019,10
2403305-012,10
2401706-001,10
2401701-002,10
2401706-010,10
2401706-021,10
2401706-017,10
2401706-008,10
2401701-004,10
2401701-003,10
2451009-010,11
2451009-009,11
2451009-007,11
2451008-001,11
2451027-001,11
2451026-023,11
2451026-026,11
2451026-027,11
2451026-022,11
2451027-003,11
2451008-002,11
2451008-008,11
2451008-009,11
2451008-004,11
2451008-003,11
2451026-013,11
2451007-004,11
2451007-003,11
2451008-007,11
2451008-006,11
2451010-001,11
2451009-015,11
2451010-002,11
2451005-001,11
2451003-001,11
2451003-003,11
2451003-002,11
2451010-003,11
2451011-007,11
2451011-001,11
2451011-006,11
2451004-001,11
2451011-005,11
2451011-002,11
2451008-005,11
2451006-003,11
2451007-002,11
2451005-002,11
2451007-001,11
2451008-010,11
2451026-012,11
2451026-017,11
2451026-019,11
2451026-018,11
2451026-033,11
2451026-032,11
2451008-011,11
2451026-014,11
2451026-016,11
2451026-028,11
2451026-029,11
