GEOID,DISTRICT
26163163591,1
26163163122,1
26163163601,1
26163163589,1
26163163588,1
26163163100,1
26163163121,1
26163163101,1
26163163112,1
26163163114,1
26163163115,1
26163163141,1
26163163892,1
26163163896,1
26163163897,1
26163163899,1
26163163900,1
26163163898,1
26163163902,1
26163163901,1
26163163879,1
26163163878,1
26163163877,1
26163163870,1
26163163875,1
26163163903,1
26163163905,1
26163163906,1
26163163741,1
26163163739,1
26163163736,1
26163163740,1
26163163735,1
26163163731,1
26163163737,1
26163163742,1
26163163869,1
26163163738,1
26163163891,1
26163163908,1
26163163907,1
26163163026,1
26163163019,1
26163163020,1
26163163904,1
26163163853,1
26163163874,1
26163163890,1
26163163888,1
26163163893,1
26163163889,1
26163163005,1
26163163008,1
26163163895,1
26163163894,1
26163163011,1
26163163015,1
26163163014,1
26163163010,1
26163163009,1
26163163007,1
26163163006,1
26163163012,1
26163163013,1
26163163140,1
26163163886,1
26163163887,1
26163163139,1
26163163728,1
26163163138,1
26163163725,1
26163163730,1
26163163729,1
26163163118,1
26163163142,1
26163163113,1
26163163099,1
26163163116,1
26163163117,1
26163163093,1
26163163095,1
26163163097,1
26163163143,1
26163163098,1
26163163094,1
26163163096,1
26163163144,1
26163163145,1
26163163110,1
26163163111,1
26163163104,1
26163163108,1
26163163107,1
26163163132,1
26163163133,1
26163163134,1
26163163125,1
26163163135,1
26163163129,1
26163163726,1
26163163130,1
26163163660,1
26163163659,1
26163163136,1
26163163727,1
26163163109,1
26163163137,1
26163163102,1
26163163120,1
26163163461,2
26163005125,2
26163163519,2
26163163518,2
26163163520,2
26163163460,2
26163ZZZZZZ,2
26163163028,2
26115ZZZZZZ,2
26115115025,2
26115115043,2
26115115030,2
26115115035,2
26115115034,2
26115115048,2
26115115049,2
26115115055,2
26115115040,2
26115115057,2
26115115056,2
26115115053,2
26115115047,2
26115115046,2
26115115050,2
26163163678,2
26163163679,2
26163163926,2
26163163669,2
26163163670,2
26163163671,2
26163163672,2
26163163446,2
26163163376,2
26163163377,2
26163163374,2
26163163440,2
26163163399,2
26163163398,2
26163163447,2
26163163450,2
26163163451,2
26163163927,2
26099099279,2
26163163980,2
26163163650,2
26163163983,2
26163163987,2
26163163649,2
26163163651,2
26163163648,2
26163163847,2
26163163848,2
26163163573,2
26163163574,2
26163163572,2
26163163849,2
26163163846,2
26163163576,2
26163163789,2
26163163787,2
26163163790,2
26163163732,2
26163163002,2
26163163004,2
26163163733,2
26163163003,2
26163163734,2
26163163788,2
26163163091,2
26163163001,2
26163163092,2
26163163791,2
26163163575,2
26163163850,2
26163163090,2
26163163089,2
26163163560,2
26163163570,2
26163163087,2
26163163084,2
26163163085,2
26163163082,2
26163163086,2
26163163083,2
26163163079,2
26163163078,2
26163163075,2
26163163615,2
26163163616,2
26163163610,2
26163163633,2
26163163612,2
26163163609,2
26163163632,2
26163163081,2
26163163080,2
26163163077,2
26163163074,2
26163163088,2
