GEOID,DISTRICT
29510000052,1
29510000044,1
29510000053,1
29510000142,1
2951016-053,1
29510000036,1
29510000035,1
29510000037,1
2951016-026,1
29510000010,1
29510000019,1
29510000022,1
29510000023,1
29510000020,1
29510000017,1
2951016-303,1
2951016-031,1
2951016-219,1
29510000154,1
29510000153,1
29510000152,1
29510000155,1
2951016-039,1
29510000032,1
29510000145,1
29510000033,1
2951016-058,1
29510000141,1
29510000139,1
2951016-057,1
29077000050,2
29077000076,2
29077000080,2
29077000082,2
29077000081,2
29077000009,2
29077000010,2
29077000047,2
29077000061,2
29077000048,2
29077000034,2
29077000003,2
29077000083,2
29077000062,2
29077000046,2
29077000008,2
29077000084,2
29077000049,2
29077000063,2
29077000060,2
29077000002,2
29077000064,2
29143000021,3
29143000023,3
29143000022,3
29143000017,3
29143000005,3
29143000006,3
29133000005,3
29133000013,3
29133000008,3
29133000012,3
29133000011,3
29133000009,3
29133000010,3
2920112-002,3
29201000014,3
29201000012,3
2920112-001,3
29143000028,3
29143000029,3
29133000006,3
29133000007,3
29133000015,3
29133000020,3
29133000021,3
29133000023,3
29133000022,3
29133000019,3
29133000002,3
29133000003,3
29133000004,3
29133000017,3
29133000018,3
29143000012,3
29143000004,3
29133000014,3
29143000027,3
29133000016,3
29201000023,3
291890WH023,4
29189CHE021,4
29189CHE040,4
291890WH022,4
291890WH021,4
291890WH020,4
291890WH012,4
291890WH010,4
29189CHE027,4
29189CHE034,4
29189CHE048,4
29189CHE039,4
29189CHE053,4
29189CHE035,4
29189CHE050,4
29189CHE047,4
29189CHE020,4
29189CHE043,4
29189MER004,4
29189MER209,4
29189MER005,4
29071000033,4
29189MER016,4
29189MER214,4
29071000036,4
29071000035,4
29071000034,4
29189MER035,4
29189MER009,4
29189CHE046,4
29189CHE054,4
29189CHE051,4
29189MER002,4
29189CHE017,4
291890WH003,4
29189CHE049,4
29189MER003,4
29189MER022,4
29189MER017,4
29189MER013,4
29189MER019,4
29189CHE038,4
29189CHE029,4
29189CHE024,4
291890WH025,4
291890WH208,4
291890WH013,4
291890WH014,4
291890WH019,4
291890WH018,4
29003000013,5
29003000017,5
29003000021,5
29087000005,5
29147000006,5
29087000003,5
29147000017,5
29147000015,5
29147000014,5
29147000013,5
29147000020,5
29147000003,5
29147000009,5
29075000014,5
29075000005,5
29075000006,5
29003000020,5
29147000018,5
29147000002,5
29147000010,5
29147000012,5
29147000004,5
29005000005,5
29005000007,5
29147000008,5
29147000016,5
29227000005,5
29227000006,5
29227000004,5
29075000004,5
29227000008,5
29147000007,5
29147000005,5
29147000011,5
29005000002,5
29087000002,5
29087000007,5
29087000006,5
29005000004,5
29005000006,5
29087000004,5
29003000016,5
29095000198,6
29095000197,6
29095000196,6
29095000190,6
29095KC1212,6
29095000191,6
29095000192,6
29095000186,6
29095000187,6
29095000184,6
29095000189,6
29095000188,6
29095KC1110,6
29095KC1113,6
29095000193,6
29095000194,6
29047000044,6
29095KC1311,6
29095KC1310,6
29095000202,6
29095000204,6
29095000203,6
29095KC1313,6
29095000209,6
29095000208,6
29095000207,6
29095000212,6
29095000213,6
29095000312,6
29095000311,6
29095000306,6
29095000304,6
29095000303,6
29095K16207,6
29095000305,6
29095000215,6
29095000216,6
29095000211,6
29095000210,6
29095000307,6
29095000201,6
29031000011,7
29031000023,7
29031000024,7
29031000020,7
29031000019,7
29031000013,7
29031000031,7
29031000016,7
29031000015,7
29031000022,7
29031000017,7
29031000021,7
29031000014,7
2904716-216,8
29047000027,8
2904716-215,8
29047162127,8
29047000033,8
29047000025,8
29047000026,8
29169000008,9
29161000008,9
29169000004,9
29125000010,9
29125000006,9
29161000014,9
29161000002,9
29161000010,9
29161000016,9
29161000015,9
29161000009,9
29161000005,9
29161000004,9
29161000003,9
291890SF025,10
291890SF026,10
291890SF006,10
29189SPL004,10
291890SF015,10
291890SF031,10
29510000012,10
291890SF009,10
291890SF021,10
291890SF010,10
29189SPL005,10
29189SPL003,10
29510000011,10
2951016-013,10
2951016-279,10
29510000193,10
29510000198,10
29510000014,10
29510000194,10
29510000196,10
29510000195,10
29510000197,10
2951016-024,10
291890SF035,10
291890SF033,10
291890SF007,10
291890SF020,10
291890SF034,10
291890SF200,10
291890SF023,10
291890SF029,10
291890SF032,10
291890SF027,10
291890SF017,10
291890SF011,10
29067000014,11
29067000017,11
29067000012,11
29067000020,11
29067000011,11
29067000006,11
29067000019,11
29229000003,11
29229000008,11
29225000002,11
2922516-018,11
2922516-016,11
29225000005,11
29225000011,11
29225000012,11
2922512-020,11
29067000008,11
29225000014,11
29067000004,11
29067000015,11
29153000004,11
29153000005,11
29067000016,11
29095000066,12
29095000067,12
29095000079,12
29095000062,12
29095000060,12
29095000092,12
29095000091,12
29095000082,12
29095000090,12
29095000088,12
29095000359,12
29095000087,12
29095000086,12
29095000103,12
29095000107,12
29095000064,12
29095000054,12
29095000061,12
29095000095,12
29095000100,12
29113000014,13
29113000004,13
29113000008,13
29113000024,13
29113000015,13
29113000002,13
29113000003,13
29113000021,13
29113000018,13
29113000020,13
29113000019,13
29171000009,14
29197000007,14
29197000003,14
29197000004,14
29197000009,14
29197000006,14
29197000008,14
29197000005,14
29001000002,14
29199000004,14
29103000002,14
29103000004,14
29103000007,14
29103000006,14
29111000007,14
29127000002,14
29127000019,14
29111000006,14
29111000011,14
29045000009,14
29111000003,14
29103000005,14
29045000005,14
29045000002,14
29045000008,14
29045000010,14
29045000007,14
29045000006,14
29111000002,14
29111000008,14
29045000003,14
29045000004,14
29199000006,14
29199000008,14
29199000007,14
29199000003,14
29199000002,14
29199000005,14
29103000003,14
29171000005,14
29197000002,14
29171000007,14
29171000011,14
29171000008,14
29171000012,14
29171000013,14
29171000004,14
29171000002,14
29171000006,14
29197000010,14
29097000045,15
29097000027,15
29097000024,15
29097000026,15
2909716-026,15
29097000016,15
29097000018,15
29097000017,15
29097000029,15
29097000020,15
29097000023,15
29095000606,16
29095000029,16
29095FO1601,16
29095000138,16
29095000037,16
29095000035,16
29095000034,16
29095000036,16
29095000022,16
29095000032,16
29095000023,16
29095000072,16
29095000076,16
29095000593,16
29095000582,16
29095000104,16
29095000096,16
29095000622,16
29095000625,16
29095000630,16
29189OAK008,17
29189OAK022,17
29189OAK018,17
29189OAK013,17
29189OAK021,17
29189OAK026,17
29189OAK017,17
29189OAK019,17
29099000006,17
29099000009,17
29189TSF024,17
29189OAK020,17
29189OAK007,17
29189OAK025,17
29189OAK003,17
29189OAK024,17
29189OAK010,17
29189OAK028,17
29189OAK027,17
29189OAK012,17
29189LEM016,17
29189LEM032,17
29189OAK015,17
291890CC005,18
291890CC002,18
291890CC007,18
291890CC009,18
291890CC214,18
291890CC011,18
291890CC001,18
291890CC010,18
29189MHT009,18
291890CC049,18
29189MHT050,18
29189MHT208,18
29189MHT055,18
29189MHT051,18
29189MHT207,18
29189MHT223,18
291890MR002,18
291890MR045,18
291890MR048,18
291890MR003,18
291890MR016,18
291890MR032,18
291890MR053,18
29189LAF046,18
29189LAF005,18
291890MR209,18
291890MR203,18
291890MR004,18
291890MR026,18
29189QUE005,18
291890MR044,18
29189LAF020,18
29189LAF006,18
29189MHT056,18
29189MHT039,18
291890MR055,18
