GEOID,DISTRICT
29189FER012,1
29189NRW027,1
29189NRW028,1
29189NRW032,1
29189FER041,1
29189FER043,1
29189FER014,1
29189NRW039,1
291890SF022,1
291890SF003,1
29189NRW043,1
29189NRW201,1
29189NRW044,1
29189NRW045,1
291890SF002,1
29189NRW022,1
29189NRW042,1
29189NRW010,1
291890SF013,1
291890SF031,1
291890SF015,1
291890SF016,1
291890SF014,1
291890SF008,1
291890SF028,1
291890SF012,1
291890SF019,1
291890SF005,1
291890SF025,1
291890SF026,1
291890SF030,1
29189SPL004,1
29189SPL002,1
29189SPL023,1
29189SPL001,1
29189SPL003,1
29189SPL005,1
291890SF010,1
29510000012,1
291890SF021,1
291890SF027,1
291890SF017,1
291890SF023,1
2951016-014,1
29510000199,1
29510000014,1
29510000197,1
2951016-013,1
2951016-024,1
29510000011,1
29510000010,1
29510000023,1
2951016-219,1
29510000020,1
29510000025,1
29510000028,1
29510000151,1
29510000152,1
2951016-026,1
2951016-039,1
29510000035,1
29510000155,1
29510000156,1
29510000153,1
29510000154,1
29510000193,1
29510000005,1
29510000004,1
2951016-279,1
29189NRW038,1
29510000198,1
291890SF011,1
291890SF009,1
291890SF033,1
291890SF006,1
291890SF007,1
291890SF020,1
291890SF034,1
291890SF200,1
291890SF035,1
29189SPL207,1
29189FER042,1
291890SF001,1
291890SF024,1
29189FER002,1
29189FER025,1
29189FER004,1
29189FER006,1
29189FER007,1
29189FER005,1
29189FER015,1
29189FLO020,1
29189FER036,1
29189FLO003,1
29189SPL201,1
29189FLO010,1
29189FER040,1
29189FER037,1
29189FER019,1
29189FER018,1
29189SPL022,1
29189SPL007,1
29189SPL011,1
29189SPL024,1
29189SPL019,1
29189SPL017,1
29189SPL025,1
29189SPL015,1
29189FER017,1
29189SPL014,1
29189SPL010,1
29189SPL028,1
291890LC030,1
29189SPL008,1
29189SPL006,1
29189SPL027,1
291890LC028,1
291890LC012,1
291890LC008,1
291890LC032,1
291890LC017,1
291890LC026,1
29189SPL013,1
291890LC022,1
291890LC021,1
291890LC025,1
291890LC020,1
291890LC031,1
291890LC200,1
291890LC004,1
291890NW010,1
29183000005,1
29183000004,1
29189SPL016,1
29189FLO018,1
29189SPL026,1
29189FLO019,1
29189FLO009,1
29189001600,1
29189FLO023,1
29189FLO200,1
29189FLO205,1
29189FLO017,1
29189FLO001,1
291890LC007,1
291890LC014,1
29189FLO021,1
29189FLO025,1
291890LC003,1
291890NW002,1
291890NW226,1
291890NW227,1
291890NW225,1
291890NW224,1
291890LC018,1
291890LC002,1
291890LC027,1
29189FLO027,1
29189FLO024,1
29189FER045,1
29189SPL009,1
29189SPL012,1
29189SPL021,1
29189SPL202,1
29189SPL020,1
29189SPL208,1
29189SPL018,1
29189FER029,1
29189FLO004,1
29189FER016,1
29189FLO013,1
29189FLO006,1
29189FER023,1
29189FLO005,1
29189FLO002,1
29189FLO011,1
29189FLO022,1
29189FLO014,1
29189FLO016,1
29189FLO029,1
29189FLO007,1
29189FER008,1
29189FER030,1
29189FER022,1
29189FER046,1
29189FER208,1
291890SF004,1
291890SF018,1
291890SF032,1
291890SF029,1
29189NRW046,1
29189FER027,1
29189FER028,1
29189FER039,1
29189FER010,1
29189NRW048,1
29189NRW026,1
29189NRW009,1
29510000192,2
29510000160,2
29189UNV021,2
29510000158,2
29510000159,2
29189UNV007,2
29189UNV006,2
29189UNV037,2
29510000164,2
29189UNV009,2
29189UNV008,2
29510000163,2
2951016-228,2
29510000162,2
29510000007,2
29510000027,2
2951016-218,2
29510000157,2
2951016-046,2
29510000003,2
29510000006,2
2951016-011,2
29510000030,2
29510000008,2
2951016-041,2
29510000131,2
29510000187,2
29510000186,2
29510000201,2
29510000208,2
29510000203,2
2951016-241,2
29510000176,2
29510000174,2
29510161011,2
29510000078,2
29510161010,2
29510000177,2
29510000165,2
29510000170,2
29510000168,2
29510000169,2
29510000180,2
29510000179,2
29510000202,2
29189HAD015,2
29189HAD014,2
29189HAD018,2
29189HAD011,2
29189HAD017,2
29510000191,2
29510000205,2
29510000188,2
29510000204,2
29510000190,2
29189UNV205,2
29189UNV014,2
29189UNV015,2
29189HAD035,2
29189UNV016,2
29189UNV019,2
29189UNV024,2
29189UNV025,2
29189UNV026,2
29189UNV208,2
29189MID055,2
29189MID038,2
29189MID018,2
29189MID010,2
29189UNV003,2
29189UNV036,2
29189UNV028,2
29189UNV042,2
29189UNV022,2
29189UNV034,2
29189UNV040,2
29189MID204,2
29189UNV041,2
29189MID051,2
29189CLA043,2
29189CLA029,2
29189CLA011,2
29189UNV039,2
29189MID200,2
29189MID036,2
29189UNV038,2
29189UNV202,2
29189MID045,2
29189MID028,2
29189MID058,2
29189MID016,2
29189MID057,2
29189MID054,2
29189MID201,2
29189MID019,2
29189MID202,2
29189MID026,2
29189MID005,2
29189MID008,2
29189MID004,2
29189MID048,2
29189MID044,2
29189MID017,2
291890CC022,2
291890CC012,2
291890CC051,2
291890CC013,2
291890CC015,2
291890CC048,2
29189MID037,2
29189MID034,2
29189MID039,2
29189MID013,2
29189MID001,2
29189UNV027,2
29189UNV035,2
29189UNV020,2
29189UNV018,2
29189UNV206,2
29189UNV004,2
29189HAD008,2
29189HAD010,2
29510000206,2
29510000189,2
29189UNV012,2
29189UNV011,2
29510000133,2
29510000134,2
29510000135,2
2951016-202,2
29510000209,2
29510000130,2
29510000200,2
29510000143,2
29510000144,2
29510000145,2
2951016-183,2
29510000026,2
2951016-036,2
2951016-303,2
2951016-031,2
29510000036,2
29510000033,2
29510000032,2
29510000017,2
29510000022,2
29510000019,2
2951016-410,2
29510000128,2
29510162811,2
29510000125,2
29510000124,2
29510000119,2
29510000127,2
2951016-192,2
29510000136,2
29510000140,2
29510000043,2
29510000139,2
29510000045,2
29510000051,2
29510000044,2
29510000053,2
29510000047,2
2951016-058,2
29510000052,2
29510000037,2
2951016-053,2
2951016-057,2
29510000142,2
29510000054,2
2951016-099,2
29510000050,2
29510000141,2
29510000040,2
29510000122,2
29510000031,2
2951016-049,2
29510000161,2
29189NOR003,2
29510000195,2
29510000194,2
29510000196,2
29095000163,3
29095000167,3
29095000162,3
29095000161,3
29095000296,3
29095000160,3
29095000495,3
29095000496,3
29095000492,3
29095000494,3
29095000493,3
29095000497,3
29095000490,3
29095000491,3
29095000486,3
29095000286,3
29095000275,3
29095K16913,3
29095000484,3
29095000482,3
29095000264,3
29095000265,3
29095000273,3
29095000263,3
29095000255,3
29095000251,3
29095000236,3
29095000242,3
29095000253,3
29095000456,3
29095000475,3
29095000474,3
29095K16615,3
29095K16815,3
29095000454,3
29095K16611,3
29095000455,3
29095000453,3
29095000447,3
29095K16457,3
29095KC1042,3
29095000446,3
29095K16469,3
29095000467,3
29095000462,3
29095000464,3
29095000235,3
29095K16463,3
29095K16467,3
29095000469,3
29095000238,3
29095000435,3
29095000433,3
29095000442,3
29095000444,3
29095000443,3
29095000441,3
29095000440,3
29095000436,3
29095000428,3
29095000156,3
29095000159,3
29095000437,3
29095000155,3
29095000153,3
29095000152,3
29095000154,3
29095K16419,3
29095k16429,3
29095000413,3
29095K16316,3
29095000422,3
29095000416,3
29095000415,3
29095000425,3
29095000426,3
29095000427,3
29095000151,3
29095000148,3
29095000429,3
29095000430,3
29095000431,3
29095K16439,3
29095K16449,3
29095000458,3
29095K16459,3
29095000424,3
29095000412,3
29095000459,3
29095000421,3
29095000423,3
29095000460,3
29095000463,3
29095000233,3
29095000231,3
29095000461,3
29095000232,3
29095000220,3
29095000216,3
29095000214,3
29095000215,3
29095000222,3
29095000227,3
29095000230,3
29095000218,3
29095000219,3
29095000210,3
29095000211,3
29095000224,3
29095000223,3
29095000221,3
29095000226,3
29095000337,3
29095KC1516,3
29095000229,3
29095000228,3
29095000471,3
29095KC1507,3
29095000206,3
29095000205,3
29095KC1504,3
29095000204,3
29095000209,3
29095000310,3
29095000308,3
29095000299,3
29095000298,3
29095000182,3
29095000178,3
29095000177,3
29095000179,3
29095KC1110,3
29095KC1107,3
29095000176,3
29095000175,3
29095000149,3
29095000150,3
29095000157,3
29095KC1209,3
29095000180,3
29095000183,3
29095KC1111,3
29095000194,3
29095000185,3
29095000192,3
29095000193,3
29095000300,3
29095K16218,3
29095000313,3
29095K16106,3
29095000301,3
29095000311,3
29095000213,3
29095000306,3
29095000303,3
29095000302,3
29095000312,3
29095000305,3
29095000414,3
29095000304,3
29095K16207,3
29095000307,3
29095000207,3
29095000212,3
29095000217,3
29095000208,3
29095000202,3
29095KC1310,3
29095KC1311,3
29095000195,3
29095KC1313,3
29095000201,3
29095000203,3
29095K16718,3
29095000419,3
29095000418,3
29095000417,3
29095000420,3
29095000432,3
29095000434,3
29095000438,3
29095K16513,3
29095000450,3
29095000451,3
29095K16512,3
29095000439,3
29095000452,3
29095000457,3
29095K16814,3
29095000477,3
29095000479,3
29095K16804,3
29095000478,3
29095000488,3
29095000480,3
29095000449,3
29095000448,3
29095000254,3
29095000485,3
29095000476,3
29095000481,3
29095000483,3
29095K16811,3
29095K16903,3
29095000489,3
29041000381,4
29041000346,4
29033000009,4
29033000012,4
29033000007,4
29033000006,4
2903316-001,4
29033000013,4
29041000344,4
29115000005,4
29115000024,4
29115000013,4
29115000002,4
29115000022,4
29211000020,4
29121000010,4
29001000006,4
29197000007,4
29171000009,4
29197000010,4
29211000005,4
29211000006,4
29211000011,4
29211000003,4
29211000013,4
29171000011,4
29211000009,4
29211000017,4
29211000014,4
29211000004,4
29115000003,4
29115000012,4
2912112-014,4
29121000007,4
29121000011,4
29121000004,4
29121000002,4
29121000013,4
29121000003,4
29205000004,4
29205000008,4
29205000009,4
29121000012,4
29103000007,4
29103000003,4
29103000006,4
29103000004,4
29103000002,4
29199000005,4
29199000002,4
29199000008,4
29197000003,4
29197000005,4
29197000009,4
29197000006,4
29197000008,4
29171000005,4
29197000002,4
29171000007,4
29171000008,4
29171000012,4
29171000013,4
29171000002,4
29171000006,4
29171000010,4
29129000009,4
29211000010,4
29211000015,4
29211000007,4
29211000002,4
29211000019,4
29211000008,4
29079000006,4
29079000009,4
29079000017,4
29117000014,4
29115000011,4
29115000016,4
29115000004,4
29115000015,4
29117000008,4
29115000023,4
29115000014,4
29079000007,4
29079000003,4
29079000010,4
29079000002,4
29129000002,4
29129000007,4
29129000005,4
29081000010,4
29061000009,4
29079000008,4
29079000013,4
29079000014,4
29079000015,4
29079000012,4
29079000004,4
29079000005,4
29079000011,4
29079000016,4
2906116-017,4
29117000005,4
29025000281,4
29025000357,4
29025000356,4
29025000389,4
29025000390,4
29025000358,4
29025000280,4
2903316-016,4
29117000009,4
29117000006,4
29117000012,4
29117000010,4
29117000011,4
29117000013,4
29117000015,4
29117000007,4
2908116-012,4
29129000003,4
29081000008,4
29129000004,4
29129000008,4
29129000006,4
29081000004,4
29081000009,4
29227000002,4
29227000006,4
29075000004,4
29075000014,4
29075000005,4
29147000009,4
29147000013,4
29147000008,4
29147000007,4
29147000018,4
29147000012,4
29147000004,4
29005000005,4
29005000007,4
29005000004,4
29005000006,4
29087000004,4
29087000007,4
29087000006,4
29005000002,4
29147000011,4
29087000002,4
29087000003,4
29147000005,4
29147000002,4
29147000010,4
29147000016,4
29147000017,4
29147000014,4
29147000015,4
29227000008,4
29227000004,4
29227000003,4
29227000005,4
29075000008,4
29227000007,4
29211000016,4
29211000018,4
29211000012,4
29171000004,4
29171000003,4
29129000010,4
29001000002,4
29197000004,4
29199000004,4
29199000003,4
29045000005,4
29045000010,4
29045000002,4
29045000009,4
29045000006,4
29045000007,4
29111000002,4
29111000008,4
29111000003,4
29045000003,4
29111000011,4
29199000006,4
29045000004,4
29045000008,4
29199000007,4
29103000005,4
29001000007,4
29001000005,4
29001000004,4
29001000008,4
29001000011,4
29001000009,4
29001000010,4
29001000003,4
29205000002,4
29127000002,4
29111000007,4
29111000006,4
29205000003,4
29137000002,4
29121000008,4
29041000354,4
29175000015,4
29175000005,4
29115000009,4
29115000008,4
29115000007,4
29115000006,4
29041000352,4
29115000017,4
29121000005,4
29115000020,4
29115000018,4
29115000019,4
29115000010,4
29115000021,4
29047000054,5
29047000016,5
29047000053,5
29047000013,5
29047000011,5
29047000046,5
29047000022,5
29047000024,5
29047000017,5
29047000009,5
29047000012,5
29047000015,5
29047000014,5
29047000050,5
29047000032,5
29047000026,5
29047000069,5
29047000066,5
29047000063,5
29047000067,5
29047000062,5
29047000060,5
29047000070,5
29047000061,5
2904716-216,5
2904716-214,5
29047000072,5
29047000025,5
2904716-215,5
29047000007,5
29047000004,5
29047000058,5
29047000006,5
29047000065,5
29047000059,5
29095000007,5
29047000071,5
29095000033,5
29095000030,5
29095000031,5
29095000032,5
29047000068,5
29047000064,5
29047000002,5
29047000027,5
29047000030,5
29047000036,5
29047000033,5
29047162127,5
29047000047,5
29047000023,5
29047000010,5
29047000035,5
29047000048,5
29047000040,5
29165000024,5
29165000019,5
29165000035,5
29145000016,6
29145000018,6
2914516-029,6
29145000002,6
2914516-030,6
2914516-032,6
29145000003,6
29145000008,6
29119000011,6
29119000010,6
29119000016,6
29119000007,6
29119000019,6
29119000002,6
29119000003,6
29119000015,6
29119000017,6
29119000008,6
29119000020,6
29119000009,6
29119000018,6
29119000012,6
29145000010,6
29145000004,6
29145000013,6
29145000017,6
29145000009,6
2914516-021,6
29145000005,6
2914516-027,6
2909716-026,6
29145000011,6
2914516-028,6
29097000022,6
29097000023,6
29097000024,6
29097000026,6
29097000029,6
29097000018,6
29097000020,6
29097000019,6
29097000017,6
29097000043,6
29097000016,6
29097000005,6
29097000004,6
29097000037,6
29097000002,6
29097000036,6
29097000030,6
29097000044,6
29097000006,6
29097000045,6
29097000046,6
29097000013,6
29097000009,6
29097000007,6
29097000011,6
29097000010,6
29097000008,6
29097000014,6
2909716-004,6
29097000021,6
29097000027,6
29097000040,6
29097000047,6
29119000004,6
29145000007,6
29119000013,6
29043000020,7
29209003699,7
29209003723,7
29209003701,7
29209003730,7
29209003794,7
29209003814,7
29213000024,7
29213000002,7
29213000019,7
29213000004,7
29209003900,7
29213000012,7
29213000014,7
29213000013,7
29213000015,7
29213000018,7
29213000005,7
29213000006,7
29213000022,7
29213000010,7
29213000011,7
29213000021,7
29213000017,7
29213000009,7
29213000016,7
29213000003,7
29213000020,7
29153000004,7
29043000009,7
29043000010,7
29043000027,7
29043000002,7
29043000019,7
29043000029,7
29043000028,7
29043000026,7
29213000023,7
29067000025,7
29067000024,7
29067000017,7
29067000014,7
29067000008,7
29209003898,7
29209003903,7
29209003908,7
29209003889,7
29209003933,7
29209003935,7
29209003938,7
29009000009,7
29009000021,7
29009000019,7
29009000022,7
29119000006,7
29009000008,7
29009000020,7
29009000002,7
29119000014,7
29209003842,7
29209003877,7
29043000025,7
29043000023,7
29043000011,7
29043000012,7
29109000016,7
29209003698,7
29209003751,7
29009000007,7
29209003782,7
29209003800,7
29009000016,7
29109000012,7
29109000020,7
29109000005,7
29109000006,7
29109000010,7
29009000017,7
29009000011,7
29009000018,7
29009000004,7
29109000008,7
29109000017,7
29109000018,7
29145000012,7
29145000014,7
29145000006,7
29145000015,7
29009000015,7
29009000012,7
29009000013,7
29009000014,7
29009000006,7
29009000005,7
29009000010,7
29009000023,7
29009000003,7
29109000014,7
29109000015,7
29183000014,8
29183000041,8
29183000051,8
29183000043,8
29183000054,8
29183000001,8
29183000057,8
29183000034,8
29183000036,8
29183000028,8
29183000047,8
29183000062,8
29183000021,8
29183000033,8
29183000031,8
29183000056,8
29183000063,8
29183000022,8
29183000104,8
29183000103,8
29183000106,8
29183000131,8
29183000128,8
29183000107,8
29183000122,8
29183000145,8
29183000165,8
29183000166,8
29183000169,8
29183000167,8
29183000162,8
29183000163,8
29183000160,8
29113000015,8
29183000121,8
29183000124,8
29183000132,8
29183000149,8
29183000148,8
29183000156,8
29183000155,8
29183000146,8
29183000102,8
29183000101,8
29183000113,8
29183000111,8
29183000228,8
29183000130,8
29183000025,8
29183000024,8
29183000071,8
29183000100,8
29183000015,8
29183000080,8
29183000084,8
29183000083,8
29183000045,8
291890NW213,8
291890NW215,8
29077000079,9
29077000078,9
29077000113,9
29077000114,9
29043000032,9
29077000098,9
29077000097,9
29077000112,9
29077000107,9
29077000070,9
29077000013,9
29077000105,9
29077000035,9
29109000007,9
29109000011,9
29077000106,9
29077000111,9
29077000104,9
29109000004,9
29109000019,9
29109000013,9
29109000003,9
29097000041,9
29077000043,9
29077000072,9
29077000071,9
29077000042,9
29077000032,9
29077000040,9
29077000014,9
29077000017,9
29077000018,9
29167000004,9
29167000014,9
29059000003,9
29059000010,9
29059000008,9
29043000024,9
29077000096,9
29077000056,9
29077000036,9
29077000038,9
29077000037,9
29077000039,9
29077000057,9
29077000058,9
29077000093,9
29077000059,9
29077000089,9
29077000091,9
29077000090,9
29077000094,9
29077000074,9
29077000100,9
29077000065,9
29077000067,9
29077000077,9
29207000014,10
29143000030,10
29143000005,10
29143000007,10
29143000022,10
29143000023,10
29143000004,10
29143000006,10
29201000012,10
29201000014,10
29133000005,10
2920112-002,10
2920112-001,10
29201000023,10
29143000028,10
29143000029,10
29201000013,10
29201000010,10
29201000015,10
29201000004,10
29201000003,10
29201000007,10
29201000011,10
29031000010,10
29031000012,10
29031000024,10
29031000018,10
29201000021,10
29031000022,10
29031000014,10
29031000013,10
29031000019,10
29031000016,10
29031000015,10
29031000017,10
29031000020,10
29031000011,10
29031000031,10
29031000009,10
29031000029,10
29031000036,10
29031000028,10
29157000004,10
29157000016,10
29157000011,10
29157000008,10
29157000002,10
29157000006,10
29157000007,10
29157000009,10
29157000015,10
29157000013,10
2915716-019,10
2915716-018,10
29157000010,10
29157000005,10
29186000007,10
29186000010,10
29186000011,10
29186000014,10
29186000006,10
29186000002,10
29186000009,10
29186000003,10
29187000020,10
29186000004,10
29157000017,10
29017000011,10
29186000005,10
29186000012,10
29186000013,10
2915716-020,10
29157000003,10
29157000012,10
29031000035,10
29031000004,10
29031000034,10
29031000033,10
29031000037,10
29031000007,10
29031000005,10
29031000008,10
29031000032,10
29031000003,10
29031000030,10
29017000010,10
29017000009,10
29031000006,10
29031000021,10
29031000023,10
29031000002,10
29031000038,10
29201000016,10
29201000006,10
29133000015,10
29133000013,10
29133000020,10
29133000002,10
29133000003,10
29133000009,10
29133000008,10
29133000012,10
29133000010,10
29133000011,10
29133000004,10
29133000021,10
29133000023,10
29133000022,10
29133000019,10
29133000018,10
29133000017,10
29133000016,10
29133000014,10
29133000007,10
29133000006,10
29201000009,10
29143000008,10
29143000011,10
29143000018,10
29143000019,10
29143000017,10
29143000021,10
29143000013,10
29143000020,10
29143000027,10
29143000012,10
29189LEM031,11
29189LEM006,11
29189LEM008,11
29189LEM022,11
29189LEM030,11
29189LEM009,11
29189LEM021,11
29189LEM012,11
29189LEM014,11
29189LEM010,11
29189LEM025,11
29189LEM027,11
29189LEM028,11
29189LEM026,11
29189LEM200,11
29189LEM201,11
29189LEM007,11
29189LEM020,11
29189LEM202,11
29189LEM205,11
29189LEM011,11
29189GRA042,11
29189CON002,11
29189CON017,11
29189CON004,11
29189GRA040,11
29189GRA033,11
29189CON034,11
29189GRA007,11
29189GRA019,11
29189CON008,11
29189GRA018,11
29189GRA013,11
29189GRA044,11
29189GRA202,11
29189GRA045,11
29189GRA015,11
29189GRA043,11
29189GRA035,11
29189LEM204,11
29189CON005,11
29189CON020,11
29189CON051,11
29189LEM019,11
29189LEM002,11
29189LEM005,11
29189LEM001,11
29510000080,11
29510000086,11
29510000087,11
29510000090,11
29510000085,11
29510000092,11
29510000089,11
29510000113,11
29510000098,11
29510000115,11
29510000088,11
29510000095,11
29510000082,11
2951016-102,11
2951016-101,11
29510000083,11
29510000096,11
2951016-116,11
29510000081,11
29510000093,11
29510000097,11
2951016-148,11
29510000104,11
29510000103,11
29510000094,11
29510000183,11
2951016-257,11
29510000102,11
29510161410,11
29510000099,11
29510000100,11
29510000101,11
29510000077,11
29510000076,11
2951016-108,11
29510000079,11
2951016-109,11
2951016-157,11
29510000184,11
29510000146,11
2951016-207,11
29510000148,11
29510000150,11
2951016-091,11
29510000069,11
29510000068,11
29510000067,11
29510000042,11
29510000046,11
29510000041,11
29510000058,11
29510000060,11
29510000059,11
29510000062,11
29510000063,11
29510000106,11
29510000056,11
29510000107,11
29510000109,11
29510000057,11
29510000073,11
29510000075,11
29510000074,11
29510161012,11
2951016-173,11
29510161013,11
29510000126,11
29510000064,11
29510000049,11
29510000070,11
29510000048,11
29510000061,11
29510000149,11
2951016-206,11
29510000182,11
29510000185,11
2951016-137,11
29510000147,11
29510000066,11
29510000084,11
29510000072,11
