GEOID,DISTRICT
37081000H05,1
37081000H10,1
3708100H19A,1
3708100H19B,1
3708100JAM1,1
3708100JAM2,1
37081000FR1,1
37081000G65,1
37081000G62,1
37081000G66,1
3708100JAM3,1
37081000G61,1
37081000G50,1
37081000G63,1
37081000G64,1
37081000G43,1
37081000G37,1
37081000G49,1
37081000G51,1
37081000G56,1
37081000G58,1
37081000G59,1
37081000G57,1
37081000G60,1
37081000G48,1
37081000G47,1
3708100H20B,1
37081000H26,1
370810H27-A,1
370810H27-B,1
3708100H29A,1
37081000H28,1
3708100SDRI,1
3708100H29B,1
37081000FR2,1
37081000H24,1
37067000012,1
3705700086A,1
3705700080A,1
37057000044,1
37057000082,1
37057000024,1
37057000026,1
37057000034,1
37057000036,1
37057000070,1
37081000H23,1
3708100H20A,1
37081000H21,1
37081000H22,1
37081000H15,1
37081000H25,1
37081000H18,1
37081000H11,1
37081000H09,1
37081000H12,1
37081000H13,1
37081000H14,1
37081000H16,1
37081000H17,1
37051000G1A,2
37051000G1B,2
37051EO61-2,2
37051000G6C,2
3705100SH77,2
3705100AL51,2
37051000G6A,2
37051000G6B,2
37017000P80,2
37017000P60,2
3715500032A,2
37155000010,2
37155000021,2
370510G9B-2,2
37051000G9A,2
370510G3A-2,2
37051000G3C,2
37051000G8C,2
37051000G8D,2
37051000G8B,2
3705100G10A,2
3705100G10B,2
37051000G4B,2
37051000G4C,2
37051000G8A,2
3705100CU02,2
3705100AH49,2
370510G3A-1,2
37155000028,2
3715500026A,2
37155000033,2
37017000P15,2
37155000008,2
37155000041,2
37155000012,2
3715500018A,2
37155000015,2
37155000036,2
37155000020,2
37155000016,2
37155000013,2
37155000011,2
37155000017,2
37155000025,2
3715500011A,2
37155000030,2
37155000004,2
37155000024,2
37155000022,2
37155000002,2
37155000038,2
37155000029,2
37155000009,2
3701700P201,2
37155000014,2
37155000003,2
37051000G7B,2
3705100LI65,2
37171000032,3
37171000005,3
37171000022,3
37171000004,3
37171000029,3
37171000009,3
37171000025,3
37171000026,3
37171000018,3
37171000017,3
37171000010,3
37171000012,3
37171000031,3
37171000019,3
37171000001,3
37171000011,3
37005000004,3
3700500003A,3
37005000001,3
37193000123,3
37193000126,3
37193000114,3
3719300115A,3
37193000125,3
37009000013,3
3719300113A,3
37193000119,3
37193000111,3
37193000129,3
37193000112,3
37193000127,3
37193000118,3
37193000108,3
37193000120,3
37193000121,3
37193000104,3
3700500006A,3
37009000011,3
37009000017,3
37009000008,3
37009000018,3
37009000007,3
37009000002,3
37009000010,3
37009000012,3
37009000020,3
37009000009,3
37009000003,3
37189000016,3
37189000008,3
37189000014,3
37189000005,3
37189000007,3
37189000019,3
37189000010,3
37189000017,3
37189000002,3
37189000013,3
37189000012,3
37189000006,3
37189000011,3
37189000001,3
37009000004,3
37009000014,3
37009000016,3
37189000018,3
37189000015,3
37189000004,3
37189000009,3
