GEOID,DISTRICT
35031000024,1
35031000047,1
35031000063,1
35031000048,1
35031000045,1
35031000044,1
35031000056,1
35031000042,1
35031000043,1
35031000040,1
35031000039,1
35031000035,1
35031000059,1
35031000041,1
35031000033,1
35031000031,1
35031000058,1
35031000032,1
35031000050,1
35031000022,1
35031000054,1
35031000025,1
35031000065,1
35031000027,1
35031000064,1
35031000029,1
35031000046,1
35001000149,2
35001000139,2
35001000044,2
35001000049,2
35001000147,2
35001000236,2
35001000043,2
35001000148,2
35001000604,2
35001000367,2
35001000239,2
35001000138,2
35001000130,2
35001000059,2
35001000032,2
35001000137,2
35001000237,2
35001000267,2
35001000042,2
35001000050,2
35001000506,3
35001000516,3
35001000505,3
35001000525,3
35001000519,3
35001000395,3
35001000561,3
35001000518,3
35001000517,3
35001000480,3
35001000524,3
35001000521,3
35001000522,3
35001000365,3
35001000565,3
35001000527,3
35001000364,3
35001000397,3
35001000530,3
35001000526,3
35001000564,3
35001000548,3
35001000540,3
35001000532,3
35001000547,3
35001000533,3
35001000534,3
35001000535,3
35001000546,3
35001000308,3
35001000503,3
35001000515,3
35001000389,3
35013000017,4
35013000009,4
35013000016,4
35013000014,4
35013000097,4
35013000170,4
35013000169,4
35013000013,4
35013000167,4
35013000168,4
35013000166,4
35013000164,4
35013000165,4
35013000162,4
35013000163,4
35013000015,4
35013000081,4
35013000019,4
35049000086,5
35049000141,5
35049000075,5
35049000106,5
35049000109,5
35049000138,5
35049000067,5
35049000137,5
35049000108,5
35049000038,5
35049000078,5
35049000049,5
35049000142,5
35049000135,5
35049000039,5
35049000099,5
35049000074,5
35049000116,5
35049000066,5
35049000064,5
35049000062,5
35049000126,5
35013000106,6
35013000144,6
35013000067,6
35013000093,6
35013000094,6
35013000068,6
35013000069,6
35013000103,6
35013000070,6
35013000071,6
35013000138,6
35013000143,6
35013000137,6
35013000102,6
35013000141,6
35013000142,6
35013000139,6
35013000112,6
35013000116,6
35013000130,6
35013000128,6
35013000129,6
35013000059,6
35013000140,6
35013000091,6
35013000151,7
35013000055,7
35013000053,7
35013000072,7
35013000149,7
35013000052,7
35013000046,7
35013000045,7
35013000044,7
35013000047,7
35013000049,7
35013000042,7
35013000036,7
35013000043,7
35013000051,7
35013000058,7
35013000050,7
35013000150,7
35013000056,7
35013000040,7
35013000108,7
35013000148,7
35013000018,7
35013000048,7
35013000039,7
35013000041,7
35049000148,8
35049000084,8
35001000597,8
35001000576,8
35001000559,8
35001000575,8
35049000015,8
35049000115,8
35049000073,8
35001000578,8
35001000596,8
35001000577,8
35001000557,8
35001000553,8
35049000085,8
35057000019,8
35057000005,8
35057000013,8
35057000015,8
35057000006,8
35057000018,8
35047000020,8
35047000018,8
35047000017,8
35057000011,8
35057000014,8
35057000007,8
35057000001,8
35049000017,8
35049000072,8
35049000016,8
35049000019,8
35049000018,8
35047000019,8
35047000032,8
35047000013,8
35001000340,9
35001000240,9
35001000045,9
35001000065,9
35001000064,9
35001000061,9
35001000234,9
35001000047,9
35001000036,9
35001000048,9
35001000198,9
35001000033,9
35001000051,9
35001000046,9
35001000035,9
35001000034,9
35001000062,9
35001000063,9
35001000066,9
35001000067,9
35001000071,9
35001000612,10
35001000228,10
35001000611,10
35001000115,10
35001000117,10
35001000001,10
35001000081,10
35001000024,10
35001000609,10
35001000206,10
35001000264,10
35043000085,10
35043000138,10
35043000086,10
35043000139,10
35043000030,10
35043000043,10
35043000108,10
35043000046,10
35043000070,10
35043000047,10
35001000375,11
35001000346,11
35001000197,11
35001000188,11
35001000195,11
35001000211,11
35001000432,11
35001000444,11
35001000433,11
35001000436,11
35001000437,11
35001000435,11
35001000345,11
35001000212,11
35001000442,11
35001000443,11
35001000431,11
35001000374,11
35001000372,11
35001000371,11
35001000354,11
35001000387,11
35001000355,11
35001000352,11
35001000351,11
35001000386,11
35001000385,11
35001000383,11
35001000382,11
35001000384,11
35001000311,11
35001000281,11
35001000271,11
35001000313,11
35001000377,11
35055000003,12
35055000004,12
35055000008,12
