GEOID,DISTRICT
35043000085,1
35043000138,1
35043000086,1
35043000139,1
35043000108,1
35001000170,1
35001000261,1
35001000068,1
35001000610,1
35001000175,1
35001000069,1
35001000176,1
35001000087,1
35001000129,1
35001000001,1
35043000043,1
35043000042,1
35043000106,1
35043000073,1
35043000041,1
35043000048,1
35043000062,1
35043000100,1
35043000134,1
35043000080,1
35043000039,1
35043000104,1
35043000045,1
35043000110,1
35043000044,1
35043000107,1
35043000030,1
35043000047,1
35043000070,1
35043000046,1
35043000109,1
35009000028,2
35009000027,2
35009000026,2
35009000033,2
35009000002,2
35009000035,2
35009000024,2
35009000042,2
35009000023,2
35009000032,2
35009000022,2
35009000041,2
35009000020,2
35009000009,2
35009000011,2
35009000006,2
35009000021,2
35009000014,2
35009000015,2
35009000010,2
35009000031,2
35009000007,2
35009000008,2
35009000029,2
35009000017,2
35009000003,2
35009000004,2
35009000016,2
35009000034,2
35037000002,2
35037000006,2
35037000010,2
35037000008,2
35037000012,2
35037000003,2
35009000001,2
35009000013,2
35009000012,2
35009000018,2
35009000039,2
35009000038,2
35009000040,2
35009000019,2
35009000037,2
35009000005,2
35009000025,2
35045000021,3
35045000059,3
35045000060,3
35045000058,3
35045000047,3
35045000031,3
35045000046,3
35045000106,3
35045000039,3
35045000032,3
35045000049,3
35045000040,3
35045000043,3
35045000107,3
35045000067,3
35045000063,3
35045000110,3
35045000027,3
35045000109,3
35045000028,3
35045000030,3
35045000033,3
35045000029,3
35045000037,3
35045000034,3
35045000050,3
35045000020,3
35045000035,3
35045000044,3
35045000104,3
35045000103,3
35045000102,3
35045000101,3
35045000056,3
35045000045,3
35045000036,3
35045000038,3
35045000108,3
35049000106,4
35049000138,4
35049000067,4
35049000116,4
35049000137,4
35049000105,4
35049000038,4
35049000099,4
35049000108,4
35049000135,4
35049000066,4
35049000092,4
35049000031,4
35049000136,4
35049000074,4
35049000039,4
35049000098,4
35049000034,4
35049000032,4
35049000097,4
35049000042,4
35049000033,4
35049000025,4
35049000021,4
35049000095,4
35049000083,4
35049000028,4
35049000022,4
35049000122,4
35049000026,4
35049000147,4
35049000006,4
35049000007,4
35049000060,4
35049000128,4
35049000020,4
35049000027,4
35049000130,4
35049000101,4
35049000052,4
35049000124,4
35049000041,4
35049000035,4
35049000051,4
35049000102,4
35049000024,4
35049000121,4
35049000011,4
35049000109,4
35043000058,5
35043000059,5
35043000061,5
35043000037,5
35043000101,5
35043000060,5
35043000103,5
35043000116,5
35043000038,5
35043000063,5
35043000118,5
35043000014,5
35043000019,5
35043000114,5
35043000069,5
35043000071,5
35043000067,5
35043000124,5
35043000125,5
35043000137,5
35043000084,5
35043000068,5
35043000127,5
35043000126,5
35043000050,5
35043000135,5
35043000121,5
35043000065,5
35043000120,5
35043000066,5
35043000075,5
35043000122,5
35043000082,5
35043000123,5
35043000115,5
35043000111,5
35043000131,5
35043000074,5
35043000004,5
35043000001,5
35043000132,5
35043000130,5
35001000454,6
35001000396,6
35001000366,6
35001000514,6
35001000388,6
35001000508,6
35001000509,6
35001000502,6
35001000495,6
35001000523,6
35001000496,6
35001000494,6
35001000497,6
35001000493,6
35001000402,6
35001000404,6
35001000403,6
35001000491,6
35001000401,6
35001000445,6
35001000411,6
35001000492,6
35001000466,6
35001000414,6
35001000415,6
35001000465,6
35001000464,6
35001000473,6
35001000474,6
35001000476,6
35001000472,6
35001000471,6
35001000475,6
35001000416,6
35001000413,6
35001000417,6
35001000463,6
35001000531,6
35001000503,6
