GEOID,DISTRICT
39153077AZC,1
39153077ADY,1
39153077ADO,1
39153077AFM,1
39153077AIF,1
39153077BAA,1
39153077AEH,1
39153077AEU,1
39153077AEJ,1
39153077AZI,1
39153077AEF,1
39153077AEG,1
39153077AER,1
39153077AEV,1
39153077AEL,1
39153077AQE,1
39153077BCD,1
39153077AQC,1
39153077BCC,1
39153077APZ,1
39153077BCB,1
39153077APV,1
39153077AQG,1
39153077AQI,1
39153077AQH,1
39153077ABN,1
39133067ACT,1
39133067ABB,1
39153077AOI,1
39133067ABA,1
39133067ABC,1
39133067AAZ,1
39133067AGL,1
39133067AAV,1
39133067AAW,1
39133067AAU,1
39133067AAO,1
39153077AOT,1
39133067ADM,1
39133067ACN,1
39133067ACI,1
39133067AGQ,1
39133067ACH,1
39133067AAK,1
39133067AAF,1
39133067AAE,1
39133067AAC,1
39133067AAA,1
39055028AAN,1
39055028AAL,1
39133067AAD,1
39133067AEE,1
39055028AAK,1
39055028AAD,1
39055028AAB,1
39055028ACI,1
39055028ACN,1
39055028ACM,1
39055028ACU,1
39035018DAF,1
39035018DAA,1
39035018DAB,1
39055028ACV,1
39055028ACT,1
39055028ACQ,1
39035018DAN,1
39035018DBX,1
39035018CBM,1
39035018CCB,1
39035018CBE,1
39035018CCA,1
39035018CBI,1
39035018CBT,1
39035018DCI,1
39035018BVA,1
39035018BUP,1
39035018BUW,1
39035018BUX,1
39035018CBP,1
39035018CBX,1
39035018CBA,1
39035018CBV,1
39035018DBW,1
39035018CMZ,1
39035018CMY,1
39055028ACR,1
39055028ABG,1
39055028ABD,1
39035018DBY,1
39035018CBY,1
39035018DCG,1
39085043AEL,1
39035018CBK,1
39035018DCC,1
39035018DCE,1
39085043AEP,1
39085043AEM,1
39085043AEQ,1
39085043ADB,1
39085043ADC,1
39085043ADG,1
39085043ADH,1
39035018BQE,1
39035018BQK,1
39035018BPM,1
39035018BQH,1
39035018BQJ,1
39085043ADF,1
39035018BUS,1
39035018BUT,1
39085043AER,1
39085043AEF,1
39085043AEJ,1
39085043AED,1
39085043AIS,1
39085043AEI,1
39085043AEB,1
39085043ADN,1
39085043AIR,1
39085043ADX,1
39085043AEE,1
39055028ABE,1
39055028ABH,1
39055028ABI,1
39055028ABF,1
39055028ABC,1
39085043AAV,1
39055028ABB,1
39055028ABA,1
39055028ACS,1
39055028ACJ,1
39055028ACH,1
39055028ACG,1
39055028ACE,1
39055028AAM,1
39055028AAH,1
39055028ACP,1
39055028AAA,1
39133067AAN,1
39133067AAH,1
39133067AAG,1
39133067AAM,1
39153077AUJ,1
39153077AUI,1
39153077BCJ,1
39133067AAB,1
39133067AAL,1
39133067AAJ,1
39153077AVX,1
39153077BDA,1
39153077AXV,1
39153077BBC,1
39153077AXI,1
39153077BAW,1
39153077AXA,1
39153077BAX,1
39153077AXC,1
39153077AXJ,1
39153077AXH,1
39153077APM,1
39153077BBY,1
39153077ALW,1
39153077BAN,1
39153077AMC,1
39153077ALV,1
39153077AVG,1
39153077ARA,1
39153077AVF,1
39153077ATS,1
39153077BBK,1
39153077BBT,1
39153077ATV,1
39153077BBJ,1
39153077APR,1
39153077APQ,1
39153077APS,1
39153077AKG,1
39153077AMG,1
39153077ABI,1
39153077AYM,1
39153077AYN,1
39153077AYO,1
39153077AKF,1
39153077AKJ,1
39153077AMH,1
39153077BCA,1
39153077BBI,1
39153077ATW,1
39153077AME,1
39153077ALY,1
39153077ALE,1
39153077BAG,1
39153077AKO,1
39153077BAK,1
39153077BAP,1
39153077ALF,1
39153077BAL,1
39153077ALH,1
39153077AKS,1
39153077ALA,1
39153077AKW,1
39153077AKP,1
39153077BAI,1
39153077BAH,1
39153077BAO,1
39153077ALP,1
39153077ALQ,1
39153077ALN,1
39153077APN,1
39153077APK,1
39153077BBZ,1
39153077APL,1
39153077BBW,1
39153077APC,1
39153077AOY,1
