GEOID,DISTRICT
39085043ADK,1
39085043ADF,1
39035018BPL,1
39035018BPK,1
39035018BPN,1
39035018BQI,1
39035018BQJ,1
39035018BPM,1
39085ZZZZZZ,1
39085043AGG,1
39085043AFZ,1
39085043AAE,1
39085043AFU,1
39085043AHE,1
39085043AAI,1
39085043AAG,1
39085043AAC,1
39085043ADX,1
39085043ADY,1
39085043AEE,1
39085043AAK,1
39085043AAO,1
39085043AIO,1
39085043AEU,1
39085043AAA,1
39085043AAB,1
39085043AEC,1
39085043AIR,1
39085043AIS,1
39085043AEI,1
39085043AEB,1
39085043AEJ,1
39085043AEF,1
39085043AAF,1
39085043AEV,1
39085043AET,1
39085043AHR,1
39085043AFX,1
39085043AFY,1
39085043ACA,1
39085043AGD,1
39007ZZZZZZ,1
39007004AAM,1
39007004ACH,1
39007004ACM,1
39007004ACJ,1
39007004ACD,1
39007004ACI,1
39007004AAU,1
39007004ACG,1
39007004ADM,1
39007004AEQ,1
39007004AEC,1
39007004AED,1
39007004ADG,1
39007004ACS,1
39007004ADH,1
39007004ADO,1
39007004ADP,1
39007004ACT,1
39007004AEF,1
39007004ADF,1
39007004ADL,1
39007004ADJ,1
39007004ADI,1
39007004AEB,1
39007004ADR,1
39007004ABI,1
39007004ABD,1
39007004ABB,1
39007004ABC,1
39007004ADQ,1
39007004ADN,1
39007004ABF,1
39007004ABG,1
39007004ABM,1
39007004ABL,1
39007004ABO,1
39007004ABN,1
39007004ABQ,1
39007004ABK,1
39007004AER,1
39007004ACY,1
39007004ACU,1
39007004ABT,1
39007004ABS,1
39007004ABX,1
39007004ABW,1
39007004ABR,1
39007004ABV,1
39007004ABJ,1
39007004ADW,1
39007004ADV,1
39007004ADX,1
39085043ADJ,1
39085043AFA,1
39085043AFF,1
39085043AFD,1
39085043AFE,1
39085043AEY,1
39085043ADO,1
39085043AEZ,1
39085043ADC,1
39085043ADH,1
39085043ADG,1
39035018BQK,1
39133067AAO,2
39133067AAU,2
39133067AAW,2
39133067ABA,2
39133067ABH,2
39133067ABB,2
39133067AAZ,2
39133067ABC,2
39133067AGK,2
39133067ACT,2
39133067ACU,2
39133067ACW,2
39133067AFY,2
39133067AEY,2
39133067AEX,2
39133067AGA,2
39133067AFM,2
39133067AFE,2
39133067ACX,2
39133067AFX,2
39133067AEL,2
39153077ATO,2
39153077ATN,2
39153077AQC,2
39153077AQE,2
39153077BCD,2
39153077AEJ,2
39153077AVH,2
39153077AVI,2
39153077AEU,2
39153077AEH,2
39153077BAA,2
39153077AZJ,2
39153077AEG,2
39153077AIF,2
39153077AEQ,2
39153077AIM,2
39153077AIP,2
39153077AIQ,2
39153077AIG,2
39153077AZY,2
39153077AIH,2
39153077AZH,2
39153077AZZ,2
39153077AZX,2
39153077AZW,2
39153077AEF,2
39153077AZI,2
39153077BCZ,2
39153077AVS,2
39153077ASA,2
39153077BCY,2
39153077AVO,2
39153077ARZ,2
39153077AEL,2
39153077AER,2
39153077AVK,2
39133067ACV,2
39133067ADQ,2
39133067ADO,2
39133067ADM,2
39133067AAQ,2
39133067AAT,2
39133067AAP,2
39133067AGJ,2
39133067ACO,2
39133067ACP,2
39133067AGR,2
39133067ACD,2
39133067AGQ,2
39133067ACE,2
39133067ACL,2
39133067ACG,2
39133067ACK,2
39133067AGE,2
39133067ADN,2
39133067ACY,2
39133067ACZ,2
39133067ABG,2
39133067AGM,2
39133067ABJ,2
39133067ABK,2
39133067ADP,2
39133067ABL,2
39133067ABE,2
39133067AGL,2
