GEOID,DISTRICT
39169085ADH,1
39169085ACU,1
39169085ACV,1
39169085AAO,1
39169085ADT,1
39169085AAP,1
39169085AAR,1
39169085AAV,1
39169085ABH,1
39169085ABJ,1
39169085ADU,1
39169085ADG,1
39169085ACJ,1
39169085ADF,1
39169085ACM,1
39075038AAU,1
39075038AAY,1
39005003ABV,1
39169085ABM,1
39169085ABD,1
39169085ADP,1
39169085ABB,1
39169085ABC,1
39169085ABN,1
39169085AAX,1
39169085AAU,1
39169085AAZ,1
39169085AAW,1
39169085ACQ,1
39169085ACT,1
39169085ADI,1
39169085ADK,1
39169085ABP,1
39151076AIO,1
39151076ANX,1
39151076AOZ,1
39151076AIX,1
39151076AJA,1
39151076AIY,1
39151076AIT,1
39151076AIZ,1
39151076AIS,1
39151076AIQ,1
39153077ATF,1
39153077AWM,1
39153077AWX,1
39153077AWV,1
39153077ATC,1
39153077ASZ,1
39153077BBM,1
39153077ATA,1
39153077ATB,1
39153077BBL,1
39153077BCR,1
39153077ASW,1
39153077BAU,1
39153077AWY,1
39153077AYE,1
39169085ACF,1
39169085ACI,1
39169085ACE,1
39153077AJL,1
39153077BBO,1
39153077AYD,1
39153077AKC,1
39153077AJT,1
39153077BAD,1
39153077BBQ,1
39153077AJV,1
39153077AJR,1
39153077ANU,1
39153077BBR,1
39153077BBP,1
39153077ANP,1
39153077ANS,1
39153077AHK,1
39153077AYR,1
39153077ACC,1
39153077ADD,1
39153077AZB,1
39153077ACE,1
39153077AYW,1
39153077ACG,1
39153077AYS,1
39153077ABW,1
39153077ABX,1
39153077ACH,1
39153077ACA,1
39153077AAC,1
39153077AYK,1
39153077AAA,1
39153077ACB,1
39153077ABY,1
39153077ACV,1
39153077ACT,1
39153077AZA,1
39153077AGZ,1
39153077ACW,1
39153077AGY,1
39153077AGT,1
39153077AGU,1
39153077AGV,1
39153077AGP,1
39153077AGW,1
39153077AHA,1
39153077AAE,1
39153077ADA,1
39153077ACO,1
39153077AYX,1
39153077AAR,1
39153077AAJ,1
39153077AYJ,1
39153077AAF,1
39153077AAP,1
39153077AAN,1
39153077AZR,1
39153077AGQ,1
39153077AZP,1
39153077AZQ,1
39153077AYY,1
39153077ACZ,1
39153077ACR,1
39153077ADB,1
39153077AHO,1
39153077AHP,1
39153077AZT,1
39153077AHS,1
39153077AZV,1
39153077AZU,1
39153077ASP,1
39153077AJM,1
39153077ASK,1
39153077AJD,1
39153077AJA,1
39153077AOC,1
39153077AOA,1
39153077ATG,1
39153077BAF,1
39153077ATE,1
39153077AKA,1
39103052ACM,1
39103052ACJ,1
39103052ACK,1
39153077BAC,1
39153077AJO,1
39153077AJH,1
39153077AJG,1
39153077BAB,1
39153077AJW,1
39153077BAE,1
39153077ARS,1
39153077BBN,1
39169085ABQ,1
39169085ADM,1
39169085ACR,1
39169085ACS,1
39151076AEO,1
39151076AEP,1
39151076AOC,1
39151076AOB,1
39151076AEN,1
39151076AOQ,1
39151076AFL,1
39151076AFR,1
39151076AFM,1
39157079ACK,1
39157079ACN,1
39157079ACM,1
39157079ACG,1
39157079AAG,1
39157079AAC,1
39157079ACE,1
39157079AAK,1
39157079AAJ,1
39157079AAE,1
39157079AAN,1
39157079AAO,1
39157079AAI,1
39157079AAF,1
39151076AFN,1
39151076ALU,1
39151076ALW,1
39151076ALY,1
39151076ALN,1
39151076AKT,1
39151076ALD,1
39151076ABZ,1
39151076ABX,1
39151076ABL,1
39151076ACC,1
39151076ABY,1
39151076ABH,1
39151076ABM,1
39151076ABU,1
39151076AGE,1
39151076AFX,1
39151076AFU,1
39151076AGB,1
39151076ABR,1
39151076AFT,1
39151076AGA,1
39151076ABQ,1
39151076AKX,1
39151076ALO,1
39151076ANY,1
39151076AEQ,1
39151076AER,1
39151076AOT,1
39151076AEM,1
39151076AEA,1
39151076AEC,1
39151076AED,1
39151076ADU,1
39151076AEI,1
39151076AEJ,1
39151076AEB,1
39151076ADZ,1
39151076ADX,1
39151076AGV,1
39151076AGX,1
39151076AHA,1
39151076AGH,1
39151076AHH,1
39151076AOO,1
39151076AHN,1
39151076AGW,1
39151076AHI,1
39151076AGN,1
39151076AOX,1
39151076AGS,1
39151076AOR,1
39151076AGM,1
39151076AGU,1
39151076AGR,1
39151076AGI,1
39151076AHJ,1
39151076AGK,1
39151076AGT,1
39151076AHF,1
39151076AGY,1
39151076AIU,1
39151076AHK,1
39151076ADT,1
39151076ADW,1
39151076ADV,1
39151076ADY,1
39169085ADE,1
39151076ANP,1
39075038AAP,1
39151076ANT,1
39151076ANQ,1
39151076ANV,1
39151076ANU,1
39041021ABT,2
39041021AEO,2
39041021ABS,2
39041021ABV,2
39041021ABU,2
39159080ABD,2
39159080ABB,2
39159080ABA,2
39159080AAE,2
39159080AAY,2
39159080ABK,2
39159080AAX,2
39159080AAG,2
39159080ACA,2
39159080AAI,2
39159080AAV,2
39159080ABL,2
39159080ABJ,2
39159080ABI,2
39159080ABU,2
39091046ABI,2
39159080AAN,2
39159080ABW,2
39159080ABO,2
39159080ABS,2
39021011ABM,2
39021011ABO,2
39091046ABZ,2
39091046ABH,2
39091046ABA,2
39091046AAZ,2
39091046AAY,2
39091046ABM,2
39065033ABL,2
39065033AAN,2
39065033AAS,2
39065033AAP,2
39101051ACR,2
39101051ACA,2
39101051ABT,2
39101051ACB,2
39175088ABA,2
39175088ABE,2
39175088ABC,2
39065033ABI,2
39065033AAA,2
39065033AAJ,2
39065033AAG,2
39065033AAD,2
39065033ABD,2
39065033ABH,2
39091046ABL,2
39091046ABK,2
39091046ABV,2
39091046ABT,2
39091046ABS,2
39091046ABX,2
39065033ABE,2
39065033AAO,2
39065033ABK,2
39091046ABR,2
39091046ABP,2
39011006AAX,2
39011006ABP,2
39003002ADT,2
39003002ADW,2
39003002AFB,2
39003002AEF,2
39003002ADU,2
39011006ABQ,2
39011006AAO,2
39011006ABG,2
39011006AAR,2
39011006AAG,2
39011006AAP,2
39011006AAI,2
39011006AAL,2
39011006AAK,2
39011006AAN,2
39011006AAJ,2
39011006AAM,2
39011006AAH,2
39003002AGD,2
39003002AEZ,2
39011006ABL,2
39003002ABZ,2
39003002AFC,2
39003002ABT,2
39003002ABR,2
39003002ABP,2
39003002ABQ,2
39003002AAY,2
39003002AEG,2
39003002AAX,2
39003002AAJ,2
39003002ABX,2
39003002ABW,2
39003002ABF,2
39003002AFP,2
39003002AFR,2
39003002ABI,2
39003002ABH,2
39003002ADI,2
39003002AFO,2
39003002AAW,2
39003002ACG,2
39003002ABE,2
39003002ADG,2
39003002ADE,2
39003002ADC,2
39003002ADB,2
39003002ADD,2
39003002ADA,2
39003002ACD,2
39003002AAO,2
39003002AAP,2
39003002AAH,2
39003002AEC,2
39003002AED,2
39003002AEE,2
39003002AEQ,2
39003002AEO,2
39003002AEA,2
39003002AEB,2
39003002ADY,2
39003002AGN,2
39003002ACY,2
39003002ACX,2
39003002ACW,2
39003002ADR,2
39003002ADQ,2
39003002ACZ,2
39003002ADF,2
39003002AFN,2
39003002ACT,2
39003002ACU,2
39003002AGI,2
39003002AGL,2
39003002AGK,2
39003002AFV,2
39003002AFU,2
39003002AGB,2
39003002AGC,2
39003002AFT,2
39003002ACE,2
39003002AAQ,2
39003002AAK,2
39003002AFQ,2
39003002AFS,2
39011006AAS,2
39011006ABR,2
39091046ABD,2
39091046ACA,2
39091046AAR,2
