GEOID,DISTRICT
42043000300,1
42043000310,1
42043000480,1
42043000350,1
42043000360,1
42043000440,1
42043000250,1
42043001230,1
42043000450,1
42043001220,1
42043001302,1
42043001082,1
42043001070,1
42043000795,1
42043001292,1
42043000785,1
42133000630,1
42043000560,1
42071001884,1
42133000620,1
42133001430,1
42133000200,1
42133000090,1
42133000550,1
42133000580,1
42071000210,1
42043000880,1
42043000870,1
42043000860,1
42043000900,1
42043000551,1
42043000147,1
42043000112,1
42043001010,1
42043001020,1
42043000850,1
42043000775,1
42043000502,1
42133000235,1
42133000240,1
42133000970,1
42133000990,1
42133000080,1
42133000536,1
42133000531,1
42133000533,1
42133000546,1
42133000675,1
42133000820,1
42133001290,1
42133001230,1
42133001220,1
42133001300,1
42133001320,1
42133000850,1
42133001389,1
42133000910,1
42133000900,1
42133001100,1
42133001130,1
42133001120,1
42133001140,1
42133001386,1
42133001383,1
42133000500,1
42133001440,1
42133000400,1
42133001180,1
42133001160,1
42133001170,1
42071001930,1
42071000170,1
42071000155,1
42071000190,1
42071000115,1
42071000160,1
42071000140,1
42071000288,1
42071000282,1
42071001920,1
42071001430,1
42071001440,1
42071000290,1
42071001776,1
42071001590,1
42071001350,1
42071001765,1
42071001535,1
42071001778,1
42071001955,1
42071000367,1
42133000320,1
42133000510,1
42133000210,1
42133000870,1
42133000930,1
42133001310,1
42133000880,1
42133000890,1
42133000390,1
42133000920,1
42133000940,1
42133001423,1
42133001419,1
42133001426,1
42133001409,1
42133001403,1
42133001427,1
42133001393,1
42133001399,1
42133001428,1
42133000110,1
42133000120,1
42133001190,1
42133001413,1
42133000810,1
42133000830,1
42133001370,1
42133001416,1
42133001200,1
42133001330,1
42133001360,1
42133001350,1
42133001275,1
42133001260,1
42133001000,1
42133001340,1
42133000840,1
42133001250,1
42133001210,1
42133001240,1
42133000640,1
42133000770,1
42133001406,1
42133001075,1
42133001065,1
42133001040,1
42133001020,1
42133001030,1
42133000600,1
42133001010,1
42133000155,1
42133000175,1
42133000430,1
42133000690,1
42001000040,1
42001000427,1
42001000410,1
42001000400,1
42001000434,1
42001000450,1
42001000110,1
42001000460,1
42001000290,1
42001000310,1
42001000490,1
42041000721,1
42001000436,1
42001000432,1
42001000150,1
42001000100,1
42133000707,1
42133000370,1
42133000714,1
42133001058,1
42133001062,1
42133000560,1
42133001054,1
42001000090,1
42133000360,1
42133000340,1
42133000350,1
42001000425,1
42001000350,1
42001000360,1
42001000480,1
42001000330,1
42001000340,1
42001000200,1
42001000385,1
42001000390,1
42001000380,1
42001000440,1
42001000210,1
42001000120,1
42001000240,1
42001000230,1
42001000140,1
42001000190,1
42001000130,1
42001000060,1
42001000260,1
42001000010,1
42133000380,1
42133000728,1
42133000330,1
42133000721,1
42133000420,1
42133000860,1
42133000980,1
42133000160,1
42133000180,1
42133000170,1
42133000610,1
42133000310,1
42133000543,1
42133000541,1
42133000539,1
42133000460,1
42043000890,1
42043001092,1
42043001240,1
42041000525,1
42041000560,1
42041000540,1
42043000230,1
42043001120,1
42043000220,1
42043000210,1
42041000330,1
42041000360,1
42041000050,1
42041000175,1
42041000233,1
42041000030,1
