GEOID,DISTRICT
42075000140,1
42075000150,1
42075000190,1
42075000220,1
42075000210,1
42075000200,1
42075000240,1
42075000230,1
42075000180,1
42075000170,1
42075000540,1
42075000370,1
42075000360,1
42075000320,1
42075000070,1
42075000380,1
42075000375,1
42075000410,1
42075000400,1
42075000520,1
42075000504,1
42075000040,1
42011000120,1
42075000030,1
42075000502,1
42075000120,1
42075000010,1
42075000050,1
42101004037,2
42101004035,2
42045000820,2
42045000970,2
42045002740,2
42101004041,2
42101004047,2
42101004034,2
42045000980,2
42045000810,2
42045003870,2
42045003900,2
42045003950,2
42045003920,2
42101004024,2
42101004025,2
42101004021,2
42101004026,2
42101004011,2
42101004019,2
42101004012,2
42101004009,2
42101004008,2
42101004005,2
42101004007,2
42101004002,2
42101005125,2
42101005122,2
42101005109,2
42101005081,2
42101005124,2
42101004004,2
42101005090,2
42101005107,2
42101005111,2
42101005112,2
42101005095,2
42101005121,2
42101005082,2
42101005110,2
42101005102,2
42101005113,2
42101005105,2
42101004608,2
42101005106,2
42101002704,2
42101002717,2
42101002712,2
42101000322,2
42101004010,2
42101004018,2
42101004017,2
42101004006,2
42101004015,2
42101004013,2
42101004014,2
42101004003,2
42101004016,2
42101004027,2
42101004022,2
42101004031,2
42101004048,2
42101004032,2
42101004033,2
42101004050,2
42101004046,2
42101004043,2
42101004020,2
42101004023,2
42101004036,2
42017001905,3
42017001915,3
42017002450,3
42017001280,3
42017001270,3
42017001290,3
42017001300,3
42017001340,3
42017001370,3
42017001010,3
42017001320,3
42017001785,3
42017001775,3
42017001030,3
42017001765,3
42017001755,3
42017001360,3
42017002850,3
42017001260,3
42017001310,3
42017001330,3
42017001040,3
42017001350,3
42017001380,3
42017001700,3
42017001305,3
42017001703,3
42017002440,3
42095000920,4
42077000700,4
42077000720,4
42077001390,4
42077001370,4
42077000430,4
42077000410,4
42077000400,4
42077000390,4
42077000020,4
42077000030,4
42077000180,4
42077000070,4
42077000190,4
42077000060,4
42077000110,4
42077000050,4
42077000210,4
42077000450,4
42077001055,4
42077001040,4
42077000380,4
42077001380,4
42077000200,4
42077000080,4
42077001470,4
42101001609,5
42101001610,5
42101001613,5
42101001618,5
42101002808,5
42101002801,5
42101002818,5
42101002803,5
42101001616,5
42101001615,5
42101003215,5
42101003216,5
42101003229,5
42101003228,5
42101003220,5
42101003221,5
42101003222,5
42101002802,5
42101002806,5
42101002807,5
42101002814,5
42101002813,5
42101002816,5
42101002817,5
42101003805,5
42101002815,5
42101003226,5
42101003227,5
42101003225,5
42101003224,5
42101003223,5
42101002804,5
42101002805,5
42101003219,5
42101003210,5
42101003809,5
42101003814,5
42101003813,5
42101003820,5
42101002114,5
42101002123,5
42101005917,5
42101003811,5
42101005920,5
42101001222,5
42101003810,5
42101002916,5
42101005206,5
42101005210,5
42101000617,5
42101002409,5
42101002414,5
42101002413,5
42101002403,5
42101002404,5
42101002411,5
42101002412,5
42101002417,5
42101002415,5
42101002416,5
42101005202,5
42101005204,5
42101005207,5
42101003815,5
42101005228,5
42101003230,5
42101001111,5
42101001102,5
42101001107,5
42101003821,5
42101001118,5
42101001103,5
42101001113,5
42101001109,5
42101001117,5
42101001112,5
42101001114,5
42101001106,5
42101001119,5
42101001101,5
42101003802,5
42101003803,5
42101003807,5
42101003808,5
42101003806,5
42101002810,5
42101002811,5
42101002812,5
42101002809,5
42101003804,5
42101001108,5
42101001120,5
42101001612,5
42101001608,5
42091002160,6
42091002110,6
42091002130,6
42091002120,6
42091002100,6
42091000430,6
