GEOID,DISTRICT
4200300E625,1
4200300E675,1
4200300C810,1
4200300C830,1
4200300C790,1
4200300C740,1
4200300C600,1
4200300C720,1
4200300C480,1
4200300C140,1
4200300C120,1
4200300C280,1
4200300C300,1
42003006860,1
42003007540,1
42003006870,1
42003007620,1
42003007660,1
42003007680,1
42003007640,1
42003007700,1
42003007370,1
42003007310,1
42003007250,1
42003007290,1
42003006880,1
42003007270,1
4200300C320,1
42003003950,1
42003007560,1
42003007580,1
42003006665,1
42003006675,1
42003007600,1
42003008010,1
42003006715,1
42003007830,1
4200300F331,1
42003002131,1
4200300F300,1
4200300F140,1
4200300F120,1
4200300F110,1
4200300E435,1
4200300F240,1
4200300F210,1
4200300F101,1
4200300F130,1
4200300F102,1
4200300F080,1
42003002111,1
4200300F100,1
4200300F090,1
42003003970,1
42003003990,1
42003004000,1
4200300F310,1
4200300F320,1
42003005210,1
42003005201,1
4200300F172,1
42003002150,1
4200300F141,1
4200300F290,1
42003005230,1
4200300F351,1
42003007870,1
42003005241,1
42003005225,1
42003000021,1
42003000050,1
42003000031,1
42003008260,1
42003007890,1
42003007910,1
42003008210,1
42003008200,1
42003008240,1
42003008110,1
42003007930,1
42003007950,1
42003007810,1
4200300F371,1
42003007970,1
42003008030,1
42003007990,1
42003008100,1
42003008070,1
42003008090,1
42003007450,1
42003007410,1
42003007350,1
42003007490,1
42003007390,1
42003007330,1
42003007040,1
42003007200,1
42003007160,1
42003007220,1
42003008140,1
42003008370,1
42003008490,1
42003008360,1
42003008430,1
42003008320,1
42003008280,1
42003008300,1
42003008390,1
42003008410,1
42003008180,1
42003008340,1
42003008160,1
42003008120,1
42003007510,1
42003007470,1
42003007430,1
42003007180,1
42003007100,1
42003007060,1
42003007080,1
42003007140,1
42003009210,1
42003009110,1
42003009250,1
42003007120,1
42003007020,1
42003007240,1
42003007000,1
42003006290,1
42003006270,1
42003006600,1
42003006900,1
42003006580,1
42003006310,1
42003009130,1
42003009230,1
42003009820,1
42003009790,1
42003009760,1
42003009800,1
42003009770,1
42003009810,1
42003009920,1
42003009980,1
42003009960,1
42003009900,1
42003009860,1
42003009880,1
42003009940,1
4200300A060,1
42003009670,1
42003009570,1
42003009590,1
42003009690,1
42003009740,1
42003009750,1
4200300A020,1
4200300A040,1
4200300A000,1
4200300A080,1
4200300A120,1
4200300A170,1
4200300A150,1
4200300A250,1
4200300A290,1
4200300A560,1
4200300A540,1
4200300A210,1
4200300A230,1
4200300A520,1
4200300A620,1
4200300A820,1
4200300A760,1
4200300A800,1
4200300A740,1
4200300B070,1
4200300A680,1
4200300A660,1
4200300B490,1
4200300B500,1
4200300B510,1
4200300B520,1
4200300B230,1
4200300B250,1
4200300B270,1
4200300B290,1
4200300B330,1
4200300B540,1
42003001541,1
42003001570,1
42003001561,1
42003001520,1
42003001550,1
42003001610,1
4200300B150,1
4200300B170,1
4200300B310,1
4200300B480,1
4200300D660,1
42003004780,1
4200300D480,1
4200300D640,1
42003004751,1
4200300D620,1
4200300D600,1
4200300A860,1
4200300A600,1
4200300D580,1
4200300B050,1
4200300A700,1
4200300A720,1
4200300A780,1
4200300A580,1
4200300A310,1
4200300A270,1
4200300A330,1
42003004741,1
42003009780,1
42003009730,1
42003006370,1
42003006390,1
42003006170,1
42003006400,1
42003006110,1
42003006420,1
42003006410,1
42003006190,1
42003006780,1
42003006210,1
42003006350,1
42003006330,1
42003006250,1
42003006230,1
42003009150,1
42003008050,1
42003006685,1
42003005940,1
42003006460,1
42003006700,1
42003006740,1
42003006720,1
42003005970,1
42003005980,1
42003006440,1
42003006540,1
42003006920,1
42003006520,1
42003006560,1
42003006620,1
42003006660,1
42003006500,1
42003006480,1
42003006680,1
42003006640,1
42003006760,1
42003006130,1
42003006090,1
42003006150,1
42003005880,1
42003005960,1
42003006000,1
42003006020,1
42003005920,1
4200300C070,1
4200300C360,1
4200300C050,1
4200300C080,1
4200300C160,1
4200300C220,1
4200300C680,1
4200300C700,1
4200300C640,1
4200300C620,1
4200300C750,1
4200300C990,1
4200300C980,1
4200300C940,1
4200300C960,1
4200300C920,1
4200300C900,1
4200300D070,1
4200300F641,1
4200300F610,1
42003003540,1
42003003551,1
42003003511,1
42003003471,1
42003003460,1
4200300B780,1
4200300B800,1
4200300B820,1
42003003491,1
4200300F620,1
4200300F710,1
4200300F720,1
4200300D010,1
4200300D050,1
4200300D030,1
4200300C540,1
4200300C560,1
4200300C660,1
4200300C420,1
4200300C440,1
4200300C460,1
4200300C380,1
4200300C580,1
4200300C400,1
4200300C040,1
4200300B920,1
4200300B940,1
4200300B980,1
4200300D090,1
4200300B960,1
42003000321,1
4200300E645,1
4200300C880,1
42003000351,1
4200300E685,1
4200300C860,1
4200300C770,1
4200300E635,1
42003000331,1
42079001420,2
42079001525,2
42079000229,2
42079001282,2
42079001200,2
42079000190,2
42079001294,2
42079001296,2
42079002600,2
42079003140,2
42079001288,2
42079002425,2
42079001552,2
42079002275,2
42079001330,2
42079000495,2
42079001355,2
42079001375,2
42079001390,2
42079001320,2
42079001310,2
42079000352,2
42079001452,2
42079001445,2
42079001430,2
42079002122,2
42079001180,2
42079002300,2
42079000725,2
42079002166,2
42079002156,2
42079002142,2
42079000702,2
42079000682,2
42079000666,2
42079000083,2
42079001510,2
42079000080,2
42079001225,2
42079002005,2
42079000280,2
42079000060,2
42079000070,2
42069001005,2
42069001100,2
42069001090,2
42069001020,2
42079000050,2
42079001245,2
42079001410,2
42079001235,2
42079000442,2
42079000452,2
42079003160,2
42079002595,2
42079003150,2
42079001995,2
42079003170,2
42079001862,2
42079000275,2
42069000950,2
42079001876,2
42079001886,2
42079001852,2
42079002540,2
42079002555,2
42079000430,2
42079000420,2
42079000300,2
42069001110,2
42069001120,2
42079000325,2
42069001270,2
42079002565,2
42079000310,2
42079001165,2
42079002065,2
42079002635,2
42079002715,2
42079002700,2
42079002755,2
42079002745,2
42079002787,2
42079002815,2
42079003045,2
42079003020,2
42079003015,2
42079002985,2
42079002885,2
42079002935,2
42079002845,2
42079001400,2
42079002025,2
42079001340,2
42079002805,2
42079002765,2
42079002685,2
42079003095,2
42079002725,2
42079002655,2
42079000095,2
42079000484,2
42079003136,2
42079003122,2
42079002294,2
42079003126,2
42079003132,2
42079000250,2
42079000555,2
42079000138,2
42025000070,2
42079002620,2
42025000170,2
42089000360,2
42089000370,2
42025000379,2
42089000023,2
42079000120,2
42079001840,2
42079000088,2
42025000160,2
42079000025,2
42079000482,2
42079003075,2
42079003050,2
42079000010,2
42079000650,2
42079001645,2
42079001615,2
42079001590,2
42079001605,2
42079001625,2
42079000366,2
42079000515,2
42079002460,2
42079002445,2
42079000535,2
42079002035,2
42079002045,2
42079002055,2
42079000240,2
42079000230,2
42079000227,2
42079000215,2
42079001531,2
42079000790,2
42079000205,2
42131000150,2
42079000225,2
42079001515,2
42101000223,3
42101000222,3
42101000221,3
42101000219,3
42101000209,3
42101000208,3
42101000205,3
42101000204,3
42101000211,3
42101000217,3
42101000101,3
42101000102,3
42101000109,3
42101000103,3
