GEOID,DISTRICT
45083000084,1
45083000031,1
45083000016,1
45083000026,1
45083000053,1
45083000131,1
45021000024,1
45083000113,1
45021000019,1
45021000025,1
45021000017,1
45021000016,1
45021000001,1
45021000010,1
45021000014,1
45021000012,1
45021000026,1
45021000003,1
45021000020,1
45091000039,1
45091000011,1
45091000014,1
45091000041,1
45091000007,1
45091000057,1
45091000055,1
45091000093,1
45091000016,1
45091000050,1
45091000069,1
45091000066,1
45091000004,1
45091000092,1
45091000020,1
45091000002,1
45091000084,1
45091000003,1
45091000089,1
45091000098,1
45091000070,1
45091000071,1
45091000073,1
45091000049,1
45091000013,1
45091000078,1
45091000033,1
45091000051,1
45091000045,1
45091000034,1
45091000032,1
45091000027,1
45091000028,1
45091000044,1
45091000031,1
45091000075,1
45091000036,1
45091000072,1
45091000012,1
45091000022,1
45091000042,1
45091000024,1
45091000030,1
45091000063,1
45091000062,1
45091000025,1
45091000043,1
45091000095,1
45091000017,1
45091000096,1
45091000058,1
45091000056,1
45091000080,1
45091000021,1
45091000019,1
45091000037,1
45091000035,1
45091000052,1
45091000026,1
45091000015,1
45057000039,1
45057000035,1
45057000034,1
45057000038,1
45057000036,1
45057000040,1
45057000002,1
45091000076,1
45091000097,1
45091000068,1
45091000067,1
45091000065,1
45091000054,1
45091000064,1
45091000061,1
45091000048,1
45091000029,1
45091000040,1
45091000010,1
45091000090,1
45091000005,1
45091000081,1
45091000091,1
45091000009,1
45091000001,1
45091000018,1
45091000006,1
45091000038,1
45023000024,1
45021000006,1
45021000002,1
45021000027,1
45021000013,1
45021000015,1
45021000021,1
45021000005,1
45021000023,1
45021000004,1
45021000011,1
45021000018,1
45021000033,1
45021000028,1
45083000019,1
45083000109,1
45083000101,1
45083000125,1
45083000123,1
45083000014,1
45083000008,1
45083000112,1
45083000124,1
45083000127,1
45083000126,1
45083000116,1
45083000141,1
45083000029,1
45083000035,1
45083000041,1
45083000142,1
45083000003,1
45083000097,1
45083000051,1
45083000139,1
45045000316,1
45045000330,1
45045000264,1
45083000054,1
45083000044,1
45083000138,1
45083000013,1
45083000011,1
45083000057,1
45083000050,1
45083000012,1
45083000111,1
45083000045,1
45083000040,1
45045000348,1
45045000350,1
45045000357,1
45045000245,1
45045000307,1
45045000360,1
45045000286,1
45045000334,1
45045000231,1
45045000262,1
45045000292,1
45045000272,1
45045000270,1
45045000237,1
45045000342,1
45045000284,1
45045000341,1
45045000327,1
45077000145,1
45077000144,1
45077000143,1
45077000142,1
45077000138,1
45077000159,1
45077000140,1
45077000136,1
45077000148,1
45077000139,1
45077000137,1
45077000132,1
45077000156,1
45077000157,1
45077000155,1
45077000127,1
45077000126,1
45077000125,1
45077000120,1
45077000124,1
45077000123,1
45077000154,1
45077000121,1
45077000118,1
45073000016,1
45073000017,1
45077000116,1
45077000114,1
45077000117,1
45077000111,1
45077000109,1
45077000131,1
45077000112,1
45077000113,1
45077000122,1
45077000115,1
45077000134,1
45077000128,1
45077000129,1
45077000130,1
45077000133,1
45077000141,1
45077000161,1
45077000158,1
45077000147,1
45077000163,1
45077000150,1
45045000339,1
45045000206,1
45045000204,1
45045000205,1
45045000207,1
45045000230,1
45045000203,1
45045000297,1
45045000275,1
45045000317,1
45077000152,1
45077000119,1
45045000254,1
45045000365,1
45045000325,1
45045000306,1
45045000256,1
45077000151,1
45077000149,1
45077000146,1
45045000366,1
45045000269,1
45045000321,1
45045000271,1
45045000328,1
45045000367,1
45045000349,1
45083000100,1
45053000104,2
45053000112,2
45053000113,2
45053000116,2
45013000367,2
45013000365,2
45053000117,2
45053000115,2
45013000121,2
45013000120,2
45013000110,2
45013000111,2
45013000114,2
45013000116,2
45013000102,2
45013000187,2
45013000134,2
45013000135,2
45013000130,2
45013000131,2
45013000140,2
45013000186,2
45013000184,2
45029000008,2
45013000160,2
45013000162,2
45029000012,2
45035000036,2
45035000037,2
45035000066,2
45035000105,2
45035000084,2
45035000041,2
45035000098,2
45035000076,2
45035000106,2
45035000109,2
45035000073,2
45035000063,2
45035000077,2
45035000110,2
45019000630,2
45019000107,2
45019000629,2
45035000081,2
45035000050,2
45019000623,2
45019000622,2
45019000534,2
45019000533,2
45019000532,2
45019000537,2
45019000535,2
45019000618,2
45019000624,2
45019000626,2
45019000625,2
45019000613,2
45019000612,2
45019000610,2
45015000023,2
45015000068,2
45015000077,2
45015000021,2
45015000078,2
45015000022,2
45019000620,2
45019000621,2
45019000619,2
45019000604,2
45019000602,2
45019000221,2
45019000605,2
45019000606,2
45019000617,2
45019000616,2
45019000607,2
45019000608,2
45019000215,2
45019000216,2
45019000214,2
45019000211,2
45019000210,2
45019000207,2
45019000206,2
45019000202,2
45019000201,2
45019000302,2
45019000301,2
45019000032,2
45019000309,2
45019000308,2
45019000010,2
45019000012,2
45019000310,2
45019000321,2
45019000322,2
45019000312,2
45019000320,2
45019000323,2
45019000336,2
45019000330,2
45019000338,2
45019000324,2
45019000311,2
45019000011,2
45019000185,2
45019000184,2
45019000403,2
45019000404,2
45019000405,2
45019000410,2
45019000409,2
45019000406,2
45019000400,2
45019000402,2
45019000307,2
45019000306,2
45019000204,2
45019000203,2
45019000205,2
45019000209,2
45019000601,2
45019000218,2
45019000217,2
45019000212,2
45019000503,2
45019000502,2
45019000510,2
45019000512,2
45019000513,2
45019000514,2
45019000521,2
45019000520,2
45019000524,2
45019000511,2
45019000220,2
45019000509,2
45019000501,2
45019000504,2
45019000417,2
45019000408,2
45019000407,2
45019000445,2
45019000401,2
45019000180,2
45019000444,2
45019000181,2
45019000175,2
45019000441,2
45019000420,2
45019000443,2
45019000442,2
45019000422,2
45019000507,2
45019000505,2
45019000506,2
45019000419,2
45019000527,2
45019000529,2
45019000531,2
45019000523,2
45019000530,2
45019000525,2
45019000515,2
45019000519,2
45019000517,2
45019000526,2
45019000516,2
45019000518,2
45019000508,2
45019000413,2
45019000414,2
45019000415,2
45019000411,2
45019000412,2
45019000213,2
45019000219,2
45015000061,2
45015000062,2
45019000317,2
45015000012,2
45015000063,2
45015000064,2
45015000013,2
45015000082,2
45015000088,2
45019000327,2
45015000007,2
45019000333,2
45019000335,2
45019000334,2
45019000318,2
45019000319,2
45019000315,2
45019000304,2
45019000316,2
45019000303,2
45019000314,2
45019000305,2
45019000313,2
45019000326,2
45019000328,2
45019000329,2
45019000331,2
45019000332,2
45019000325,2
45019000208,2
45019000615,2
45019000614,2
45019000609,2
45019000611,2
45019000603,2
45019000522,2
45019000536,2
45035000074,2
45035000064,2
45035000091,2
45035000083,2
45035000082,2
45035000067,2
45035000087,2
45035000068,2
45035000058,2
45035000039,2
45035000040,2
45035000038,2
45035000104,2
45019000103,2
45035000071,2
45019000104,2
45019000106,2
45019000105,2
45015000020,2
45015000056,2
45015000100,2
45015000081,2
45015000076,2
45015000079,2
45015000080,2
45015000099,2
45015000055,2
45015000057,2
45019000628,2
45019000627,2
45019000102,2
45035000102,2
45035000079,2
45035000075,2
45035000062,2
45035000085,2
45035000061,2
45019000460,2
45019000462,2
45019000465,2
45019000463,2
45019000174,2
45019000173,2
45019000440,2
45019000528,2
45019000466,2
45019000464,2
45019000461,2
45013000180,2
45013000132,2
45013000133,2
45013000183,2
45013000182,2
45013000103,2
45013000115,2
45013000141,2
45013000142,2
45013000101,2
