GEOID,DISTRICT
45063000048,1
45063000060,1
45063000086,1
45063000057,1
45063000062,1
45063000072,1
45063000096,1
45063000009,1
45063000066,1
45063000068,1
45063000070,1
45063000064,1
45063000033,1
45091000066,2
45091000068,2
45091000016,2
45091000093,2
45091000020,2
45091000004,2
45091000081,2
45091000084,2
45091000089,2
45091000003,2
45091000002,2
45091000067,2
45091000061,2
45045000205,3
45045000226,3
45045000228,3
45045000225,3
45045000319,3
45045000227,3
45045000331,3
45045000239,3
45045000201,3
45045000336,3
45045000255,3
45045000224,3
45069000009,4
45069000010,4
45069000011,4
45033000005,4
45069000012,4
45069000015,4
45069000008,4
45025000009,4
45025000013,4
45025000011,4
45025000024,4
45069000007,4
45025000004,4
45025000007,4
45025000008,4
45025000010,4
45069000003,4
45069000001,4
45069000006,4
45069000014,4
45069000013,4
45019000305,5
45019000304,5
45019000306,5
45019000307,5
45019000301,5
45019000032,5
45019000412,5
45019000413,5
45019000414,5
45019000417,5
45019000201,5
45019000203,5
45019000204,5
45019000206,5
45019000202,5
45019000302,5
45019000407,5
45019000420,5
45019000504,5
45019000211,5
45019000205,5
45019000312,5
45019000311,5
45019000308,5
45045000208,6
45045000243,6
45045000216,6
45045000210,6
45045000217,6
45045000214,6
45045000221,6
45045000223,6
45045000222,6
45045000229,6
45045000218,6
45045000219,6
45045000318,6
45045000220,6
45085000137,7
45085000135,7
45085000136,7
45085000134,7
45085000133,7
45085000128,7
45085000126,7
45085000125,7
45085000117,7
45085000123,7
45085000122,7
45085000124,7
45085000120,7
45085000115,7
45085000148,7
45085000156,7
45085000119,7
45085000105,7
45085000106,7
45085000116,7
45085000114,7
45085000132,7
45085000113,7
45027000009,7
45027000017,7
45045000314,8
45045000298,8
45045000315,8
45045000312,8
45045000313,8
45045000311,8
45045000260,8
45059000018,8
45059000019,8
45059000023,8
45059000020,8
45045000259,8
45045000296,8
45047000001,9
45047000002,9
45047000030,9
45047000034,9
45047000036,9
45047000012,9
45047000050,9
45047000047,9
45047000026,9
45047000046,9
45047000013,9
45081000001,9
45047000027,9
45047000041,9
45047000008,9
45047000004,9
45047000003,9
45047000018,9
45047000048,9
45047000037,9
45047000035,9
45047000019,9
45047000028,9
45047000039,9
45047000033,9
45047000007,9
45047000042,9
45015000065,10
45015000048,10
45015000028,10
45015000011,10
45075000131,10
45015000086,10
45015000049,10
45035000090,10
45035000069,10
45035000044,10
45035000107,10
45035000089,10
45035000048,10
45035000100,10
45015000095,10
45015000091,10
45021000023,11
45021000015,11
45021000025,11
45021000017,11
45021000010,11
45021000014,11
45021000002,11
45021000027,11
45021000013,11
45021000012,11
45021000021,11
45021000016,11
45021000001,11
45021000030,11
45021000032,11
45021000031,11
45021000018,11
45021000004,11
45021000033,11
45021000020,11
45021000028,11
45051000206,12
45051000205,12
45051000204,12
45051000142,12
45051000140,12
45051000138,12
45043000120,12
45051000141,12
45051000108,12
45051000234,12
45051000139,12
45051000121,12
45051000207,12
45051000232,12
45051000231,12
45051000154,12
45079000508,13
45079000456,13
45079000514,13
45079000464,13
45079000502,13
45079000465,13
45079000482,13
45079000445,13
45079000412,13
45079000460,13
45047000024,14
45047000011,14
45047000045,14
45047000006,14
45047000043,14
45047000005,14
45047000038,14
45047000021,14
45047000049,14
45047000009,14
45047000044,14
45047000015,14
45047000031,14
45059000030,14
45059000029,14
45059000027,14
45047000017,14
45047000016,14
45047000032,14
45047000014,14
45047000040,14
45001000009,14
45001000006,14
45007000020,14
45007000031,14
45059000033,14
45059000028,14
45001000011,14
45001000010,14
45047000029,14
45047000010,14
45013000204,15
45013000201,15
45013000203,15
45013000217,15
45013000222,15
45013000220,15
45013000223,15
45013000228,15
45013000227,15
45013000219,15
45013000224,15
45013000225,15
45013000226,15
45053000108,15
45013000200,15
45013000303,15
45013000202,15
45053000106,15
45053000107,15
45013000320,15
45013000221,15
45013000205,15
45061000010,16
45061000011,16
45061000007,16
45061000020,16
45061000021,16
45055000117,16
45055000146,16
45055000132,16
45055000133,16
45055000135,16
45055000107,16
45055000113,16
45055000108,16
45055000109,16
45055000111,16
45055000112,16
45055000102,16
45055000115,16
45055000150,16
45055000101,16
45055000121,16
45055000154,16
45055000140,16
45055000143,16
45055000152,16
45055000149,16
45055000130,16
45061000016,16
45075000102,17
45075000103,17
45075000104,17
45075000105,17
45075000113,17
45075000112,17
45075000149,17
45075000119,17
45075000111,17
45075000118,17
45075000117,17
45075000150,17
45075000135,17
45017000010,17
45017000006,17
45017000003,17
45075000132,17
45075000125,17
45075000129,17
45075000154,17
45075000145,17
45075000120,17
45075000110,17
45075000107,17
45075000108,17
45075000101,17
45075000106,17
45075000109,17
45075000138,17
45045000339,18
45045000341,18
45045000327,18
45007000121,18
45077000160,18
45045000242,18
45077000145,18
45045000230,18
45045000342,18
45045000237,18
45045000284,18
45059000011,19
45059000008,19
45059000006,19
45059000005,19
45059000001,19
45059000002,19
45059000009,19
45059000003,19
45059000007,19
45059000017,19
45059000012,19
45059000025,19
45059000015,19
45059000034,19
45059000013,19
45059000010,19
45059000024,19
45059000031,19
45059000021,19
45059000004,19
45063000088,20
45063000071,20
45063000087,20
45063000067,20
45063000034,20
45063000073,20
45063000076,20
45063000003,20
45063000059,20
45063000004,20
45063000090,20
45063000078,20
45085000144,21
45085000111,21
