GEOID,DISTRICT
47185009607,1
47141007274,1
47141007261,1
47141007255,1
47141007266,1
47141007264,1
47141007263,1
47141007256,1
47141007252,1
47141007251,1
47141007253,1
47141007257,1
47087004511,1
47087004512,1
47087004504,1
47087004507,1
47087004510,1
47087004509,1
47087004502,1
47087004508,1
47087004506,1
47087004503,1
47159008303,1
47169008802,1
47169008803,1
47087004505,1
47187009731,2
47187009737,2
47187009735,2
47187009730,2
47187009736,2
47187009732,2
47187009734,2
47187009733,2
47187009739,2
47187009738,2
47187009714,2
47187009713,2
47103000011,3
47103000012,3
47103000018,3
47103000007,3
47103000010,3
47103000005,3
47103000014,3
47103000020,3
47103000009,3
47103000013,3
47103000006,3
47103000008,3
47103000001,3
47103000019,3
47127006554,3
47127006553,3
47051002653,3
47051002654,3
47127006551,3
47051002665,3
47051002666,3
47051002651,3
47051002652,3
47051002667,3
47051002662,3
47051002660,3
47031001505,3
47061003153,3
47061003155,3
47177009213,3
47031001520,3
47037001902,4
47037001916,4
47037001913,4
47037001917,4
47037001914,4
47037001918,4
47037001888,4
47037001911,4
47037001907,4
47037001889,4
47037001887,4
47037001901,4
47037001900,4
47037001899,4
47037001893,4
47037001892,4
47037001891,4
47029001405,5
47155007952,5
47155007951,5
47155007953,5
47155007957,5
47155007972,5
47155007956,5
47155007958,5
47009000426,5
47009000401,5
47155007959,5
47009000427,5
47009000432,5
47009000425,5
47009000435,5
47009000402,5
47009000424,5
47155007963,5
47155007975,5
47125006468,6
47125006464,6
47125006471,6
47125006466,6
47125006469,6
47125006478,6
47125006474,6
47125006459,6
47125006462,6
47037001921,7
47037001920,7
47037001955,7
47037001953,7
47037001956,7
47037001957,7
47037001919,7
47037001877,7
47037001882,7
47037001881,7
47037001909,7
47037001908,7
47037001903,7
47037001906,7
47037001954,7
47037001910,7
47183009507,8
47053002776,8
47053002773,8
47053002772,8
47053002771,8
47045002351,8
47045002352,8
47045002361,8
47045002359,8
47045002366,8
47045002360,8
47045002354,8
47045002355,8
47045002363,8
47045002353,8
47045002365,8
47045002364,8
47045002362,8
47045002357,8
47095004953,8
47095004952,8
47095004951,8
47131006755,8
47131006759,8
47131006753,8
47131006754,8
47131006758,8
47131006757,8
47131006760,8
47045002356,8
47045002358,8
47053002777,8
47053002778,8
47053002774,8
47053002775,8
47065003352,9
47065003399,9
47065003400,9
47065003391,9
47065003426,9
47065003394,9
47065003395,9
47065003388,9
47065003364,9
47065003398,9
47065003371,9
47065003351,9
47065003392,9
47065003393,9
47065003363,9
47065003452,9
47065003451,9
47037001960,10
