GEOID,DISTRICT
48029003120,1
48029003157,1
48029003090,1
48029003181,1
48029003114,1
48029003088,1
48029003165,1
48029003007,1
48029003072,1
48029003124,1
48029003170,1
48029003144,1
48029003137,1
48029003001,1
48029003138,1
48029003092,1
48029003125,1
48029003199,1
48029003148,1
48029003042,1
48029003121,1
48029003173,1
48029003033,1
48029003093,1
48029003045,1
48029003030,1
48029003102,1
48029003163,1
48029003052,1
48029003089,1
48029003197,1
48029003059,1
48029003153,1
48029003122,1
48029003083,1
48029003091,1
48029003079,1
48029003062,1
48029003119,1
48029003044,1
48029003193,1
48029003108,1
48029003084,1
48029003110,1
48029003040,1
48029003082,1
48029003154,1
48029003117,1
48029003081,1
48029003085,1
48029003104,1
48029003180,1
48201000007,2
48201000582,2
48201000253,2
48201000401,2
48201000205,2
48201000115,2
48201000374,2
48201000816,2
48201000905,2
48201000164,2
48201000838,2
48201000259,2
48201000528,2
48201000810,2
48201000062,2
48201000079,2
48201000811,2
48201000187,2
48201000080,2
48201000162,2
48201000081,2
48201000208,2
48201000066,2
48201000860,2
48201000527,2
48201000777,2
48201000857,2
48201000072,2
48201000163,2
48201000935,2
48201000229,2
48201000769,2
48201000821,2
48201000266,2
48201000375,2
48201000725,2
48201000353,2
48201000368,2
48201000741,2
48201000460,2
48201000381,2
48201000605,2
48201000413,2
48201000827,2
48201000954,2
48201000719,2
48201000831,2
48201000824,2
48201000354,2
48201000818,2
48201000797,2
48139000107,3
48139000109,3
48139000110,3
48139000108,3
48139000106,3
48113003101,3
48139000140,3
48139000116,3
48139000115,3
48139000138,3
48139000125,3
48257000012,3
48139000137,3
48257000010,3
48349000108,3
4821300001A,3
48349000103,3
48349000106,3
48349000403,3
48139000129,3
48139000114,3
48139000113,3
48139000132,3
48139000119,3
48139000127,3
48139000122,3
48139000120,3
48139000123,3
48139000126,3
48139000128,3
48139000121,3
48349000107,3
48349000105,3
48349000400,3
48349000402,3
48349000401,3
48349000101,3
48349000301,3
48349000405,3
48349000300,3
48349000305,3
48349000304,3
48349000206,3
48349000205,3
48349000202,3
48349000201,3
48349000204,3
48349000109,3
482130001TC,3
4821300001T,3
48349000200,3
48349000306,3
48349000104,3
48139000136,3
48139000124,3
48139000142,3
48139000139,3
48139000143,3
48139000141,3
48139000149,3
48139000148,3
48113003808,3
48113003809,3
48113003940,3
48139000146,3
48139000147,3
48439004638,4
48439003363,4
48439003192,4
48439003185,4
48439003152,4
48439003700,4
48439004599,4
48439004705,4
48439003647,4
48439003729,4
48439003637,4
48439004528,4
48439004234,4
48439004540,4
48439004452,4
48439004711,4
48439004222,4
48439004499,4
48439004338,4
48439004018,4
48439004666,4
48439004093,4
48439004245,4
48439004231,4
48439004123,4
48439004048,4
48439004092,4
48439004050,4
48439004374,4
48439004508,4
48439004261,4
48439003332,4
48439003398,4
48439003725,4
48439003507,4
48439003527,4
48439003063,4
48439003367,4
48439003287,4
48439003054,4
48439003509,4
48439003554,4
48439003209,4
48439003447,4
48439003187,4
48439003667,4
48439003698,4
48439003695,4
48121001052,5
48085000092,5
48085000127,5
48085000111,5
48085000177,5
48085000101,5
48085000118,5
48085000117,5
48085000109,5
48085000176,5
48085000235,5
48085000089,5
48085000124,5
48085000014,5
48085000087,5
48085000038,5
48085000157,5
48085000218,5
48085000197,5
48085000135,5
48085000139,5
48121001031,5
48085000030,5
48085000229,5
48085000134,5
48085000199,5
48121001044,5
48085000029,5
48121001043,5
48453000156,6
48453000118,6
48453000139,6
48453000164,6
48453000223,6
48453000224,6
48453000217,6
48453000209,6
48453000140,6
48453000141,6
48453000134,6
48453000131,6
48453000121,6
48453000117,6
48453000129,6
48453000116,6
48453000436,6
48453000127,6
48453000128,6
48453000151,6
48453000122,6
48453000248,6
48453000260,6
48453000218,6
48453000222,6
48453000258,6
48453000211,6
48453000104,6
48453000153,6
48453000154,6
48453000226,6
48453000111,6
48453000112,6
48453000108,6
48453000102,6
48453000103,6
48453000268,6
48453000252,6
48453000228,6
48085000075,7
48085000028,7
48085000081,7
48085000137,7
48085000112,7
48085000071,7
48085000019,7
48085000065,7
48085000070,7
48085000072,7
48085000021,7
48085000051,7
48085000152,7
48085000050,7
48085000047,7
48085000103,7
48085000023,7
48085000026,7
48085000055,7
48085000164,7
48113002500,7
48113002506,7
48113002504,7
48113002507,7
48113001501,7
48113001500,7
48113002052,7
48113001032,7
48113002057,7
48113002050,7
48113002051,7
48113002505,7
48113002044,7
48113002502,7
48085000048,7
48085000067,7
48085000049,7
48085000138,7
48113002501,7
48085000110,7
48085000068,7
48085000046,7
48085000053,7
48085000086,7
48085000031,7
48085000105,7
48085000142,7
48085000074,7
48085000136,7
48113002041,7
48113002903,7
48113002904,7
48113002902,7
48085000015,7
48121003018,8
48121003017,8
48121003015,8
48121003010,8
48121003028,8
48121003013,8
48121003026,8
48113002810,8
48113002910,8
48113002808,8
48121003023,8
48113002802,8
48113002800,8
48113002603,8
48113004647,8
48113004645,8
48113004635,8
48113004644,8
48439003396,8
48439003566,8
48439003389,8
48439003038,8
48439003469,8
48439003114,8
48439003361,8
48113004636,8
48113004628,8
48113004632,8
48113004640,8
48113004630,8
48113004641,8
48113004624,8
48113004631,8
48113004642,8
48113004639,8
48113004625,8
48113004626,8
48113004634,8
48113004633,8
48113004627,8
48113004121,8
48113004664,8
48121003098,8
48121003024,8
48121003027,8
48121003012,8
48355000079,9
48355000052,9
48355000024,9
48355000113,9
48355000080,9
48355000078,9
48355000075,9
48355000043,9
48355000056,9
48355000053,9
48355000097,9
48355000073,9
48355000071,9
48355000093,9
48355000072,9
48355000094,9
48355000005,9
48355000095,9
48355000098,9
48355000074,9
48355000100,9
48355000101,9
48355000123,9
48355000049,9
48355000110,9
48355000028,9
48355000015,9
48355000114,9
48355000106,9
48355000118,9
48355000020,9
48355000116,9
48355000088,9
48355000115,9
48355000119,9
48355000112,9
48355000121,9
48355000004,9
48355000070,9
48355000084,9
48355000048,9
48355000002,9
48355000064,9
48355000063,9
48355000066,9
48355000087,9
48355000067,9
48355000026,9
48355000125,9
48355000126,9
48355000029,9
48355000003,9
48355000016,9
48355000034,9
48355000037,9
48355000054,9
48355000104,9
48355000108,9
48355000022,9
48355000027,9
48355000051,9
48355000082,9
48355000099,9
48415000013,10
48151000004,10
48151000001,10
48253000401,10
48441000205,10
48441000105,10
48441000106,10
48441000206,10
48441000109,10
48441000308,10
48441000307,10
48441000306,10
48441000305,10
48441000304,10
48441000108,10
48441000407,10
48441000406,10
48441000403,10
48441000402,10
48441000201,10
48441000202,10
48441000203,10
48441000204,10
48441000101,10
48441000401,10
48441000405,10
48441000302,10
48441000110,10
48441000207,10
48441000107,10
48441000103,10
48441000104,10
48441000301,10
48441000404,10
48441000102,10
48253000303,10
48253000203,10
48253000402,10
48253000101,10
48253000201,10
48253000102,10
48207000010,10
48207000005,10
48207000006,10
48207000007,10
48275000101,10
48275000202,10
48207000008,10
48275000201,10
48155000301,10
48101000301,10
48075000201,10
48197000001,10
48197000004,10
48155000401,10
48197000002,10
48269000003,10
48269000002,10
48101000201,10
48101000401,10
48269000001,10
48275000302,10
48023000001,10
48155000101,10
48253000301,10
48417000404,10
48253000202,10
48253000103,10
48253000302,10
48059000001,10
48059000003,10
48059000006,10
48353000002,10
48353000006,10
48151000010,10
48263000302,10
48169000006,10
48415000007,10
48415000008,10
48415000015,10
48415000006,10
48169000004,10
48415000005,10
48263000101,10
48263000202,10
48263000201,10
48125000003,10
48125000006,10
48125000004,10
48263000301,10
48415000014,10
48263000401,10
48433000003,10
48269000004,10
48433000002,10
48433000001,10
48151000012,10
48433000004,10
48303000067,11
48303000141,11
48303000054,11
48303000066,11
48303000124,11
48303000140,11
48303000125,11
48303000062,11
48303000053,11
48303000127,11
48303000126,11
48303000030,11
48303000012,11
48303000060,11
48303000128,11
48303000078,11
48303000109,11
48303000110,11
48303000155,11
48305000011,11
48305000004,11
48303000120,11
48303000092,11
48303000121,11
48303000111,11
48303000178,11
48303000138,11
48303000154,11
48303000129,11
48303000104,11
48303000112,11
48303000057,11
48303000096,11
48303000075,11
48303000123,11
48303000122,11
48303000118,11
48303000028,11
48303000023,11
48303000024,11
48303000025,11
48303000018,11
48303000016,11
48303000022,11
48303000021,11
48303000014,11
48303000009,11
48303000047,11
48303000013,11
48303000027,11
48303000007,11
48303000119,11
48303000029,11
48303000019,11
48303000020,11
48303000051,11
48303000017,11
48303000142,11
48303000026,11
48141000201,12
48141000200,12
48141000126,12
48141000204,12
48141000203,12
48141000199,12
48141000158,12
48141000180,12
48141000202,12
48141000159,12
48141000169,12
48141000170,12
48141000165,12
48141000207,12
48141000208,12
48141000172,12
48141000173,12
48141000171,12
48141000163,12
48141000161,12
48141000206,12
48141000205,12
48141000154,12
48141000153,12
48141000156,12
48141000162,12
48141000155,12
48141000160,12
48141000183,12
48141000164,12
48141000157,12
48141000150,12
48141000149,12
48141000146,12
48141000141,12
48141000148,12
48141000147,12
48141000143,12
48141000179,12
48141000151,12
48141000152,12
48141000131,12
48113004529,13
48113004502,13
48113004503,13
48113004507,13
48113004530,13
48113004508,13
48113004532,13
48113004512,13
48113004514,13
48113004511,13
48113004533,13
48113004510,13
48113004534,13
48113004535,13
48113004509,13
48113004531,13
48113004059,13
48439002180,13
48439002225,13
48439002402,13
48439002616,13
48439002546,13
48439002680,13
48439002681,13
48113004513,13
48439002411,13
48439002571,13
48439002655,13
48439002281,13
48439002660,13
48439002145,13
48439002673,13
48439002210,13
48439002428,13
48439002461,13
48439002027,13
48439002675,13
48439002302,13
48439002002,13
48439002134,13
48439002413,13
48113004506,13
48113004525,13
48439002381,13
48439002320,13
48439002523,13
48439002449,13
48439002448,13
48439002268,13
48439002553,13
48439002267,13
48439002318,13
48439002226,13
48439002393,13
48439002513,13
48439002403,13
48439002356,13
48439002307,13
48439002727,13
48439002535,13
48439002581,13
48439002505,13
48439002304,13
48439002450,13
48439002726,13
48439002613,13
48439002354,13
48439002659,13
48113004542,13
48113004539,13
48149000020,14
48149000021,14
48149000022,14
48149000024,14
48089000201,14
48089000202,14
48089000305,14
48089000303,14
48015000211,14
48015000104,14
48015000312,14
48015000314,14
48015000416,14
48089000402,14
48015000415,14
48015000205,14
48089000101,14
48089000401,14
48089000304,14
48149000017,14
48149000014,14
48149000015,14
48055000205,14
48149000016,14
48177000009,14
48177000008,14
48177000007,14
48177000005,14
48187000109,14
48187000105,14
48187000407,14
48187000120,14
481770004/6,14
48177000013,14
48177000003,14
48177000010,14
48123000101,14
48123000201,14
48123000202,14
48285000009,14
48177000011,14
48285000032,14
48285000023,14
48285000012,14
48285000029,14
48285000015,14
48285000011,14
48285000030,14
48285000026,14
48123000203,14
48285000016,14
48469000011,14
48469000026,14
48469000028,14
48469000007,14
48469000029,14
48469000025,14
48469000019,14
48469000033,14
48469000009,14
48469000003,14
48469000020,14
48469000035,14
48469000002,14
48469000001,14
48469000024,14
48469000023,14
48469000022,14
48175000041,14
48175000042,14
48175000043,14
48469000008,14
48469000021,14
48469000017,14
48469000010,14
48469000030,14
48469000006,14
48469000005,14
48469000032,14
48469000031,14
48469000004,14
48469000027,14
48239000003,14
48239000005,14
48285000017,14
48285000002,14
48285000027,14
48285000019,14
48285000001,14
48177000014,14
48123000401,14
48123000102,14
48123000402,14
48123000302,14
48177000015,14
48177000001,14
48177000012,14
48177000002,14
48055000202,14
48149000025,14
48285000007,14
48285000031,14
48285000008,14
48113003206,15
48113004050,15
48113004052,15
48113003001,15
48113003053,15
48113003003,15
48113004093,15
48113003004,15
48113003046,15
48113003047,15
48113003056,15
48113003054,15
48113004056,15
48113004057,15
48113004058,15
48113004037,15
48113004063,15
48113004036,15
48113004107,15
48113004038,15
48113004035,15
48113004108,15
48113004043,15
48113003041,15
48113004114,15
48113004068,15
48113004069,15
48113004070,15
48113004074,15
48113004077,15
48113004079,15
48113004080,15
48113004078,15
48113004075,15
48113004115,15
48113003088,15
48113004062,15
48113003002,15
48113004111,15
48113004054,15
48113004112,15
48113004060,15
48113004055,15
48113004090,15
48113004300,15
48113004061,15
48113004066,15
48113004113,15
48113003092,15
48113003203,15
48113003207,15
48113003208,15
48113003200,15
48113003078,15
48113003209,15
48113003210,15
48113003211,15
48157002100,16
48157002101,16
48157003160,16
48157003083,16
48157004117,16
48157003150,16
48201000600,16
48201000899,16
48201000619,16
48201000772,16
48201000522,16
48201000731,16
48201000618,16
48201000796,16
48201000603,16
48201000785,16
48201000509,16
48201000644,16
48157003004,16
48201000524,16
48157002066,16
48157002106,16
48157003113,16
48339000064,17
48339000007,17
48339000053,17
48291000023,17
48339000036,17
48339000014,17
48339000087,17
48339000092,17
48339000080,17
48339000047,17
48339000068,17
48201000897,17
48339000046,17
48339000088,17
48339000100,17
48339000024,17
48339000096,17
48339000082,17
48339000026,17
48339000093,17
48339000052,17
48201000758,17
48201000357,17
48201000459,17
48201000635,17
48339000037,17
48029003127,18
48029003037,18
48029003101,18
48029003160,18
48029002101,18
48029002136,18
48029002095,18
48029002160,18
48029002115,18
48029002123,18
48029002107,18
48029002065,18
48029002154,18
48029002125,18
48029002120,18
48029002147,18
48029002093,18
48029001137,18
48029001143,18
48029001121,18
48029001144,18
48029002097,18
48029002098,18
48029001109,18
48029001093,18
48029001111,18
48029001113,18
48029001055,18
48029002078,18
48029002127,18
48029002102,18
48029002088,18
48029002145,18
48029002077,18
48029002068,18
48029002069,18
48029001104,18
48029002106,18
48029002133,18
48029002087,18
48029002076,18
48029002139,18
48029002066,18
48029002072,18
48029003134,18
48029003149,18
48029003162,18
48029003016,18
48029002099,18
48091000407,19
48091000103,19
48091000401,19
48091000107,19
48091000104,19
48091000106,19
48091000102,19
48091000204,19
48029003097,19
48029003145,19
48029003155,19
48029003192,19
48259003030,19
48259002020,19
48259002080,19
48091000208,19
48259003040,19
48259001010,19
48029003034,19
48259002120,19
48091000403,19
48091000105,19
48031000401,19
48209000335,19
48209000339,19
48209000333,19
48209000338,19
48091000402,19
48091000405,19
48091000206,19
48091000205,19
48029003164,19
48029003201,19
48029003039,19
48029003123,19
48029003043,19
48029003005,19
48091000207,19
48091000108,19
48091000101,19
48091000203,19
48091000301,19
48439002310,20
48439002223,20
48439002229,20
48439002451,20
48439002205,20
48439002147,20
48439002168,20
48439002143,20
48439002309,20
48439002100,20
48439002263,20
48439002569,20
48439002169,20
48439002161,20
48439002657,20
48439002148,20
48439002670,20
48439002246,20
48439002055,20
48439001380,20
48439002228,20
48439001607,20
48439001605,20
48439001518,20
48439001489,20
48439001227,20
48439001722,20
48439001714,20
48439001064,20
48439001514,20
48439002303,20
48439002003,20
48439002217,20
48439002058,20
48439002606,20
48439001651,20
48439002280,20
48439001490,20
48439001420,20
48439002316,20
48439002224,20
48439002536,20
48439002467,20
48439001463,20
48439002537,20
48439001441,20
48439001382,20
48113004517,20
48439002158,20
48439002315,20
48439002274,20
48439002561,20
48439001631,20
48439001589,20
48439001437,20
48439002442,20
48439001564,20
48439002317,20
48439002026,20
48439002190,20
48439002656,20
48439002235,20
48439002658,20
48439002269,20
48439002401,20
48439002112,20
48439002181,20
48439002052,20
48439002171,20
48439002174,20
48237000005,21
48503000022,21
48503000016,21
48009000004,21
48009000005,21
48009000008,21
48009000003,21
48009000011,21
48237000006,21
48077000032,21
48077000020,21
48077000017,21
48077000024,21
48077000008,21
48077000009,21
48077000012,21
48077000011,21
48485000116,21
48485000117,21
48485000107,21
48485000304,21
48485000109,21
48485000108,21
48485000113,21
48485000103,21
48485000406,21
48485000301,21
48485000318,21
48485000319,21
48485000302,21
48485000316,21
48485000207,21
48485000315,21
48485000408,21
48485000305,21
48485000407,21
48485000404,21
48485000412,21
48485000106,21
48485000413,21
48485000317,21
48485000402,21
48485000110,21
48485000405,21
48485000308,21
48485000102,21
48485000111,21
48485000403,21
48485000104,21
48485000411,21
48485000401,21
48485000314,21
48485000307,21
48485000313,21
48485000202,21
48485000306,21
48485000203,21
48485000312,21
48485000311,21
48485000211,21
48485000210,21
48485000303,21
48485000115,21
48485000209,21
48485000112,21
48485000105,21
48485000114,21
48009000002,21
48009000006,21
48009000009,21
48009000007,21
48009000010,21
48485000101,21
48485000409,21
48485000410,21
48077000013,21
48077000014,21
48485000204,21
48485000201,21
48485000208,21
48485000309,21
48485000414,21
48485000310,21
48485000205,21
48485000206,21
48077000015,21
48077000001,21
48077000006,21
48077000027,21
48503000020,21
48503000010,21
48503000023,21
48503000005,21
48503000006,21
48503000007,21
48447004005,21
48447004006,21
48447000001,21
48023000004,21
48275000401,21
48275000301,21
48207000002,21
48207000004,21
48207000009,21
48207000003,21
48207000001,21
48023000003,21
48009000001,21
48023000002,21
48487000001,21
48487000019,21
48197000003,21
48487000021,21
48155000201,21
48487000020,21
48447003003,21
48447000002,21
48429003-19,21
48429003-11,21
48503000024,21
48363000020,21
48201000142,22
48201000211,22
48201000308,22
48201000850,22
48201000172,22
48201000231,22
48201000766,22
48201000945,22
48201000067,22
48201000226,22
48201000154,22
48201000023,22
48201000526,22
48201000094,22
48201000921,22
48201000285,22
48201000379,22
48201000798,22
48201000036,22
48201000288,22
48201000276,22
48201000240,22
48201000295,22
48201000158,22
48201000294,22
48201000392,22
48201000607,22
48201000237,22
48201000238,22
48201000239,22
48201000822,22
48201000156,22
48201000203,22
48201000946,22
48201000257,22
48201000418,22
48201000076,22
48201000536,22
48201000842,22
48201000417,22
48201000996,22
48201000476,22
48201000755,22
48201000347,22
48375000224,23
48375000223,23
48375000125,23
48375000422,23
48375000424,23
48375000421,23
48375000427,23
48375000425,23
48375000221,23
48375000426,23
48375000326,23
48375000324,23
48375000322,23
48375000321,23
48359000202,23
48359000203,23
48359000101,23
48375000323,23
48359000103,23
48359000303,23
48359000403,23
48359000404,23
48117000004,23
48381000325,23
48381000208,23
48381000230,23
48381000228,23
48381000426,23
48381000421,23
48381000324,23
48381000227,23
48381000429,23
48381000418,23
48381000222,23
48381000220,23
48375000123,23
48375000126,23
48375000124,23
48375000122,23
48381000112,23
48381000307,23
48375000121,23
48375000325,23
48135000209,24
48135000402,24
48329000406,24
4832900108A,24
48329000101,24
48329000106,24
48329000309,24
4832900309A,24
4832900109A,24
48329000108,24
48329000303,24
48329000104,24
48329000105,24
48329000109,24
48329000307,24
4832900307A,24
48461000001,24
48135000409,24
48461000003,24
48461000004,24
48103000001,24
48103000002,24
48103000004,24
48135000404,24
48135000109,24
48135000108,24
48135000110,24
48135000208,24
48135000204,24
48135000308,24
48135000205,24
48135000203,24
48135000206,24
48135000207,24
48003000004,24
48135000101,24
48135000104,24
48135000103,24
48135000301,24
48135000311,24
48135000406,24
48135000407,24
48135000302,24
48135000102,24
48103000003,24
48135000202,24
48135000312,24
48135000309,24
48135000408,24
48135000412,24
48135000305,24
48135000405,24
48135000403,24
48135000304,24
48135000307,24
48135000306,24
48135000303,24
48135000111,24
48135000106,24
48135000107,24
48135000401,24
48439003331,25
48439003421,25
48439003510,25
48439003260,25
48439003330,25
48439003539,25
48439003248,25
48439003193,25
48439003662,25
48439003562,25
48439003669,25
48439003663,25
48439003516,25
48439003390,25
48439003037,25
48439003368,25
48439003200,25
48439003157,25
48439003327,25
48439003247,25
48439003156,25
48439003517,25
48439003249,25
48439003036,25
48439003391,25
48439003511,25
48439003335,25
48439003322,25
48439003443,25
48439003216,25
48439003574,25
48439003336,25
48439003329,25
48439003446,25
48439001603,25
48113004608,25
48113004518,25
48113004540,25
48113004609,25
48113004605,25
48113004600,25
48113004610,25
48113004659,25
48113004621,25
48113004653,25
48439001404,25
48439003334,25
48439003283,25
48439003212,25
48439003183,25
48439003254,25
48439003323,25
48439003385,25
48439003530,25
48245000030,26
48245000091,26
48071000007,26
48071000012,26
48167000103,26
48071000013,26
48071000003,26
48071000002,26
48071000001,26
48071000014,26
48071000006,26
48071000009,26
48071000005,26
48167000168,26
48167000105,26
48167000306,26
48167001051,26
48201000088,26
48167000104,26
48201000249,26
48201000561,26
48201000290,26
48201000662,26
48201000679,26
48201000718,26
48201000568,26
48201000306,26
48201000092,26
48201000721,26
48201000724,26
48201000715,26
48201000699,26
48201000972,26
48201000534,26
48201000174,26
48201000377,26
48201000333,26
48167000166,26
48201000692,26
48201000415,26
48201000090,26
48201000703,26
48201000391,26
48201000746,26
48201000532,26
48201000100,26
48201000099,26
48201000248,26
48245000025,26
48199000014,26
48245000026,26
48245000090,26
48245000072,26
48245000100,26
48245000065,26
48245000068,26
48245000002,26
48245000099,26
48245000094,26
48245000088,26
48245000028,26
48245000024,26
48245000029,26
48029002142,27
48029003141,27
48029002026,27
48029002050,27
48029002061,27
48029002112,27
48029003002,27
48029003116,27
48029003107,27
48029002091,27
48029002143,27
48029002151,27
48029002157,27
48029003003,27
48029003139,27
48029002086,27
48029002037,27
48029002084,27
48029002108,27
48029002159,27
48029003054,27
48029003023,27
48029003172,27
48029003029,27
48029002126,27
48029002130,27
48029002141,27
48029003032,27
48029003147,27
48029002090,27
48029003015,27
48029002148,27
48029002134,27
48029003167,27
48029002110,27
48029002100,27
48029003171,27
48029003067,27
48029003069,27
48029003111,27
48029003006,27
48029003166,27
48029003011,27
48029003161,27
48029003068,27
48029003041,27
48029003038,27
48029002080,27
48029002114,27
48029003133,27
48029002073,27
48029003136,27
48029002064,27
48029002146,27
48029003182,27
48029003175,27
48029002009,27
48029002149,27
48029002096,27
48029003065,27
48029002122,27
48029003152,27
48029003035,27
48029003019,27
48029003146,27
48029003113,27
48029003112,27
48029003135,27
48029003071,27
48029003013,27
48029003024,27
48029003115,27
48029003057,27
48029003179,27
48029002113,27
48029002156,27
48029002153,27
48029002124,27
48029003140,27
48029002119,27
48141000032,28
48141000025,28
48141000031,28
48141000028,28
48141000010,28
48141000016,28
48141000019,28
48141000008,28
48141000011,28
48141000009,28
48141000029,28
48141000024,28
48141000022,28
48141000176,28
48141000020,28
48141000017,28
48141000013,28
48141000193,28
48141000005,28
48141000007,28
48141000192,28
48141000006,28
48141000004,28
48141000002,28
48141000003,28
48141000001,28
48141000012,28
48141000014,28
48141000184,28
48141000044,28
48141000043,28
48141000194,28
48141000045,28
48141000049,28
48141000046,28
48141000047,28
48141000051,28
48141000052,28
48141000177,28
48141000060,28
48141000187,28
48141000185,28
48141000188,28
48141000066,28
48141000068,28
48141000018,28
48141000021,28
48141000015,28
48141000027,28
48141000026,28
48141000023,28
48029003021,29
48029003022,29
48029003177,29
48029004091,29
48029004125,29
48029004044,29
48029004139,29
48029004120,29
48029004102,29
48029004117,29
48029003159,29
48029004047,29
48029004149,29
48029004022,29
48029004094,29
48029004174,29
48029004096,29
48029004021,29
48029004205,29
48029004170,29
48029004173,29
48029003118,29
48029004169,29
48029004176,29
48029004099,29
48029004095,29
48029004172,29
48029004108,29
48029004179,29
48029003028,29
48029003100,29
48029003105,29
48029004171,29
48029004134,29
48029004195,29
48029004192,29
48029004142,29
48029004076,29
48029004166,29
48029004061,29
48029004156,29
48029004088,29
48029004114,29
48029004168,29
48029004198,29
48029004197,29
48029004163,29
48029004067,29
48029004196,29
48029004092,29
48029004213,29
48029004162,29
48029004130,29
48029004132,29
48029004188,29
48029004043,29
48029004187,29
48029004083,29
48029004089,29
48029004066,29
48029004161,29
48029004049,29
48029004154,29
48029004051,29
48029004107,29
48029004050,29
48029004131,29
48029004175,29
48029004181,29
48029004210,29
48029004046,29
48029003048,29
48029003049,29
48029003050,29
48029004045,29
48029004035,29
48029004147,29
48029004038,29
48029003047,29
48029003027,29
48029003156,29
48029002135,29
48029002131,29
48029003046,29
48029004112,29
48201000338,30
48201000773,30
48201000558,30
48201000645,30
48201000711,30
48201000765,30
48201000706,30
48201000620,30
48201000559,30
48201000727,30
48201000487,30
48201000781,30
48201000508,30
48201001001,30
48201000984,30
48201000557,30
48201000510,30
48201000395,30
48201000646,30
48201000428,30
48201000814,30
48201000647,30
48167000454,31
48167000464,31
48167000487,31
48167000455,31
48167000263,31
48167000488,31
48167000471,31
48167000283,31
48167000220,31
48167000279,31
48167000281,31
48167000228,31
48167000258,31
48167000278,31
48167000280,31
48167002801,31
48167000219,31
48167000312,31
48167000336,31
48167000227,31
48167003311,31
48167000334,31
48167000331,31
48167002322,31
48167000232,31
48167000439,31
48167004391,31
48167000389,31
48167000341,31
48167000172,31
48167000146,31
48167000148,31
48167000343,31
48167000150,31
48167000142,31
48167000151,31
48167000197,31
48167000159,31
48167000391,31
48167000192,31
48167000399,31
48167000340,31
48167000398,31
48167000394,31
48167000165,31
48167000301,31
48167000338,31
48167000144,31
48085000041,32
48085000060,32
48085000128,32
48085000059,32
48085000080,32
48085000145,32
48085000040,32
48085000006,32
48085000113,32
48085000106,32
48085000007,32
48085000082,32
48085000005,32
48085000147,32
48085000171,32
48085000120,32
48085000130,32
48085000091,32
48085000077,32
48085000058,32
48085000219,32
48085000054,32
48085000039,32
