GEOID,DISTRICT
51087000516,1
51087000514,1
51760000806,1
51760000610,1
51760000811,1
51760000510,1
51760000509,1
51760000802,1
51760000814,1
51760000812,1
51041000207,1
51041000208,1
51041000216,1
51041000213,1
51760000910,1
51760000902,1
51760000810,1
51760000909,1
51760000903,1
51041000206,1
51059000113,2
51059000125,2
51059000108,2
51059000104,2
51059000801,2
51059000128,2
51059000833,2
51059000842,2
51059000133,2
51059000118,2
51059000123,2
51059000119,2
51059000126,2
51059000127,2
51059000105,2
51059000130,2
51059000815,2
51059000120,2
51059000841,2
51181000401,3
51181000502,3
51181000501,3
51181000101,3
51181000201,3
51095000502,3
51095000504,3
51095001042,3
51830000002,3
51095000201,3
51095000202,3
51095000203,3
51095001041,3
51095000101,3
51095000102,3
51095000103,3
51095000301,3
51095000304,3
51095000204,3
51095000302,3
51095000402,3
51095000303,3
51095000401,3
51036000301,3
51149000203,3
51036000201,3
51550000060,4
51550000051,4
51550000061,4
51550000063,4
51550000059,4
51550000049,4
51550000016,4
51810000034,4
51810000087,4
51810000035,4
51550000023,4
51550000056,4
51550000042,4
51550000043,4
51550000062,4
51550000001,4
51550000036,4
51550000037,4
51550000046,4
51550000050,4
51550000014,4
51550000052,4
51107000321,5
51107000316,5
51107000314,5
51107000320,5
51107000319,5
51107000125,5
51107000118,5
51107000126,5
51107000119,5
51107000108,5
51107000112,5
51107000122,5
51107000121,5
51107000120,5
51107000123,5
51107000124,5
51059000704,6
51059000731,6
51059000309,6
51059000323,6
51059000735,6
51059000733,6
51059000708,6
51610000001,6
51059000317,6
51059000312,6
51059000307,6
51059000705,6
51059000525,6
51610000002,6
51610000003,6
51059000712,6
51059000713,6
51041000304,7
51041000314,7
51041000211,7
51041000111,7
51041000108,7
51041000209,7
51041000202,7
51041000106,7
51041000102,7
51041000104,7
51041000109,7
51041000110,7
51041000107,7
51041000112,7
51570000003,7
51570000004,7
51570000005,7
51143000704,8
51590000010,8
51143000705,8
51143000106,8
51143000605,8
51143000202,8
51143000604,8
51143000201,8
51089000305,8
51143000206,8
51143000207,8
51143000309,8
51143000603,8
51143000702,8
51143000606,8
51089000302,8
51089000303,8
51089000603,8
51089000604,8
51143000703,8
51590000016,8
51590000004,8
51590000003,8
51590000002,8
51590000014,8
51590000001,8
51590000007,8
51590000008,8
51590000011,8
51590000012,8
51590000006,8
51143000404,8
51143000402,8
51590000009,8
51590000013,8
51590000015,8
51590000017,8
51550000026,9
51550000010,9
51550000030,9
51740000005,9
51710000402,9
51710000211,9
51710000203,9
51710000210,9
51710000411,9
51710000404,9
51740000001,9
51740000009,9
51740000011,9
51740000013,9
51740000021,9
51740000020,9
51740000014,9
51740000019,9
51740000027,9
51740000028,9
51550000045,9
51550000003,9
51740000016,9
51740000031,9
51740000022,9
51740000023,9
51740000032,9
51740000007,9
51041000412,10
51041000212,10
51041000204,10
51041000210,10
51041000203,10
51041000215,10
51041000414,10
51041000409,10
51041000308,10
51041000201,10
51041000113,10
51041000302,10
51041000317,10
51041000306,10
51041000305,10
51041000315,10
51041000318,10
51041000316,10
51041000307,10
51041000401,10
51041000411,10
51770000001,11
51161000105,11
51775000002,11
51770000020,11
51770000019,11
51770000018,11
51775000008,11
51775000005,11
51775000001,11
51161000108,11
51775000004,11
51775000009,11
51775000003,11
51775000010,11
51775000007,11
51775000006,11
51770000008,11
51770000002,11
51770000009,11
51770000006,11
51161000403,11
51770000007,11
51153000208,12
51153000201,12
51153000215,12
51153000608,12
51153000609,12
51153000210,12
51153000509,12
51059000845,12
51153000505,12
51153000503,12
