GEOID,DISTRICT
55055002529,1
55133006568,1
55127006283,1
55127006282,1
55127006169,1
55127006167,1
55127006206,1
55127006226,1
55127006168,1
55127006281,1
55127006165,1
55127006183,1
55127006184,1
55127006220,1
55127006215,1
55127006166,1
55127006295,1
55127006186,1
55127006189,1
55127006190,1
55127006188,1
55127006154,1
55127006197,1
55127006192,1
55127006191,1
55127006201,1
55127006204,1
55127006214,1
55127006217,1
55127006216,1
55127006219,1
55127006294,1
55127006218,1
55127006249,1
55127008062,1
55127006170,1
55101004991,1
55127006171,1
55101004996,1
55101005000,1
55127006262,1
55127006177,1
55127006298,1
55127006266,1
55127006244,1
55127006245,1
55127006247,1
55127006243,1
55127006180,1
55127006260,1
55127006252,1
55127006253,1
55127006179,1
55127006182,1
55127006151,1
55127006235,1
55127006238,1
55127006248,1
55127006250,1
55127006296,1
55127006239,1
55127006241,1
55127006240,1
55127008061,1
55127008063,1
55127006256,1
55127006237,1
55059002611,1
55127006297,1
55059002601,1
55127006236,1
55127008060,1
55127006242,1
55127006209,1
55127006211,1
55127006212,1
55127006181,1
55127006210,1
55127006213,1
55059002613,1
55059002679,1
55059002612,1
55059002615,1
55059002627,1
55059002608,1
55059002688,1
55059002610,1
55059002685,1
55059002684,1
55059002622,1
55059002623,1
55059002618,1
55059002619,1
55059002599,1
55059002683,1
55059002625,1
55059002605,1
55059002602,1
55059002624,1
55059002603,1
55059002604,1
55059002606,1
55059002607,1
55059002617,1
55059002686,1
55059002609,1
55059002614,1
55059002621,1
55059002680,1
55059003047,1
55059002620,1
55127006251,1
55059002600,1
55127006187,1
55127006178,1
55127006261,1
55127006263,1
55101005013,1
55101004995,1
55059002616,1
55101004891,1
55101004892,1
55101005017,1
55101004990,1
55101005019,1
55101004975,1
55127006172,1
55101005014,1
55127006293,1
55127006287,1
55127006288,1
55127006195,1
55127006194,1
55101005040,1
55101004987,1
55101005032,1
55101004974,1
55101004988,1
55101005033,1
55101005037,1
55101004989,1
55101004977,1
55101005009,1
55101004984,1
55101005035,1
55101004986,1
55101005011,1
55101005020,1
55101005023,1
55101005048,1
55101004997,1
55101005016,1
55101005021,1
55101004890,1
55101004992,1
55101004979,1
55101004985,1
55101005022,1
55101005026,1
55101004973,1
55101004907,1
55101004993,1
55059002682,1
55101004976,1
55101004994,1
55101004978,1
55101004999,1
55127006285,1
55127006284,1
55133006527,1
55133006531,1
55133006532,1
55133006846,1
55127006286,1
55127006193,1
55127006292,1
55127006291,1
55127006290,1
55127006289,1
55133006540,1
55133006649,1
55133006526,1
55133006529,1
55133006541,1
55133006538,1
55133006542,1
55133006536,1
55133006549,1
55133006629,1
55133006630,1
55133006556,1
55133006900,1
55133006559,1
55133006569,1
55133006631,1
55133006585,1
55133006586,1
55133006580,1
55133006595,1
55133006592,1
55133006588,1
55133006570,1
55133006571,1
55133006632,1
55133006633,1
55133006638,1
55133006635,1
55133006634,1
55133006637,1
55133006561,1
55133006641,1
55133006639,1
55133006646,1
55133006642,1
55133008073,1
55133006640,1
55133006607,1
55133006815,1
55133006692,1
55133006816,1
55133006693,1
55133006691,1
55133006597,1
55133006636,1
55133006546,1
55133006547,1
55133006896,1
55133006845,1
55133006668,1
55133006669,1
55133006670,1
55133006671,1
55133006849,1
55133008072,1
55133006848,1
55055002530,1
55133006648,1
55133006706,1
55133006667,1
55133006552,1
55133006614,1
55133006573,1
55133006558,1
55133006899,1
55133006898,1
55133006557,1
55133006554,1
55133006555,1
55133006884,1
55133006576,1
55133003025,1
55133006550,1
55127006185,1
55055002463,1
55055002462,1
55133006645,1
55133006689,1
55079003817,2
55079003816,2
55079003792,2
55079003833,2
55079003821,2
55079003831,2
55079003813,2
55079003793,2
55079003814,2
55079003829,2
55079003791,2
55079003822,2
55079003808,2
55079003810,2
55079003790,2
55079003812,2
55079003811,2
55079003828,2
55079003497,2
55079003500,2
55079003499,2
55079003498,2
55079003503,2
55079003501,2
55079003698,2
55079003506,2
55079003477,2
55079003479,2
55079003478,2
55079003475,2
55079003491,2
55079003474,2
55079003492,2
55079003493,2
55079003490,2
55079003508,2
55079003495,2
55079003487,2
55079003488,2
55079003502,2
55079003494,2
55079003489,2
55079003482,2
55079003507,2
55079003753,2
55079003617,2
55079003484,2
55079003611,2
55079003610,2
55079003483,2
55079003481,2
55079003480,2
55079003505,2
55079003693,2
55079003676,2
55079003675,2
55079003694,2
55079003485,2
55079003486,2
55079003476,2
55079003692,2
55079003697,2
55079003616,2
55079003754,2
55079003885,2
55079003869,2
55079003873,2
55079003928,2
55079003935,2
55079003939,2
55079003936,2
55079003938,2
55079003542,2
55079003553,2
55079003551,2
55079003552,2
55079003544,2
55079003510,2
55079003543,2
55079003937,2
55079003545,2
55079003872,2
55079003883,2
55079003929,2
55079003870,2
55079003871,2
55079003652,2
55079003667,2
55079003752,2
55079003673,2
55079003672,2
55079003647,2
55079003669,2
55079003656,2
55079003749,2
55079003606,2
55079003748,2
55079003747,2
55079003612,2
55079003607,2
55079003756,2
55079003755,2
55079003653,2
55079003654,2
55079003668,2
55079003579,2
55079003496,2
55079003830,2
55079003504,2
55079003809,2
55079003789,2
55079003815,2
55079003820,2
55079003819,2
55079003765,2
55079003818,2
55079003794,2
55079003797,2
55079003796,2
55079003798,2
55073003323,3
55073003313,3
55073003312,3
55073003299,3
55073003298,3
55073003342,3
55073003337,3
55073003338,3
55073003339,3
55073003275,3
55073003336,3
55073003296,3
55073003278,3
55073003343,3
55073003284,3
55073003283,3
55073003282,3
55073003291,3
55073003266,3
55073003244,3
55073003261,3
55073003267,3
55073003274,3
55073003273,3
55073003265,3
55073003264,3
55073003268,3
55073003270,3
55073003269,3
55073003280,3
55073003288,3
55073003289,3
55073003290,3
55073003281,3
55073003262,3
55073003260,3
55073003253,3
55073003257,3
55073003258,3
55073003255,3
55073003250,3
55073003233,3
55073003218,3
55073003217,3
55073003350,3
55073003223,3
55073003222,3
55073003216,3
55073003224,3
55073003347,3
55073003221,3
55073003219,3
55073003220,3
55073003215,3
55073003229,3
55073003335,3
55073003334,3
55073003351,3
55073003349,3
55073003243,3
55073003252,3
55073003371,3
55073003370,3
55073003366,3
55073003242,3
55073003368,3
55073003369,3
55073003251,3
55073003254,3
55073003256,3
55073003227,3
55073003226,3
55073003367,3
55073003248,3
55073003272,3
55073003259,3
55073003245,3
55073003240,3
55073003246,3
55073003238,3
55073003230,3
55073003363,3
55073003364,3
55073003228,3
55073003232,3
55073003345,3
55073003355,3
55073003352,3
55073003353,3
55073003354,3
55073003341,3
55073003344,3
55073003333,3
55073003340,3
55073003285,3
55073003320,3
55141007264,3
55141007263,3
55141007311,3
55073003314,3
55073003317,3
55073003295,3
55073003303,3
55097004736,3
55073003326,3
55073003315,3
55097004734,3
55097004831,3
55097004780,3
55097004791,3
55097008057,3
55097004782,3
55097004773,3
55097004829,3
55097004833,3
55097004847,3
55097004832,3
55097008058,3
55097004850,3
55097004817,3
55073003311,3
55073003279,3
55073003318,3
55073003319,3
55073003310,3
55097004735,3
55097004814,3
55097004827,3
55097004837,3
55097004846,3
55097004826,3
55097004795,3
55097004841,3
55097004794,3
55097004787,3
55097004785,3
55097004808,3
55097004809,3
55097004790,3
55097004793,3
55097004740,3
55097004848,3
55097004842,3
55097004843,3
55097004849,3
55097004789,3
55097004792,3
55097004825,3
55097004743,3
55097004811,3
55097004802,3
55097004803,3
55097004806,3
55097004810,3
55097004823,3
55097004751,3
55097004753,3
55137007058,3
55137007053,3
55137007055,3
55097004754,3
55097004756,3
55097004755,3
55097004757,3
55097004821,3
55001000018,3
55001000031,3
55001000034,3
55001000033,3
55001000008,3
55001000020,3
55001000010,3
55097004750,3
55097004820,3
55097004822,3
55097004836,3
55097004824,3
55141007272,3
55141007352,3
55141007271,3
55141007370,3
55141007365,3
55141007279,3
55141007278,3
55141007276,3
55141007280,3
55141007367,3
55141007353,3
55141007355,3
55141007354,3
55141007368,3
55141007350,3
55141007369,3
55097004798,3
55097004800,3
55097004805,3
55097004815,3
55097004813,3
55097004816,3
55097004737,3
55097004738,3
55097004796,3
55097004797,3
55097004758,3
55097004801,3
55097004807,3
55097004761,3
55097004762,3
55097004764,3
55097004835,3
55097004767,3
55097004768,3
55097004778,3
55097004771,3
55097004770,3
55097004774,3
55097004772,3
55097004775,3
55097004777,3
55097004776,3
55097004781,3
55097004783,3
55097004765,3
55097004766,3
55097004769,3
55097004763,3
55097004786,3
55097004779,3
55097004788,3
55097004828,3
55097004830,3
55097008059,3
55073003316,3
55073003294,3
55073003297,3
55073003300,3
55073003301,3
55073003302,3
55073003306,3
55073003292,3
55073003293,3
55073003305,3
55097004739,3
55141007310,3
55097004760,3
55053002393,4
55063002920,4
55063002927,4
55063002929,4
55063002933,4
55063002923,4
55063002936,4
55063002932,4
55063002937,4
55063002917,4
55063002921,4
55063002922,4
55063002918,4
55063002930,4
55063002926,4
55063002915,4
55063002935,4
55063002919,4
55081004148,4
55081004149,4
55081004086,4
55081004106,4
55081004123,4
55081004124,4
55081004054,4
55081004063,4
55081004066,4
55081004058,4
55081004049,4
55081004105,4
55081004065,4
55081004053,4
55081004078,4
55081004077,4
55081004052,4
55081004075,4
55081004082,4
55081004131,4
55081004076,4
55081004046,4
55081004055,4
55081004059,4
55057002546,4
55057002551,4
55057002547,4
55081004130,4
55081004100,4
55081004099,4
55123006097,4
55123006098,4
55123006070,4
55123006067,4
55123006065,4
55123006066,4
55123006063,4
55123006072,4
55123006060,4
55081004109,4
55123006068,4
55081008057,4
55081004122,4
55081004108,4
55081004079,4
55081004111,4
55081004071,4
55081004081,4
55081004144,4
55081004047,4
55081004143,4
55081004145,4
55081004142,4
55081004067,4
55081008054,4
55081004080,4
55081004051,4
55053002392,4
55053002391,4
55081004112,4
55081004113,4
55081004133,4
55081004089,4
55081004060,4
55081004056,4
55081004068,4
55081004107,4
55081004118,4
55081004129,4
55081004088,4
55081004104,4
55081004095,4
55081004096,4
55081004093,4
55081004094,4
55081004057,4
55081004097,4
55081004092,4
55081004117,4
55081004119,4
55081004098,4
55081004127,4
55057002586,4
55057002537,4
55057002553,4
55057002575,4
55057002545,4
55057002533,4
55141007323,4
55141007332,4
55001000035,4
55001000032,4
55141007333,4
55141007339,4
55141007338,4
55141007336,4
55141007337,4
55141007275,4
55141007277,4
55141007335,4
55141007340,4
55141007274,4
55141007315,4
55141007313,4
55141007334,4
55141007312,4
55141007320,4
55141007314,4
55141007317,4
55141007273,4
55141007366,4
55141007270,4
55141007364,4
55141007363,4
55141007359,4
55141007362,4
55141007361,4
55141007375,4
55141007376,4
55141007377,4
55141007351,4
55141007374,4
55141007373,4
55141007356,4
55141007357,4
55141007358,4
55141007371,4
55141007372,4
55141007319,4
55141007343,4
55141007321,4
55141007360,4
55141007349,4
55141007341,4
55141007345,4
55141007347,4
55141007346,4
55141007331,4
55141007329,4
55141007344,4
55097004741,4
55097004744,4
55141007330,4
55141007265,4
55097004799,4
55141007260,4
55141007262,4
55141007259,4
55141007281,4
55141007348,4
55141007318,4
55057002576,4
55001000043,4
55057002578,4
55001000038,4
55001000027,4
55001000005,4
55001000006,4
55001000007,4
55001000042,4
55001000009,4
55001000025,4
55001000003,4
55001000002,4
55001000001,4
55001000015,4
55001000004,4
55001000028,4
55057002549,4
55057002577,4
55057002574,4
55057002534,4
55057002536,4
55057002548,4
55057002535,4
55081004126,4
55081004090,4
55081004101,4
55081004102,4
55081004125,4
55081004070,4
55081004103,4
55081004091,4
55081004138,4
55081004140,4
55081004110,4
55081004045,4
55081004064,4
55081004050,4
55081004139,4
55081008056,4
55081004073,4
55081004074,4
55053002395,4
55053002396,4
55019000664,4
55053002427,4
55019000670,4
55019000695,4
55053002423,4
55053002429,4
55053002419,4
55053002417,4
55053002390,4
55019000709,4
55019000678,4
55141007267,4
55141007378,4
55141007325,4
55141007266,4
55141007305,4
55141007308,4
55141007295,4
55141007298,4
55141007287,4
55141007307,4
55141007309,4
55141007282,4
55141007301,4
55141007306,4
55141007293,4
55141007297,4
55141007292,4
55073003325,4
55073003328,4
55073003329,4
55073003330,4
55141007286,4
55141007296,4
55073003327,4
55141007302,4
55141007294,4
55141007299,4
55141007291,4
55141007288,4
55141007289,4
55141007284,4
55141007285,4
55019000650,4
55019000659,4
55019000679,4
55019000673,4
55019000645,4
55019000696,4
55019000669,4
55019000651,4
55019000656,4
55019000641,4
55019000663,4
55019000697,4
55019000683,4
55019000644,4
55019000667,4
55141007303,4
55141007304,4
55141007290,4
55141007300,4
55141007269,4
55141007316,4
55141007283,4
55141007324,4
55141007268,4
55141007342,4
55141007322,4
55141007326,4
55141007327,4
55141007261,4
55141007328,4
55081004135,4
55081008055,4
55081004087,4
55081004069,4
55081004128,4
55081004121,4
55123006080,4
55123006074,4
55123006054,4
55123006055,4
55123006048,4
55123006047,4
55063002916,4
55063002924,4
55063002931,4
55063002866,4
55063002853,4
55063002852,4
55063002865,4
55063002832,4
55063002848,4
55123006085,4
55081004136,4
55123006075,4
55123006056,4
55123006076,4
55123006084,4
55081004120,4
55081004150,4
55081004116,4
55081004048,4
55081004061,4
55081004084,4
55081004085,4
55081004147,4
55081004072,4
55081008053,4
55081004083,4
55081004114,4
55063002914,4
55053002388,4
55053002408,4
55053002409,4
55081004062,4
55053002394,4
55045002259,5
55045002250,5
55045002207,5
55105005130,5
55105005352,5
55045002253,5
55045002239,5
55045002251,5
55045002252,5
55045002240,5
55045002248,5
55045002249,5
55105005353,5
55045002238,5
55105005311,5
55105005129,5
55105005312,5
55105005318,5
55105005196,5
55105005195,5
55105005296,5
55105005284,5
55105005255,5
55105005290,5
55105005134,5
55105005177,5
55105005181,5
55105005210,5
55105005180,5
55105005166,5
55105005164,5
55105005182,5
55105005165,5
55105005174,5
55105005163,5
55105005161,5
55105005162,5
55105005124,5
55105005121,5
55105005172,5
55105005123,5
55105005175,5
55105005122,5
55105005171,5
55105005170,5
55105005158,5
55105005222,5
55105005173,5
55105005313,5
55105005157,5
55105005209,5
55105005189,5
55105005356,5
55105005207,5
55105005127,5
55105005190,5
55105005128,5
55105005211,5
55105005168,5
55105005212,5
55105005294,5
55105005194,5
55105005143,5
55105005340,5
55105005229,5
55105005342,5
55105005114,5
55105005142,5
55105005299,5
55105005298,5
55105005141,5
55105005140,5
55105005112,5
55105005138,5
55105005111,5
55105005115,5
55105005136,5
55105005137,5
55105005382,5
55105005204,5
55105005234,5
55105005139,5
55105005243,5
55105005297,5
55105005148,5
55105005214,5
55105005149,5
55105005147,5
55105005198,5
55105005183,5
55105005146,5
55105005159,5
55127006175,5
55127006174,5
55127006208,5
55127006228,5
55127006221,5
55127006225,5
55127006231,5
55127006222,5
55127006233,5
55127006229,5
55127006232,5
55127006196,5
55127006198,5
55127006164,5
55127006173,5
55127006158,5
55127006159,5
55127006150,5
55127006264,5
55127006156,5
55127006157,5
55127006265,5
55127006163,5
55127006149,5
55127006152,5
55127006155,5
55127006200,5
55127006202,5
55127006153,5
55127006205,5
55127006199,5
55127006258,5
55127006207,5
55127006162,5
55127006161,5
55127006230,5
55127006203,5
55127006223,5
55127006257,5
55127006259,5
55127006224,5
55127006227,5
55105005232,5
55105005205,5
55105005184,5
55105005263,5
55105005201,5
55105005203,5
55105005372,5
55105005373,5
55105005354,5
55105005349,5
55105005215,5
55105005125,5
55105005176,5
55105005370,5
55105005359,5
55105005303,5
55105005197,5
55105005369,5
55105005368,5
55105005371,5
55105005217,5
55105005200,5
55105005126,5
55105005202,5
55105005343,5
55105005344,5
55105005351,5
55105005113,5
55105005233,5
55105005348,5
55105005383,5
55105005116,5
55105005118,5
55105005117,5
55105005145,5
55105005199,5
55105005345,5
55105005144,5
55105005230,5
55045002260,5
55045002210,5
55045002209,5
55045002258,5
55045002237,5
55045002245,5
55045002228,5
55065002960,5
55065002939,5
55045002229,5
55045002220,5
55045002216,5
55045002217,5
55045002224,5
55045002244,5
55045002226,5
55045002261,5
55045002219,5
55045002206,5
55045002218,5
55079003640,6
55079003641,6
55079003644,6
55079003645,6
55079003717,6
55079003718,6
55079003721,6
55079003722,6
55079004026,6
55079003637,6
55079003634,6
55079003772,6
55079003773,6
55079003635,6
55079003638,6
55079003633,6
55079003782,6
55079003783,6
55079003759,6
55079003777,6
55079003760,6
55079003781,6
