map,D,C,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,average_margin,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,alt_opportunity_districts,alt_coalition_districts,reock,polsby_popper,cut_score,spanning_tree_score,population_compactness,county_splitting,district_splitting,counties_split,county_splits,proportionality,competitiveness,minority,compactness,splitting,minority_alt,mod_reock,mod_polsby_popper,mod_spanning_tree_score,mod_district_splitting
0000,14,100,0.0083,0.4943,0.0989,7,0.5000,5.6152,0.4011,5,0.0932,0.0875,0.0799,0.0776,0.0177,0.0766,0.0194,9.5751,0.0295,0.0286,0.0009,0.0154,4.3804,0.3129,0.0756,3.3167,4.3804,0.3129,17.2978,0.5966,0.5640,0.0000,5,8.2506,5,0.4467,8.4764,0.3743,0.1651,839,3466.1507,1940053.4819,1.3748,2.4252,51,64,53,42,50,33,0,54,0.2386,0.1056,218.9024,2.4260
0001,14,100,0.0085,0.4943,0.1113,7,0.5000,5.4413,0.3887,5,0.1056,0.0999,0.0947,0.0924,0.0225,0.0915,0.0250,12.5481,0.0355,0.0347,0.0008,0.0228,3.8199,0.2729,0.0818,2.9127,3.8199,0.2729,19.4703,0.6055,0.5687,0.0000,5,7.3290,5,0.4713,8.2317,0.3783,0.1703,815,3482.6895,1941597.9879,1.3587,2.3875,50,63,47,36,50,34,1,54,0.2386,0.1056,218.9024,2.4260
0002,14,100,0.0081,0.4943,0.1025,7,0.5000,5.5654,0.3975,5,0.0967,0.0910,0.0840,0.0813,0.0182,0.0802,0.0197,11.1683,0.0355,0.0350,0.0005,0.0198,4.2485,0.3035,0.0815,3.2282,4.2485,0.3035,17.9191,0.6055,0.5683,0.0000,5,7.3290,5,0.4716,8.7208,0.3730,0.1812,792,3499.3388,1926687.3016,1.3221,2.2963,48,58,52,40,50,34,6,54,0.2386,0.1056,241.7783,2.4260
0003,14,100,0.0087,0.4943,0.1069,7,0.5000,5.5031,0.3931,4,0.1012,0.0955,0.0882,0.0852,0.0185,0.0840,0.0203,11.6464,0.0313,0.0306,0.0007,0.0206,4.3481,0.3106,0.0816,3.2766,4.3481,0.3106,18.6984,0.6315,0.5616,0.0000,5,7.4969,5,0.5250,8.8887,0.3660,0.1794,817,3484.5279,2073425.0055,1.3351,2.2788,47,56,49,41,50,33,4,56,0.2386,0.1056,401.2920,2.4260
0004,14,100,0.0079,0.4943,0.1147,7,0.5000,5.3939,0.3853,4,0.1090,0.1033,0.0975,0.0948,0.0218,0.0938,0.0243,12.8731,0.0313,0.0304,0.0009,0.0233,3.9778,0.2841,0.0817,3.0112,3.9778,0.2841,20.0622,0.6315,0.5619,0.0000,5,7.4969,5,0.5247,8.4430,0.3706,0.1854,812,3487.7605,2100876.2763,1.3345,2.2812,46,56,45,38,50,34,4,55,0.2386,0.1056,401.2920,2.4260
0005,14,100,0.0079,0.4943,0.1151,7,0.5000,5.3879,0.3849,4,0.1094,0.1037,0.0980,0.0954,0.0220,0.0943,0.0245,12.9653,0.0319,0.0310,0.0009,0.0235,3.9530,0.2824,0.0819,2.9927,3.9530,0.2824,20.1363,0.6317,0.5620,0.0000,5,7.4886,5,0.5248,8.4348,0.3736,0.1863,813,3487.1364,2101747.2273,1.3338,2.2671,45,55,45,38,50,36,4,55,0.2835,0.1198,397.2349,2.2691
0006,14,100,0.0079,0.4943,0.1099,7,0.5000,5.4614,0.3901,4,0.1042,0.0985,0.0917,0.0889,0.0197,0.0877,0.0216,12.1285,0.0319,0.0311,0.0008,0.0217,4.2069,0.3005,0.0818,3.1753,4.2069,0.3005,19.2189,0.6317,0.5618,0.0000,5,8.3456,5,0.5252,8.6049,0.3678,0.1853,810,3490.1090,2116168.6143,1.3258,2.2287,44,53,48,40,50,34,6,56,0.2835,0.1198,397.2349,2.2691
0007,14,100,0.0079,0.4943,0.1298,7,0.5000,5.1824,0.3702,4,0.1241,0.1184,0.1134,0.1099,0.0236,0.1085,0.0269,15.8687,0.0321,0.0311,0.0010,0.0303,3.7930,0.2709,0.0862,2.8767,3.7930,0.2709,22.7041,0.6391,0.5651,0.0000,5,7.5833,5,0.5468,8.4311,0.3770,0.1817,827,3480.0437,2116497.4125,1.3248,2.2106,43,52,38,36,50,36,6,56,0.2835,0.1198,397.2349,2.2691
0008,14,100,0.0084,0.4943,0.1300,7,0.5000,5.1796,0.3700,4,0.1243,0.1186,0.1135,0.1100,0.0236,0.1086,0.0273,16.0434,0.0321,0.0313,0.0008,0.0310,3.8040,0.2717,0.0865,2.8965,3.8040,0.2717,22.7385,0.6399,0.5651,0.0000,5,7.4789,5,0.5252,8.3267,0.3691,0.1892,803,3494.6830,2110665.2167,1.3164,2.1535,41,49,38,36,50,35,7,56,0.2835,0.1198,397.2349,2.2691
0009,14,100,0.0084,0.4943,0.1306,7,0.5000,5.1711,0.3694,4,0.1249,0.1192,0.1142,0.1108,0.0241,0.1095,0.0278,16.1171,0.0321,0.0312,0.0009,0.0310,3.7712,0.2694,0.0866,2.8690,3.7712,0.2694,22.8445,0.6399,0.5653,0.0000,5,7.4789,5,0.5252,8.3152,0.3573,0.1816,810,3489.2749,2127760.7160,1.3197,2.1791,42,49,38,36,50,32,6,56,0.2835,0.1198,397.2349,2.2691
